Genbank Accession,Official Symbol,Z-Score,P-value,FDR,Q-value,Fold-change Mutant/Control,Endstage Mean,Endstage STD,Con D130 Mean,Con D130 STD
NM_053110,Gpnmb,6.12E+00,2.84E-04,0.011513556,0.125345822,334.7677788,29.66232222,14.50713947,0.088605667,0.098165709
NM_009263,Spp1,6.43E+00,2.02E-04,0.009550488,0.082364659,323.1717618,130.2282556,60.53466542,0.402969167,0.501722311
NM_001110009,Apoc1,6.77E+00,1.41E-04,0.008102279,0.101367579,204.2931693,6.626827778,2.921224696,0.032437833,0.07945614
NM_008605,Mmp12,5.91E+00,3.57E-04,0.01302551,0.10065947,125.2594337,11.89789444,5.990159717,0.094986015,0.073983334
NM_008486,Anpep,4.15E+00,0.003187723,0.046401824,0.243276363,96.87844286,1.532302111,1.09501859,0.01581675,0.01055972
NM_001081957,OTTMUSG00000000971,7.33E+00,8.06E-05,0.005841424,0.092070693,94.9817498,10.09773778,4.086332164,0.1063124,0.10142939
NM_031195,Msr1,3.875852289,0.004683758,0.057790144,0.224058639,74.974548,6.775982222,5.17215651,0.0903771,0.135397643
NM_145509,5430435G22Rik,5.16E+00,8.64E-04,0.021866066,0.175303465,71.80981133,8.738328889,5.011710524,0.121687117,0.100414871
NM_009977,Cst7,7.21E+00,9.01E-05,0.006203986,0.106898366,65.73290573,97.18383333,39.79219644,1.4784655,1.289486212
NM_007799,Ctse,4.42E+00,0.002229138,0.037517395,0.213341304,64.9666723,55.40698889,37.03710647,0.8528525,0.384658995
NM_009696,Apoe,6.65E+00,1.59E-04,0.008598005,0.079425523,64.35430283,1105.512,490.827897,17.178525,13.6508984
NM_001099634,Fer1l3,6.25E+00,2.46E-04,0.010503201,0.100469508,63.3872331,1.899011778,0.897591909,0.0299589,0.015687678
NM_009890,Ch25h,5.468194453,5.85E-04,0.017429782,0.14371304,60.94003224,3.779686667,2.036888699,0.06202305,0.086017147
NM_010174,Fabp3,7.15E+00,9.30E-05,0.006290396,0.073354347,55.85372032,1.331520111,0.547317864,0.023839417,0.028175588
NM_009911,Cxcr4,7.17E+00,9.12E-05,0.006203986,0.090431084,52.07153728,18.61677222,7.620177569,0.357523,0.391611359
NM_011940,Ifi202b,3.84E+00,0.004816114,0.058731714,0.227652197,51.78103594,1.611279126,1.229779489,0.031117167,0.076221181
NM_007807,Cybb,7.29E+00,8.40E-05,0.005911393,0.101950421,46.23250747,31.19952222,12.55637547,0.6748395,0.306365267
NM_010705,Lgals3,6.00E+00,3.06E-04,0.0120379,0.101425845,45.83859603,1.981304556,0.965665889,0.0432235,0.067166682
NM_021334,Itgax,5.237966927,7.80E-04,0.020546761,0.167103632,42.84255172,19.90000111,11.12626265,0.4644915,0.279280915
NM_001033122,Cd69,4.55E+00,0.001853335,0.033508376,0.175303465,42.71224409,1.658814,1.066940198,0.038836967,0.041003067
NM_199221,Cd300lb,8.631742548,2.25E-05,0.003552313,0.075077221,42.11789741,2.514256667,0.849208158,0.059695683,0.066402422
NM_020265,Dkk2,3.970894983,0.004071092,0.053497447,0.23657899,41.83800564,1.441742556,1.061816868,0.034460117,0.044232513
NM_152803,Hpse,3.43E+00,0.008811771,0.085246091,0.293120867,41.62412737,0.666039456,0.566903308,0.016001283,0.025107748
NM_153524,Mrgpra4,1.897252234,0.094344785,0.331351793,0.419389217,41.18544003,1.144029933,1.764796676,0.027777533,0.024722359
NM_010680,,4.246184463,0.002809458,0.043122418,0.206643997,39.61455327,1.349930144,0.929517729,0.034076622,0.013846596
NM_009140,Cxcl2,4.013257968,0.003858117,0.052009817,0.217169482,37.26950651,32.08436778,23.32605418,0.8608745,0.664770653
NM_013532,Lilrb4,9.860504328,9.33E-06,0.002742765,0.027509578,36.82008244,56.44978889,16.70183793,1.533125,0.372555441
NM_020008,Clec7a,8.09E+00,3.80E-05,0.004206269,0.041106764,35.59009805,36.52093333,13.12375036,1.026154333,0.747514519
NM_008147,Gp49a,8.21E+00,3.57E-05,0.004206269,0.066442564,35.22315186,37.22322222,13.20733257,1.056782833,0.370772078
NM_184052,Igf1,9.30E+00,9.79E-06,0.002773108,0.034475458,33.87142399,67.89894444,20.93354296,2.0046085,2.987378195
NM_011701,Vim,6.49E+00,1.88E-04,0.009173025,0.08596112,32.48717884,14.37374111,6.433747913,0.4424435,0.176798687
NM_010233,Fn1,4.53E+00,0.001841782,0.033454755,0.219928716,31.07246362,7.514452222,4.79508226,0.241836383,0.361087087
NM_013590,Lyz,7.59E+00,6.00E-05,0.004972562,0.082861397,30.41845574,16.32347111,6.22296805,0.5366305,0.383187321
NM_010228,Flt1,8.15E+00,3.65E-05,0.004206269,0.058823389,29.67437803,4.463002222,1.583891391,0.150399183,0.08027366
NM_010208,Fgr,4.99E+00,0.001003549,0.023471342,0.147757752,29.28066342,2.114353778,1.221109173,0.0722099,0.097310732
NM_008161,Gpx3,5.049328963,9.52E-04,0.022852797,0.145482849,29.2374711,2.325408111,1.330011291,0.0795352,0.087880733
NM_009695,Apoc2,4.171851589,0.00282582,0.043261694,0.204897677,28.96000903,0.983052333,0.674867772,0.033945167,0.083148338
NM_001039151,Cd44,4.62E+00,0.00168756,0.032073921,0.220196474,28.66857031,4.12523,2.582749178,0.143893817,0.121894024
NM_017372,Lyzs,6.960884164,1.13E-04,0.007024067,0.109625779,28.25631776,161.6450222,67.07520355,5.720668333,3.345529013
NM_001110321,,2.57E+00,0.03276304,0.186083084,0.370193498,27.94172207,2.923831111,3.280623429,0.104640333,0.163060649
NM_013867,Bcar3,6.533798543,1.53E-04,0.008473305,0.095094943,26.45735301,0.964646556,0.422070987,0.036460433,0.048189907
