,FoldChange,pvalue,padj
JCHAIN,147.1996973,5.94E-07,0.001218569
MYOZ1,12.81786407,0.000190538,0.038476242
MAMLD1,9.920164073,3.43E-05,0.01508408
ABCC3,4.826100854,1.93E-05,0.011803029
ARHGAP10,4.715784803,0.000178101,0.037183893
LPL,3.968749672,2.93E-05,0.013858432
CHI3L1,3.751362338,0.000117437,0.034149246
EEPD1,2.791381314,1.59E-05,0.010904297
PPARG,2.664181461,8.47E-06,0.006956641
BCAR3,1.784748214,3.64E-06,0.003871258
YIPF5,1.708553226,5.15E-05,0.021886668
UBR7,1.661534645,0.000228154,0.043912548
NAP1L1,1.538140576,2.62E-05,0.013431827
STARD7,1.319420206,0.000129795,0.034545073
RAB3GAP1,1.305312052,2.01E-05,0.011803029
RHOA,1.231161692,8.52E-05,0.027625166
CD300A,-1.235796939,0.000151121,0.035798176
ARHGAP30,-1.266022824,0.000159128,0.036079764
ARGLU1,-1.302189256,0.000139968,0.035186161
RASAL3,-1.340019798,0.00018925,0.038476242
PPP6R2,-1.357325989,0.000119209,0.034149246
PTPN18,-1.362453956,7.62E-05,0.026920804
SLCO2B1,-1.382907657,1.49E-05,0.010790844
CSF1R,-1.394942686,0.000131809,0.034545073
UBA7,-1.43678482,0.000169684,0.036669677
RHBDF2,-1.480193082,8.23E-05,0.027625166
PLCB2,-1.531838021,2.49E-05,0.013360191
ARHGAP9,-1.543923584,1.24E-05,0.009575866
NHLRC3,-1.566771485,5.17E-06,0.004547723
TMEM173,-1.590348573,3.20E-05,0.014609164
SLC12A9,-1.623296746,0.000149637,0.035798176
STAB1,-1.652514692,3.28E-07,0.00080752
ABCA2,-1.653564284,0.00019484,0.038710257
PLB1,-1.746882689,2.27E-06,0.003500902
LPCAT4,-1.755906001,0.000275835,0.049966716
LINC01410,-1.850000651,7.15E-05,0.026920804
SIPA1L3,-1.914873719,2.80E-05,0.013783779
SPATA6,-1.960422248,9.18E-05,0.028382667
VSIG4,-1.967135177,4.37E-06,0.004140027
MTG1,-2.156055287,0.000268378,0.049341526
IGSF21,-2.180612171,7.65E-05,0.026920804
TMEM179B,-2.257623648,0.000224264,0.043848921
ADGRG1,-2.292530702,3.33E-08,0.000102666
FCGBP,-2.392133269,8.52E-05,0.027625166
LINC01001,-2.428693778,0.000161097,0.036079764
FCAR,-2.486081136,0.0001064,0.031966799
XRCC3,-2.511306211,9.22E-05,0.028382667
SMO,-2.695211249,0.000128704,0.034545073
CABP4,-2.822301312,1.88E-05,0.011803029
KCTD13,-2.904629707,6.18E-05,0.024545539
SLC35E2,-3.174735762,2.14E-06,0.003500902
PDCD1LG2,-3.444135345,0.000174121,0.036979612
MRC1,-3.559743638,4.70E-11,2.89E-07
FAM109B,-3.780740097,0.000126337,0.034545073
GPR146,-4.711529795,5.84E-05,0.023968657
FAM177B,-4.769494204,3.45E-06,0.003871258
FCN1,-5.552869425,0.000147612,0.035798176
MBLAC2,-5.869676725,3.02E-06,0.003871258
RAB38,-5.950869302,0.000168086,0.036669677
GHRL,-6.553134136,0.000154258,0.03585196
NLRP6,-7.427736579,0.000254254,0.047453023
CORO6,-7.724062712,2.45E-05,0.013360191
LOC101927481,-8.376630566,0.000250777,0.047453023
S100A12,-17.66754111,7.46E-05,0.026920804
LILRA5,-28.44958792,0.00013477,0.034585346
GJB6,-242095.048,3.77E-06,0.003871258
LCN2,-783605.7854,1.34E-09,5.50E-06
CPLX2,-1194776713,5.80E-15,7.14E-11
