Gene name,Average UMI per cell (homeostatic microglia),Fold-change (DAM to homeostatic microglia),-log10(DAM) p-value (Mann-Whitney),DAM FDR p-value
1700025K23Rik,0,NaN,NaN,NaN
4930483J18Rik,0,NaN,NaN,NaN
4931414P19Rik,0,NaN,NaN,NaN
A930038C07Rik,0,NaN,NaN,NaN
AI428936,0,NaN,NaN,NaN
Ano1,0,NaN,NaN,NaN
BC068157,0,NaN,NaN,NaN
Bcas1,0,NaN,NaN,NaN
Cald1,0,NaN,NaN,NaN
Cchcr1,0,NaN,NaN,NaN
Ces5a,0,NaN,NaN,NaN
Clip3,0,NaN,NaN,NaN
Dok6,0,NaN,NaN,NaN
E130208F15Rik,0,NaN,NaN,NaN
Egf,0,NaN,NaN,NaN
Fank1,0,NaN,NaN,NaN
Gfod2,0,NaN,NaN,NaN
Gm13868,0,NaN,NaN,NaN
Klk9,0,NaN,NaN,NaN
Krtdap,0,NaN,NaN,NaN
Pcbd1,0,NaN,NaN,NaN
RP24-341K21.6,0,NaN,NaN,NaN
Sh2d6,0,NaN,NaN,NaN
SNORA70,0,NaN,NaN,NaN
Srcin1,0,NaN,NaN,NaN
St8sia1,0,NaN,NaN,NaN
Tie1,0,NaN,NaN,NaN
Tmem169,0,NaN,NaN,NaN
Vwc2l,0,NaN,NaN,NaN
Zfp385c,0,NaN,NaN,NaN
Zfp72,0,NaN,NaN,NaN
Cst7,0.084118,6.082145,88.515614,84.914136
Lyz2,0.421176,3.455854,70.382141,67.081693
Lpl,0.097353,4.946601,69.184014,66.059657
Ctsb,3.778235,2.04363,68.255592,65.256173
Ctsd,13.804706,1.452347,65.910003,63.007495
Apoe,2.924118,3.428991,62.739188,59.915861
P2ry12,10.954118,-2.051548,61.168903,58.412523
B2m,7.072353,1.374797,59.855107,57.156719
Tmem119,4.458824,-2.456107,58.756254,56.109019
Cx3cr1,11.152353,-1.359911,55.105993,52.504515
Gnas,1.475882,2.152279,53.754474,51.194388
Cd9,1.399118,2.06811,53.356627,50.83433
Ank,0.055,4.87659,51.962204,49.47467
H2-D1,0.337941,2.988854,51.773366,49.318016
Tyrobp,3.335,1.60888,51.473836,49.048449
Axl,0.069706,4.290287,48.126161,45.728803
Ctsz,1.6,1.684372,45.806799,43.43577
Itgax,0.003235,7.860371,45.544294,43.198088
Clec7a,0.032647,5.149334,43.267112,40.944388
Fth1,1.920294,1.514116,42.318021,40.017573
Serpine2,0.763529,1.998673,41.963802,39.684543
Cd63,0.390588,2.326131,41.012193,38.753137
Cd63-ps,0.196765,2.542815,39.493885,37.254135
Selplg,9.069412,-1.225303,39.41363,37.192363
Marcks,6.795294,-1.293206,37.625301,35.421763
Lgals3bp,0.400588,2.276488,37.126776,34.940271
mmu-mir-703,1.932647,1.322336,36.828263,34.658149
Cd52,0.235882,2.400643,34.574182,32.419862
Npc2,0.962353,1.672936,34.467233,32.328153
H2-K1,0.428824,2.197553,33.964708,31.840352
Cadm1,0.225882,2.492552,33.410246,31.300129
Ccl3,0.030588,5.15389,32.045144,29.948816
Ctsl,2.237941,1.456878,31.996289,29.913325
Mpeg1,2.019118,1.30654,30.323977,28.253978
Serinc3,9.199706,-0.907111,30.245977,28.188567
Trem2,2.481471,1.22707,29.377757,27.332581
Spp1,0.035588,4.312911,29.102839,27.069563
Sparc,11.989706,-0.83641,28.630962,26.609267
Cd68,1.267941,1.339356,28.332805,26.322392
