,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
LGALS3,1.564434698,1.53E-07,1.916893853,0.000424594,1.227040362,3.67E-10,7.801651499,1.36E-12,0.031423321,0.758103362
MSR1,-0.010120935,0.816299622,-0.014338273,0.964863012,0.017680181,0.794735678,5.756081917,9.88E-12,0.011920979,0.884845793
APOE,2.453084551,3.48E-10,2.658798585,1.05E-05,2.782249062,3.21E-15,6.282877739,2.49E-11,-0.117186371,0.651551895
CD44,1.616706407,2.48E-07,0.418923084,0.052501816,0.350513979,0.003074906,3.92450398,3.82E-11,0.417939229,0.017303051
LILRB4,1.769350822,1.45E-09,2.222277339,1.96E-05,2.090672695,4.28E-12,4.754965293,3.82E-11,1.982343978,1.09E-06
SPP1,2.620444116,1.34E-05,2.935134584,9.46E-07,3.320827897,9.24E-18,9.324621877,3.82E-11,3.203403289,7.87E-12
CYBB,1.95079185,6.53E-08,0.956014846,0.004742899,1.639771336,1.83E-11,5.23166401,5.53E-11,0.748866622,0.00353147
CSF1,0.473187759,0.00043243,2.051444557,3.79E-07,0.775466182,1.64E-10,3.413244348,7.34E-10,0.617035257,0.002980821
CLEC7A,1.809213719,2.45E-12,2.948959113,4.86E-08,2.841258996,2.03E-15,2.709441137,1.13E-09,-0.275526408,0.294270479
GP49A,0.179592104,0.009280458,1.755333104,7.84E-06,0.112123149,0.057986458,4.459314455,1.13E-09,0.056253034,0.548755336
5430435G22RIK,1.730402366,9.92E-07,2.978388462,6.81E-07,0.246811163,0.000591574,7.224595435,1.20E-09,-0.004699099,0.970668527
CD63,0.657488261,5.32E-05,1.031001446,2.19E-06,0.790931824,8.95E-09,3.684301185,1.20E-09,0.366568587,0.00739851
CST7,1.668861919,1.18E-07,5.322915611,1.16E-10,1.314583537,1.78E-10,6.92306429,1.20E-09,0.255380075,0.008490574
APOC1,0.053636196,0.426236058,0.917326265,0.006179751,0.417120883,0.001570876,9.887206386,5.26E-09,0.127783076,0.261120341
CXCR4,1.946300327,3.19E-08,1.887424194,9.48E-05,0.755666721,3.31E-06,5.005139727,2.17E-08,-0.193305061,0.051108574
MS4A7,0.289215564,0.0313015,-0.731363275,0.014472598,0.130281351,0.499757203,4.984863183,2.64E-08,-0.126363292,0.300569348
CD300LB,0.018042358,0.662720434,0.264005465,0.054900414,0.021912187,0.750591858,6.331266279,2.97E-08,0.028451551,0.733536389
ITGAX,0.857827828,2.40E-06,2.914032712,5.76E-09,2.047422625,1.06E-14,5.917552274,2.97E-08,0.197686983,0.201562178
SH3PXD2B,0.330601586,0.003690786,0.977261381,7.28E-07,0.830195925,5.97E-05,2.918292017,1.05E-07,0.514714221,0.000749603
FGR,0.177215635,0.012527536,1.295917712,6.35E-05,0.163949049,0.302945953,6.214902471,1.76E-07,0.172206436,0.054326106
VIM,0.453695625,0.037516724,0.883074917,0.057931784,0.105175006,0.353139628,4.881659361,4.96E-07,-0.020305975,0.747285609
CTSB,0.1596307,0.024400686,0.968339068,1.13E-06,0.459943409,8.05E-09,2.626082289,7.34E-07,0.031579799,0.698676412
VAT1,0.257758984,0.004745608,1.507828187,3.88E-07,0.42410581,0.00114408,3.70068528,1.46E-06,-0.175001003,0.011299901
ANXA5,0.737239341,1.06E-05,1.389270572,1.93E-07,1.399158194,1.24E-12,3.82496099,7.57E-06,-0.117708259,0.412091411
RAI14,1.802719398,3.14E-11,2.065306203,4.09E-08,0.375511887,0.000745678,4.730779553,7.94E-06,0.235803879,0.039853193
CSTB,0.560203776,1.23E-05,0.513594237,0.000133132,0.661839371,4.32E-08,2.914892842,1.15E-05,0.17805247,0.11741237
ACTR3B,0.027309463,0.723355669,2.418643439,7.34E-08,0.026908925,0.874930888,4.842841346,1.24E-05,0.019728942,0.877985011
CD69,0.457844222,9.83E-06,1.868910756,1.68E-05,0.207602751,0.001153219,5.838321592,1.66E-05,0.741430748,0.005845214
TRPS1,0.089812923,0.177975611,0.585192153,1.45E-05,-0.007529013,0.97104217,2.505492395,1.68E-05,-0.017054336,0.929508479
ANPEP,0.003126595,0.947502542,0.172460503,0.199494697,-0.001745374,0.988226842,5.981076098,1.74E-05,0.16018628,0.012817157
ASS1,0.11322086,0.200016495,0.374103182,0.268383686,-0.023822357,0.921328555,5.020541688,1.74E-05,0.009341172,0.945163258
CH25H,0.921685844,1.44E-05,3.063736124,4.31E-10,1.981362173,5.43E-13,4.854961167,1.98E-05,3.69289503,1.22E-08
