p_val	avg_logFC	pct.1	pct.2	p_val_adj
Apoe	0	3.17189603508802	1	0.906	4.94065645841247e-324
Spp1	0	1.416612927609	0.506	0.048	4.94065645841247e-324
Ccl3	0	1.18339972475699	0.646	0.305	4.94065645841247e-324
Lyz2	0	1.15561289262667	0.892	0.423	4.94065645841247e-324
Ccl4	0	1.07355750220337	0.738	0.508	4.94065645841247e-324
Atf3	0	0.958853268518945	0.755	0.486	4.94065645841247e-324
Cd74	0	0.933227300848491	0.556	0.102	4.94065645841247e-324
H2-D1	0	0.910355032425015	0.939	0.543	4.94065645841247e-324
Fth1	0	0.89308540433397	1	0.995	4.94065645841247e-324
Cxcl2	0	0.863123790744637	0.263	0.022	4.94065645841247e-324
Dusp1	0	0.852193238342712	0.646	0.296	4.94065645841247e-324
Nfkbia	0	0.845732172993572	0.624	0.309	4.94065645841247e-324
Cd83	0	0.844215792126954	0.671	0.248	4.94065645841247e-324
Ccrl2	0	0.83161078402388	0.512	0.115	4.94065645841247e-324
Cd52	0	0.819270354759084	0.808	0.325	4.94065645841247e-324
Fos	0	0.790819880136509	0.712	0.475	4.94065645841247e-324
Junb	0	0.776116921625114	0.794	0.519	4.94065645841247e-324
Lpl	0	0.739624738147577	0.448	0.058	4.94065645841247e-324
Gadd45b	0	0.728991856682194	0.5	0.122	4.94065645841247e-324
Cd63	0	0.72377168726689	0.959	0.702	4.94065645841247e-324
Btg2	0	0.711881327507713	0.747	0.505	4.94065645841247e-324
Ftl1	0	0.683826650682587	0.998	0.983	4.94065645841247e-324
H3f3b	0	0.652610686927715	0.891	0.843	4.94065645841247e-324
Ier2	0	0.650609113087361	0.474	0.149	4.94065645841247e-324
Mt1	0	0.620238294888666	0.702	0.452	4.94065645841247e-324
H2-K1	0	0.606039417507799	0.843	0.519	4.94065645841247e-324
Lgals3bp	0	0.604108782040484	0.545	0.164	4.94065645841247e-324
Ctsb	0	0.600254952232966	0.999	0.985	4.94065645841247e-324
Cst7	0	0.592418676494791	0.417	0.021	4.94065645841247e-324
Axl	0	0.585185417548651	0.571	0.035	4.94065645841247e-324
Ier3	0	0.576447240223935	0.387	0.111	4.94065645841247e-324
Ppp1r15a	0	0.569985085152264	0.628	0.299	4.94065645841247e-324
Rpl23	0	0.562072557648516	0.996	0.95	4.94065645841247e-324
Rpl32	0	0.550362406955412	0.987	0.907	4.94065645841247e-324
Zfp36	0	0.538831507028196	0.517	0.237	4.94065645841247e-324
Rpl10a	0	0.538156393933575	0.97	0.801	4.94065645841247e-324
Rpl41	0	0.536761546721229	0.982	0.878	4.94065645841247e-324
Apoc1	0	0.520518234246566	0.264	0.008	4.94065645841247e-324
Tlr2	0	0.514425803142489	0.499	0.156	4.94065645841247e-324
Ltc4s	0	-0.509301753457924	0.344	0.674	4.94065645841247e-324
Ckb	0	-0.522642064240957	0.609	0.849	4.94065645841247e-324
Cx3cr1	0	-0.565913704273308	0.948	0.996	4.94065645841247e-324
Olfml3	0	-0.571430524822585	0.853	0.961	4.94065645841247e-324
Vsir	0	-0.576492243808794	0.75	0.938	4.94065645841247e-324
Siglech	0	-0.636305281031249	0.606	0.889	4.94065645841247e-324
Pmepa1	0	-0.702558832053217	0.539	0.833	4.94065645841247e-324
Cst3	0	-0.731702974018296	1	1	4.94065645841247e-324
Gpr34	0	-0.740319052240765	0.663	0.922	4.94065645841247e-324
Crybb1	0	-0.778431091065773	0.14	0.67	4.94065645841247e-324
Selplg	0	-0.903141166397421	0.878	0.995	4.94065645841247e-324
Tmem119	0	-0.971648258427819	0.679	0.972	4.94065645841247e-324
P2ry12	0	-1.13379963610649	0.691	0.981	4.94065645841247e-324
Il1b	1.64038527697974e-305	0.508706858408756	0.205	0.027	3.16331896812774e-301
Id2	3.53675006273452e-297	0.571971848238696	0.555	0.257	6.82026882097725e-293
Cxcl10	1.78086179427244e-290	0.572600178709533	0.199	0.024	3.43421388407497e-286
Klf2	3.15780779799025e-256	0.626601809183816	0.802	0.701	6.08951655764441e-252
Klf6	5.26035978863305e-245	0.528003652529894	0.718	0.493	1.01440778164e-240
Rgs1	5.1729248825584e-244	0.638136647359589	0.621	0.37	9.97546834352562e-240
Hmox1	4.22961786303485e-238	0.572602822022239	0.439	0.226	8.15639508707641e-234
Hsp90aa1	2.90523450224989e-140	0.536723168631019	0.816	0.755	5.6024542141387e-136
