gene	cluster5_all.signed.value	MS.signed.value
Abi3	-15.8828640692238	-4.94072676783749
Apoe	719.306978873789	10.8759578600132
Arhgap5	-31.3793811835098	-4.52659366303879
Axl	152.037046146294	4.25129558795143
Basp1	-27.1157228644123	-1.92702758929374
Bin1	-55.3586636482364	-1.8742017923629
C1qa	10.7681276597272	0.0700308435087594
C3ar1	29.1556275743666	-5.71551803998151
Cadm1	38.4009936511504	-4.22255747612044
Ccl3	14.681892401262	-2.3652726724922
Ccl4	2.37282635989987	-0.244111440778735
Ccl6	47.8593377593469	-1.26931782362332
Ccnd1	-5.17491834117541	2.87370936402369
Ccr5	-14.9432174993099	-5.46446810892867
Cd14	24.5497570123671	-0.269319036109036
Cd34	12.5379633649413	-0.434354300685071
Cd83	56.2677455769843	-0.114919589595393
Ckb	-115.681527272001	-2.0320079132723
Crybb1	-179.511873788933	-3.46303543025681
Csf1	12.3128018510245	0.79240419403423
Csf1r	-47.438903033722	-2.46933343060656
Cst3	-159.2547355314	-8.8116899554892
Ctsd	88.9298677131677	-10.7234184932885
Ctsl	41.134019398943	-2.04738930088426
Ctss	82.7658810285819	-0.211787228626293
Cx3cr1	-135.404582688228	-6.1595784668154
Cxcl16	56.929114669618	7.97163586390895
Entpd1	-16.0029168415962	0.396224388625994
Fcrls	-9.61651552084321	-9.53069458104912
Fgd2	-5.96628304729511	-4.65692751374058
Fos	0.977303926471263	-7.98145638539681
Frmd4a	-9.98594313970293	-0.0165045426347221
Fscn1	-13.732870689097	-9.39090899312647
Gnas	10.4370015790511	-4.07140249550298
Gpr34	-162.647855206271	-7.86567833367394
Hexb	-60.0964925351278	-2.66301371040099
Hpgds	-3.6792270898411	-1.10901940657031
Hspa1a	-1.27176520560737	-8.39946006466367
Kctd12	-15.1226113896844	-7.99653546576848
Lag3	31.0304111389599	0.0264828685860571
Lgmn	-93.5853038137644	-1.12552458525507
Ltc4s	-79.0691442673191	-15.3298012804608
Mafb	-1.29393403563311	-6.42079170793758
Mef2a	-9.07264326085071	-6.86191143856453
Mef2c	-16.43733019311	-7.4878187353451
Mertk	-2.60343771270021	-0.60831172485047
Nrip1	-14.6904896017661	-2.31769572919656
Olfml3	-93.072236938289	-13.5212432688954
P2ry12	-277.065984667422	-11.6969227774038
P2ry13	-67.0239057425733	-5.51815862533494
Pde3b	-12.3577836685407	-5.96862259014179
Plxdc2	-1.49830678664231	-7.05245092860188
Pmepa1	-97.7574396390837	-2.04999925717326
Ppp1r15a	6.43360591910164	-5.36007908947913
Ptms	5.98814537140279	-2.24262236828368
Rab3il1	-6.57167632704815	-8.18243592083975
Rapgef5	-8.07749092622253	-4.86747484482828
Rgs1	10.2808058395068	1.0023290728616
Sall1	-7.54339709642224	-5.11674062077111
Scoc	-10.569421644839	-1.51131355926589
Siglech	-148.729581320805	-10.4745569001291
Slc1a3	-2.74122177668793	-0.00244985134256856
Slc2a5	-20.4079202861674	-1.70844023572551
Slco2b1	-13.7423534052744	-6.33286106920568
Sparc	-94.2768283965513	-2.29932356796816
St3gal6	-9.61219810261229	-6.86924224647308
Stab1	-5.54383838973399	-15.7093598650917
Syngr1	23.4555098392094	0.244503387435864
Tgfb1	-4.58443296470734	-1.09613970732248
Tgfbr1	-25.4120902460694	-8.12156851331022
Timp2	126.480957640356	-4.6628280144713
Tlr2	87.8164233479596	-0.167360146355723
Tmem119	-237.975160732302	-6.065394260879
