	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Apoe	0	3.17189603508802	1	0.906	0
Spp1	0	1.416612927609	0.506	0.048	0
Ccl3	0	1.18339972475699	0.646	0.305	0
Lyz2	0	1.15561289262667	0.892	0.423	0
Ccl4	0	1.07355750220337	0.738	0.508	0
Atf3	0	0.958853268518945	0.755	0.486	0
Cd74	0	0.933227300848491	0.556	0.102	0
H2-D1	0	0.910355032425015	0.939	0.543	0
Fth1	0	0.89308540433397	1	0.995	0
Cxcl2	0	0.863123790744637	0.263	0.022	0
Dusp1	0	0.852193238342712	0.646	0.296	0
Nfkbia	0	0.845732172993572	0.624	0.309	0
Cd83	0	0.844215792126954	0.671	0.248	0
Ccrl2	0	0.83161078402388	0.512	0.115	0
Cd52	0	0.819270354759084	0.808	0.325	0
Fos	0	0.790819880136509	0.712	0.475	0
Junb	0	0.776116921625114	0.794	0.519	0
Lpl	0	0.739624738147577	0.448	0.058	0
Gadd45b	0	0.728991856682194	0.5	0.122	0
Cd63	0	0.72377168726689	0.959	0.702	0
Btg2	0	0.711881327507713	0.747	0.505	0
Ftl1	0	0.683826650682587	0.998	0.983	0
H3f3b	0	0.652610686927715	0.891	0.843	0
Ier2	0	0.650609113087361	0.474	0.149	0
Mt1	0	0.620238294888666	0.702	0.452	0
H2-K1	0	0.606039417507799	0.843	0.519	0
Lgals3bp	0	0.604108782040484	0.545	0.164	0
Ctsb	0	0.600254952232966	0.999	0.985	0
Cst7	0	0.592418676494791	0.417	0.021	0
Axl	0	0.585185417548651	0.571	0.035	0
Ier3	0	0.576447240223935	0.387	0.111	0
Ppp1r15a	0	0.569985085152264	0.628	0.299	0
Rpl23	0	0.562072557648516	0.996	0.95	0
Rpl32	0	0.550362406955412	0.987	0.907	0
Zfp36	0	0.538831507028196	0.517	0.237	0
Rpl10a	0	0.538156393933575	0.97	0.801	0
Rpl41	0	0.536761546721229	0.982	0.878	0
Apoc1	0	0.520518234246566	0.264	0.008	0
Tlr2	0	0.514425803142489	0.499	0.156	0
Rps2	0	0.487211040818271	0.866	0.631	0
Rps28	0	0.485542996950118	0.949	0.775	0
Cd9	0	0.483523076281656	0.957	0.86	0
Rps18	0	0.483474998885832	0.877	0.654	0
Rpsa	0	0.478220338497046	0.97	0.858	0
Rpl37a	0	0.465055909399093	0.985	0.919	0
Fabp5	0	0.464727396279673	0.323	0.032	0
Rps16	0	0.459501162966199	0.988	0.922	0
Fam20c	0	0.454970954148339	0.404	0.083	0
Rps20	0	0.446652431263573	0.976	0.889	0
Ifi27l2a	0	0.445396211477417	0.391	0.066	0
Fau	0	0.439031353045158	0.999	0.992	0
Rps12	0	0.43714570789508	0.978	0.884	0
Rps5	0	0.429478778174386	0.967	0.852	0
Eef1a1	0	0.427332238019589	0.998	0.992	0
Rpl39	0	0.426542680570587	0.987	0.921	0
Tnf	0	0.419404961522644	0.27	0.042	0
B2m	0	0.418431376010932	0.963	0.879	0
Plk2	0	0.417792480790866	0.332	0.07	0
Rps19	0	0.417379103030514	0.968	0.869	0
Rpl12	0	0.413948603996168	0.953	0.835	0
Rpl38	0	0.412536233514399	0.9	0.7	0
Rps24	0	0.412252260623398	0.996	0.973	0
Cybb	0	0.411529467816079	0.333	0.017	0
Rpl36	0	0.409429783182517	0.923	0.755	0
Rpl26	0	0.406654246561225	0.961	0.879	0
Ifrd1	0	0.404819819079014	0.36	0.112	0
Npc2	0	0.404429210198601	0.967	0.864	0
Rpl27a	0	0.40083646606276	0.993	0.959	0
Rpl19	0	0.396896452160842	0.981	0.919	0
Rps14	0	0.396571594606848	0.983	0.937	0
Nfkbiz	0	0.391940795918857	0.346	0.086	0
Bcl2a1b	0	0.391230311846085	0.41	0.142	0
Rpl17	0	0.389262792744936	0.953	0.838	0
Rps15a	0	0.382870638553224	0.977	0.899	0
Rps27a	0	0.380149976494941	0.988	0.945	0
Rps21	0	0.37523394982011	0.982	0.924	0
Cxcl16	0	0.358030290309229	0.453	0.151	0
Rps10	0	0.354767847272084	0.985	0.935	0
Rpl18a	0	0.353735465909141	0.99	0.953	0
Rpl34	0	0.347084674192297	0.978	0.913	0
Tpt1	0	0.346371972284182	0.997	0.995	0
Rps11	0	0.342184624481663	0.985	0.945	0
Rpl13	0	0.341819520098101	0.996	0.976	0
Rtcb	0	0.338502338143596	0.551	0.232	0
Lgals3	0	0.323855269684465	0.241	0.019	0
Igf1	0	0.295530019119557	0.259	0.005	0
Itgax	0	0.286805389756881	0.257	0.02	0
Anxa5	0	0.278630144950198	0.362	0.097	0
Hcar2	0	0.274722536589531	0.232	0.021	0
Capg	0	0.272700879265398	0.304	0.058	0
Cd72	0	0.267843360798305	0.249	0.021	0
Fxyd5	0	0.24519045166361	0.261	0.039	0
Rab7b	0	0.203793763970369	0.192	0.008	0
Lilrb4a	0	0.186684561821261	0.183	0.01	0
Tmsb4x	0	-0.22386172227656	1	1	0
Malat1	0	-0.268546683796502	0.997	1	0
Laptm5	0	-0.309987829050934	0.976	0.993	0
Csf1r	0	-0.381428883123431	0.991	0.999	0
Ecscr	0	-0.396500079374682	0.115	0.45	0
Adgrg1	0	-0.401244905037584	0.241	0.57	0
Rgs10	0	-0.40158916239234	0.834	0.926	0
Lpcat2	0	-0.410885706514984	0.635	0.829	0
Rnase4	0	-0.420081550934496	0.715	0.878	0
Marcks	0	-0.423314426229935	0.842	0.944	0
Hexb	0	-0.432194672339214	1	1	0
Serinc3	0	-0.432734832439493	0.854	0.954	0
Bin1	0	-0.43294810999043	0.605	0.815	0
Lgmn	0	-0.441992013552889	0.995	0.999	0
Sparc	0	-0.456644962244104	0.971	0.994	0
P2ry13	0	-0.46510685054691	0.36	0.683	0
Ltc4s	0	-0.509301753457924	0.344	0.674	0
Ckb	0	-0.522642064240957	0.609	0.849	0
Cx3cr1	0	-0.565913704273308	0.948	0.996	0
Olfml3	0	-0.571430524822585	0.853	0.961	0
Vsir	0	-0.576492243808794	0.75	0.938	0
Siglech	0	-0.636305281031249	0.606	0.889	0
Pmepa1	0	-0.702558832053217	0.539	0.833	0
Cst3	0	-0.731702974018296	1	1	0
Gpr34	0	-0.740319052240765	0.663	0.922	0
Crybb1	0	-0.778431091065773	0.14	0.67	0
Selplg	0	-0.903141166397421	0.878	0.995	0
Tmem119	0	-0.971648258427819	0.679	0.972	0
P2ry12	0	-1.13379963610649	0.691	0.981	0
Pim1	3.52466431743145e-320	0.273146832803916	0.207	0.025	6.79696266973481e-316
Rpl24	5.421382331816e-320	0.374113696606685	0.882	0.701	1.0454593688674e-315
Rps26	5.52464205179682e-320	0.37451759147461	0.879	0.677	1.0653719732685e-315
Tmem176a	8.91245018533025e-320	0.420026619921549	0.816	0.589	1.71867689373908e-315
Rpl28	1.9382269396199e-317	0.33984739437201	0.97	0.878	3.73767683036301e-313
Pnp	1.03902632783784e-316	-0.415668405742309	0.394	0.684	2.0036583706025e-312
Ctse	1.82669595302695e-315	0.157760882435947	0.161	0.008	3.52260047581717e-311
Timp2	7.09842774239562e-315	0.393415490032927	0.867	0.686	1.36886080584357e-310
Csf2ra	7.67077963575182e-314	0.298566126140732	0.445	0.159	1.47923314495838e-309
Pabpc1	3.95863303909255e-311	0.352017407696889	0.668	0.387	7.63382795258608e-307
Ms4a6c	2.32220631382236e-310	0.255473994648973	0.305	0.068	4.47814265557504e-306
Csf1	9.19592401061413e-310	0.374225494729427	0.321	0.074	1.77334198620683e-305
Ifi207	7.01584875807652e-308	0.152844090441608	0.143	0.004	1.35293627450748e-303
Rpl36a	2.83129801402411e-306	0.362019103845067	0.735	0.473	5.45987509024409e-302
Il1b	1.64038527697974e-305	0.508706858408756	0.205	0.027	3.16331896812774e-301
Rpl37	3.77186448085843e-305	0.333578740939392	0.973	0.901	7.27366346488739e-301
Calm2	9.65985472696783e-304	-0.412073930184619	0.498	0.737	1.86280638554848e-299
Chst2	1.87070439217927e-302	0.176477509486394	0.188	0.017	3.60746634987851e-298
Plin2	1.4884949505075e-301	0.393477687572033	0.495	0.213	2.87041366255865e-297
Rack1	2.17035728158972e-301	0.346439889297061	0.93	0.788	4.18531698181761e-297
Neat1	5.85266215652474e-301	0.4427313264501	0.423	0.146	1.12862737026423e-296
C3ar1	7.27549719529911e-300	0.357692113424483	0.6	0.315	1.40300687914148e-295
Rplp0	2.35537488691732e-298	0.346097817445677	0.959	0.872	4.54210493193135e-294
Id2	3.53675006273452e-297	0.571971848238696	0.555	0.257	6.82026882097725e-293
Nceh1	1.97579307936632e-294	0.208257488074185	0.253	0.044	3.81011937425001e-290
Tgfbr1	1.16121710489094e-292	-0.399213355602231	0.633	0.831	2.23929106507169e-288
Cxcl10	1.78086179427244e-290	0.572600178709533	0.199	0.024	3.43421388407497e-286
Rps8	1.86152867911582e-282	0.309718695555194	0.987	0.942	3.58977190480694e-278
Ptger4	2.51184422028126e-282	0.172230434674373	0.16	0.011	4.84384039439038e-278
Rpl35a	3.68019223981534e-280	0.320358952536863	0.981	0.94	7.09688271525991e-276
Pld3	5.78558945621819e-280	0.337144203364464	0.567	0.314	1.11569307073712e-275
Rps13	3.25485164712248e-278	0.321300582510668	0.965	0.881	6.27665591631098e-274
Arhgap5	3.87025074185408e-274	-0.397646284677408	0.445	0.701	7.4633915305914e-270
Hspe1	4.12379696822847e-272	0.48459434717825	0.622	0.434	7.95233007353179e-268
Ifngr1	5.53241181312936e-270	-0.379016621470376	0.494	0.728	1.06687029404387e-265
Rpl22	2.02167267476237e-269	0.334722913656609	0.892	0.716	3.89859358601176e-265
Cd164	1.7461585854789e-267	-0.346606060818342	0.236	0.517	3.36729221623751e-263
Ctsz	6.27173303266294e-267	0.301061536167023	0.996	0.981	1.20944099801872e-262
Rplp2	6.25697413217679e-266	0.317485838929543	0.94	0.821	1.20659489164897e-261
Wfdc17	2.10489529700344e-265	0.188473214833401	0.166	0.015	4.05908009074144e-261
Phlda1	2.01797397873268e-264	0.329651141431684	0.207	0.031	3.8914610205881e-260
Crip1	7.73047161433172e-264	0.25098645168441	0.286	0.075	1.49074414610773e-259
Gpr65	1.08027110173722e-262	0.184252243314808	0.197	0.027	2.08319479259006e-258
Rps9	6.18771834408746e-262	0.296734456080532	0.989	0.963	1.19323960547383e-257
Ldhb	2.45363258977659e-261	-0.387634326725382	0.58	0.775	4.73158508612518e-257
Cyp4f18	7.96103017006287e-259	0.124489506852393	0.126	0.005	1.53520505799492e-254
Tnfaip3	3.69424949633031e-257	0.236736551225358	0.237	0.05	7.12399072872337e-253
Jund	4.48585281383623e-257	0.480714453170074	0.885	0.753	8.65051856620178e-253
Ptgs1	2.13044048101644e-256	-0.373057059535655	0.463	0.708	4.10834142359211e-252
Klf2	3.15780779799025e-256	0.626601809183816	0.802	0.701	6.08951655764441e-252
Rpl30	5.52801341920012e-256	0.303125219063609	0.982	0.939	1.06602210775855e-251
Rpl29	1.98730263968422e-255	0.396696975653934	0.61	0.393	3.83231441036706e-251
Calr	3.21386381326644e-253	-0.333109841458623	0.79	0.92	6.197614977503e-249
Fosb	4.69225872545026e-253	0.496205238564432	0.434	0.178	9.04855172615828e-249
Bhlhe40	7.14010830681067e-252	0.165440204661057	0.151	0.012	1.37689848588537e-247
Ccnl1	1.42591479301638e-250	0.353469403953686	0.546	0.298	2.7497340868528e-246
Rps25	2.59909081156491e-249	0.314190466490132	0.93	0.81	5.01208672102177e-245
H2-Q7	1.43522505473065e-246	0.159996838364871	0.162	0.017	2.76768799554259e-242
Klf6	5.26035978863305e-245	0.528003652529894	0.718	0.493	1.01440778164e-240
Rgs1	5.1729248825584e-244	0.638136647359589	0.621	0.37	9.97546834352562e-240
Rpl6	2.76789960295191e-243	0.312100758653389	0.95	0.86	5.33761759433246e-239
Lilr4b	3.72633007916193e-243	0.147716598147416	0.14	0.01	7.18585492465586e-239
Myo5a	6.48170348211238e-242	0.168888882253707	0.202	0.032	1.24993169949055e-237
Ctss	6.81480692598094e-240	0.211661233966215	1	1	1.31416736760616e-235
Rps23	2.7369767182426e-239	0.293916845859368	0.974	0.913	5.27798590345904e-235
Maff	7.42099801807064e-239	0.155091602241043	0.151	0.014	1.43106525780474e-234
Rpl22l1	1.06037571585362e-238	0.297725229061866	0.523	0.273	2.04482853045212e-234
Hmox1	4.22961786303485e-238	0.572602822022239	0.439	0.226	8.15639508707641e-234
Hspa8	1.0116119217871e-235	0.477353292130498	0.969	0.94	1.95079242997424e-231
Rps7	1.29274524456816e-235	0.316252984918919	0.844	0.657	2.49292992962524e-231
Npm1	1.70797331707183e-235	0.315156331574859	0.695	0.465	3.29365574464131e-231
Rps4x	1.33047874933956e-233	0.285553034162883	0.988	0.951	2.5656952202264e-229
Rps27	4.87555469441415e-230	0.310376217648692	0.903	0.75	9.40201967270824e-226
Mcl1	1.89283090786397e-227	0.354914071651482	0.547	0.358	3.65013512272487e-223
Cd81	4.03975809701531e-227	-0.235420808458702	0.993	0.997	7.79026951428433e-223
Fabp3	5.06346822016726e-226	0.159280069195988	0.151	0.015	9.76439211577054e-222
Maf	6.79207572791301e-224	-0.364851702098212	0.364	0.62	1.30978388337074e-219
Rps15	1.09770504128551e-223	0.288657147246262	0.946	0.853	2.11681440161498e-219
Gem	1.60164720812165e-222	0.355895469567967	0.368	0.135	3.08861647614179e-218
Cadm1	8.43564678067146e-221	0.293307948478804	0.556	0.316	1.62673012518468e-216
Rpl3	1.74100908603927e-220	0.29817052452765	0.938	0.836	3.35736192151812e-216
mt-Co1	6.77151715736533e-219	0.380913959068922	0.988	0.986	1.30581936862633e-214
Crlf2	1.22189965618064e-218	0.252390483653826	0.318	0.109	2.35631129697874e-214
Atp1a3	1.69024501960674e-216	0.129239520391419	0.132	0.011	3.25946849580964e-212
H2-Ab1	1.49619021133418e-215	0.235953888984764	0.235	0.062	2.88525320353683e-211
Ccl6	2.7925886175196e-214	0.346174095626716	0.399	0.183	5.3852278900248e-210
Zfand2a	1.43605921045403e-213	0.212579267954935	0.21	0.044	2.76929658143955e-209
Rpl7a	1.05016718688948e-211	0.294697171477821	0.797	0.603	2.02514240319768e-207
P2rx4	1.18461023442966e-211	0.271033052889168	0.463	0.223	2.28440237607416e-207
Rpl21	2.07504643034775e-211	0.365057353734691	0.89	0.774	4.0015195362826e-207
Ifi204	8.99924559479685e-211	0.118319504421223	0.119	0.008	1.73541452050063e-206
Rai14	2.63146164698382e-209	0.123275533759147	0.131	0.011	5.0745106400436e-205
Tcim	6.80157697299246e-208	0.282456512807492	0.238	0.062	1.31161610347187e-203
