,Arf1_WT,Arf1_IFNg,Arf1_Arf1_IFNg,Arf1_WT_sig,Arf1_all_sig
cluster1,3.06E-41,4.41E-117,1.46E-211,sig,sig
cluster2,0.053245001,1.58E-37,3.13E-97,ns,ns
cluster3,0.780731432,3.72E-33,3.24E-96,ns,ns
cluster4,2.51E-80,2.98E-06,0.034378918,sig,sig
cluster5,2.30E-121,3.12E-54,2.12E-05,sig,sig
cluster6,1.72E-16,2.08E-19,0.000259774,sig,sig
cluster7,0.008583888,0.000406319,0.627770108,sig,ns
cluster8,0.740700753,5.62E-09,3.29E-14,ns,ns
cluster9,1.49E-06,2.37E-07,0.980599983,sig,ns
cluster10,1.04E-17,0.003695263,7.80E-06,sig,sig
cluster11,0.598197688,3.20E-11,0.000252825,ns,ns
cluster12,5.74E-09,5.36E-09,1.74E-06,sig,sig
