ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:0050900,leukocyte migration,Dec-60,304/15833,1.24E-09,1.73E-06,1.20E-06,Spp1/Ccl3/Ccl4/Cd74/Cxcl2/Dusp1/Tlr2/Cx3cr1/Selplg/P2ry12/Il1b/Cxcl10,12,
GO:0097529,myeloid leukocyte migration,Oct-60,184/15833,1.60E-09,1.73E-06,1.20E-06,Spp1/Ccl3/Ccl4/Cd74/Cxcl2/Dusp1/Cx3cr1/P2ry12/Il1b/Cxcl10,10,
GO:0009617,response to bacterium,14/60,500/15833,3.75E-09,2.69E-06,1.87E-06,Lyz2/Cxcl2/Nfkbia/Cd52/Junb/Lpl/H2-K1/Axl/Zfp36/Tlr2/Cx3cr1/Il1b/Cxcl10/Rgs1,14,
GO:1902107,positive regulation of leukocyte differentiation,Sep-60,155/15833,6.31E-09,3.41E-06,2.36E-06,Ccl3/Cd74/Cd83/Fos/Axl/Vsir/Il1b/Id2/Hsp90aa1,9,
GO:0030593,neutrophil chemotaxis,Jul-60,87/15833,3.61E-08,1.15E-05,7.97E-06,Spp1/Ccl3/Ccl4/Cd74/Cxcl2/Il1b/Cxcl10,7,
GO:0030595,leukocyte chemotaxis,Sep-60,190/15833,3.72E-08,1.15E-05,7.97E-06,Spp1/Ccl3/Ccl4/Cd74/Cxcl2/Dusp1/Cx3cr1/Il1b/Cxcl10,9,
GO:0060326,cell chemotaxis,Oct-60,259/15833,4.24E-08,1.15E-05,7.97E-06,Spp1/Ccl3/Ccl4/Cd74/Cxcl2/Dusp1/Ccrl2/Cx3cr1/Il1b/Cxcl10,10,
GO:1903708,positive regulation of hemopoiesis,Sep-60,193/15833,4.26E-08,1.15E-05,7.97E-06,Ccl3/Cd74/Cd83/Fos/Axl/Vsir/Il1b/Id2/Hsp90aa1,9,
GO:0032680,regulation of tumor necrosis factor production,Aug-60,151/15833,9.56E-08,1.99E-05,1.38E-05,Ccl3/Ccl4/Lpl/Axl/Zfp36/Tlr2/Cx3cr1/Vsir,8,
GO:0019221,cytokine-mediated signaling pathway,Oct-60,283/15833,9.74E-08,1.99E-05,1.38E-05,Ccl3/Ccl4/Cd74/Cxcl2/Nfkbia/Axl/Cx3cr1/Il1b/Cxcl10/Klf6,10,
GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,Aug-60,153/15833,1.06E-07,1.99E-05,1.38E-05,Ccl3/Ccl4/Lpl/Axl/Zfp36/Tlr2/Cx3cr1/Vsir,8,
GO:0032640,tumor necrosis factor production,Aug-60,154/15833,1.11E-07,1.99E-05,1.38E-05,Ccl3/Ccl4/Lpl/Axl/Zfp36/Tlr2/Cx3cr1/Vsir,8,
GO:1990266,neutrophil migration,Jul-60,104/15833,1.25E-07,1.99E-05,1.38E-05,Spp1/Ccl3/Ccl4/Cd74/Cxcl2/Il1b/Cxcl10,7,
GO:0071706,tumor necrosis factor superfamily cytokine production,Aug-60,157/15833,1.29E-07,1.99E-05,1.38E-05,Ccl3/Ccl4/Lpl/Axl/Zfp36/Tlr2/Cx3cr1/Vsir,8,
GO:1903706,regulation of hemopoiesis,Nov-60,376/15833,1.41E-07,2.03E-05,1.41E-05,Ccl3/Cd74/Nfkbia/Cd83/Fos/Axl/Zfp36/Vsir/Il1b/Id2/Hsp90aa1,11,
GO:0071621,granulocyte chemotaxis,Jul-60,108/15833,1.62E-07,2.09E-05,1.45E-05,Spp1/Ccl3/Ccl4/Cd74/Cxcl2/Il1b/Cxcl10,7,
GO:0071219,cellular response to molecule of bacterial origin,Aug-60,162/15833,1.65E-07,2.09E-05,1.45E-05,Cxcl2/Nfkbia/Axl/Zfp36/Tlr2/Cx3cr1/Il1b/Cxcl10,8,
GO:0006875,cellular metal ion homeostasis,Dec-60,493/15833,2.61E-07,3.13E-05,2.17E-05,Apoe/Ccl3/Fth1/Cxcl2/Ccrl2/Cd52/Ftl1/Mt1/Cx3cr1/Il1b/Cxcl10/Hmox1,12,
GO:0050727,regulation of inflammatory response,Oct-60,319/15833,2.96E-07,3.29E-05,2.28E-05,Apoe/Ccl3/Nfkbia/Lpl/Cst7/Ier3/Zfp36/Tlr2/Cx3cr1/Il1b,10,
GO:0002237,response to molecule of bacterial origin,Sep-60,243/15833,3.05E-07,3.29E-05,2.28E-05,Cxcl2/Nfkbia/Junb/Axl/Zfp36/Tlr2/Cx3cr1/Il1b/Cxcl10,9,
GO:0071216,cellular response to biotic stimulus,Aug-60,183/15833,4.19E-07,4.30E-05,2.98E-05,Cxcl2/Nfkbia/Axl/Zfp36/Tlr2/Cx3cr1/Il1b/Cxcl10,8,
GO:0097530,granulocyte migration,Jul-60,128/15833,5.18E-07,5.08E-05,3.52E-05,Spp1/Ccl3/Ccl4/Cd74/Cxcl2/Il1b/Cxcl10,7,
GO:1902105,regulation of leukocyte differentiation,Sep-60,270/15833,7.38E-07,6.92E-05,4.80E-05,Ccl3/Cd74/Cd83/Fos/Axl/Vsir/Il1b/Id2/Hsp90aa1,9,
GO:0032103,positive regulation of response to external stimulus,Sep-60,281/15833,1.03E-06,9.25E-05,6.41E-05,Ccl3/Ccl4/Cd74/Nfkbia/Lpl/Tlr2/P2ry12/Il1b/Cxcl10,9,
GO:0070997,neuron death,Oct-60,376/15833,1.33E-06,0.000114424,7.93E-05,Apoe/Ccl3/Cxcl2/Fos/Btg2/Mt1/Axl/Cx3cr1/Il1b/Hmox1,10,
GO:0071222,cellular response to lipopolysaccharide,Jul-60,154/15833,1.80E-06,0.000149502,0.000103552,Cxcl2/Nfkbia/Axl/Zfp36/Cx3cr1/Il1b/Cxcl10,7,
GO:0032496,response to lipopolysaccharide,Aug-60,226/15833,2.06E-06,0.000159792,0.00011068,Cxcl2/Nfkbia/Junb/Axl/Zfp36/Cx3cr1/Il1b/Cxcl10,8,
GO:0045621,positive regulation of lymphocyte differentiation,Jun-60,100/15833,2.07E-06,0.000159792,0.00011068,Cd74/Cd83/Axl/Vsir/Il1b/Hsp90aa1,6,
GO:0002521,leukocyte differentiation,Nov-60,500/15833,2.36E-06,0.000175476,0.000121544,Ccl3/Cd74/Cd83/Fos/Junb/Axl/Tlr2/Vsir/Il1b/Id2/Hsp90aa1,11,
GO:1990868,response to chemokine,May-60,60/15833,3.07E-06,0.000210308,0.00014567,Ccl3/Ccl4/Cxcl2/Dusp1/Cxcl10,5,
GO:1990869,cellular response to chemokine,May-60,60/15833,3.07E-06,0.000210308,0.00014567,Ccl3/Ccl4/Cxcl2/Dusp1/Cxcl10,5,
GO:0001818,negative regulation of cytokine production,Aug-60,239/15833,3.12E-06,0.000210308,0.00014567,Cd83/Axl/Zfp36/Tlr2/Cx3cr1/Vsir/Klf2/Hmox1,8,
GO:0045619,regulation of lymphocyte differentiation,Jul-60,169/15833,3.34E-06,0.000218742,0.000151511,Cd74/Cd83/Axl/Vsir/Il1b/Id2/Hsp90aa1,7,
GO:0045428,regulation of nitric oxide biosynthetic process,May-60,62/15833,3.62E-06,0.000226633,0.000156977,Tlr2/Cx3cr1/Il1b/Klf2/Hsp90aa1,5,
GO:0009991,response to extracellular stimulus,Sep-60,328/15833,3.68E-06,0.000226633,0.000156977,Apoe/Spp1/Atf3/Fos/Lpl/Axl/Zfp36/P2ry12/Il1b,9,
GO:0043523,regulation of neuron apoptotic process,Aug-60,248/15833,4.10E-06,0.000245775,0.000170236,Apoe/Ccl3/Btg2/Mt1/Axl/Cx3cr1/Il1b/Hmox1,8,
GO:1901214,regulation of neuron death,Sep-60,343/15833,5.29E-06,0.000308328,0.000213563,Apoe/Ccl3/Fos/Btg2/Mt1/Axl/Cx3cr1/Il1b/Hmox1,9,
GO:0002685,regulation of leukocyte migration,Jul-60,184/15833,5.87E-06,0.000333082,0.000230709,Ccl4/Cd74/Dusp1/Tlr2/P2ry12/Il1b/Cxcl10,7,
GO:0050866,negative regulation of cell activation,Jul-60,185/15833,6.08E-06,0.000336315,0.000232948,Apoe/Cd74/Cst7/Axl/Vsir/Id2/Hmox1,7,
GO:0006809,nitric oxide biosynthetic process,May-60,70/15833,6.61E-06,0.000351504,0.000243469,Tlr2/Cx3cr1/Il1b/Klf2/Hsp90aa1,5,
GO:0070372,regulation of ERK1 and ERK2 cascade,Aug-60,265/15833,6.68E-06,0.000351504,0.000243469,Apoe/Ccl3/Ccl4/Atf3/Cd74/Dusp1/Tlr2/Il1b,8,
GO:0046209,nitric oxide metabolic process,May-60,73/15833,8.13E-06,0.000416621,0.000288572,Tlr2/Cx3cr1/Il1b/Klf2/Hsp90aa1,5,
GO:0051402,neuron apoptotic process,Aug-60,273/15833,8.30E-06,0.000416621,0.000288572,Apoe/Ccl3/Btg2/Mt1/Axl/Cx3cr1/Il1b/Hmox1,8,
GO:0030099,myeloid cell differentiation,Sep-60,372/15833,1.02E-05,0.000485361,0.000336185,Ccl3/Cd74/Nfkbia/Fos/Junb/Zfp36/Tlr2/Id2/Klf2,9,
