	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
P2ry12	0	0.614686742893803	0.981	0.801	0	1	P2ry12
Pmepa1	0	0.544414549450701	0.833	0.586	0	1	Pmepa1
Cst3	0	0.54153545641164	1	0.992	0	1	Cst3
Tmem119	0	0.533239736580648	0.972	0.791	0	1	Tmem119
Selplg	0	0.514005609467318	0.995	0.877	0	1	Selplg
Gpr34	0	0.505133961286809	0.922	0.704	0	1	Gpr34
Crybb1	0	0.455894135428393	0.67	0.357	0	1	Crybb1
Hexb	0	0.452500510684684	1	0.948	0	1	Hexb
Fcrls	0	0.442539253637257	0.825	0.636	0	1	Fcrls
Olfml3	0	0.428444292630457	0.961	0.815	0	1	Olfml3
Siglech	0	0.395648660977723	0.889	0.687	0	1	Siglech
Vsir	0	0.380214655205367	0.938	0.772	0	1	Vsir
Rgs10	0	0.372214493429008	0.926	0.774	0	1	Rgs10
Cx3cr1	0	0.368344008934478	0.996	0.903	0	1	Cx3cr1
Lgmn	0	0.367796114769835	0.999	0.927	0	1	Lgmn
Rnase4	0	0.362061942326553	0.878	0.682	0	1	Rnase4
Csf1r	0	0.359126888958576	0.999	0.92	0	1	Csf1r
Laptm5	0	0.339239767306992	0.993	0.898	0	1	Laptm5
Tgfbr1	0	0.338867429998148	0.831	0.635	0	1	Tgfbr1
Tmsb4x	0	0.335891520024381	1	0.958	0	1	Tmsb4x
Sparc	0	0.331221595926086	0.994	0.918	0	1	Sparc
Ldhb	0	0.321732160013551	0.775	0.583	0	1	Ldhb
Calr	0	0.315046607820789	0.92	0.776	0	1	Calr
Ltc4s	0	0.309013332539352	0.674	0.466	0	1	Ltc4s
Itm2b	0	0.307984406675434	1	0.934	0	1	Itm2b
Marcks	0	0.303692476982597	0.944	0.811	0	1	Marcks
C1qa	0	0.299013622810453	1	0.945	0	1	C1qa
Fcgr3	0	0.298595124666917	0.934	0.801	0	1	Fcgr3
Ckb	0	0.29537774388523	0.849	0.68	0	1	Ckb
Bin1	0	0.294720101432226	0.815	0.643	0	1	Bin1
Ywhah	0	0.292126596885648	0.73	0.543	0	1	Ywhah
Arhgap5	0	0.292093432986544	0.701	0.5	0	1	Arhgap5
Ifngr1	0	0.292030238382603	0.728	0.53	0	1	Ifngr1
Aif1	0	0.290332236311441	0.813	0.646	0	1	Aif1
P2ry13	0	0.289932068432558	0.683	0.472	0	1	P2ry13
C1qc	0	0.285656167685384	1	0.933	0	1	C1qc
Serinc3	0	0.284800864229562	0.954	0.839	0	1	Serinc3
Lpcat2	0	0.282101408949919	0.829	0.657	0	1	Lpcat2
C1qb	0	0.282085266208319	1	0.941	0	1	C1qb
Pnp	0	0.279511097431833	0.684	0.479	0	1	Pnp
Cd81	0	0.271494922902362	0.997	0.922	0	1	Cd81
Calm2	0	0.263222193480652	0.737	0.571	0	1	Calm2
Cyth4	0	0.263160046752062	0.764	0.581	0	1	Cyth4
Maf	0	0.257191869468547	0.62	0.436	0	1	Maf
Neat1	0	-0.285806205597672	0.146	0.329	0	1	Neat1
Nr4a1	0	-0.294479198934497	0.114	0.294	0	1	Nr4a1
Gem	0	-0.318688865229672	0.135	0.339	0	1	Gem
Neurl3	0	-0.321392549393377	0.183	0.366	0	1	Neurl3
Ccnl1	0	-0.330513059285377	0.298	0.502	0	1	Ccnl1
Nfkbiz	0	-0.346091226503623	0.086	0.308	0	1	Nfkbiz
H2-K1	0	-0.347243729646454	0.519	0.669	0	1	H2-K1
Cd52	0	-0.349447401903775	0.325	0.487	0	1	Cd52
