,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006457,GO:0006457,protein folding,67/2724,142/14004,5.8549982752987e-14,3.33325051812755e-10,2.78697917904218e-10,Hspa8/Hsp90aa1/Hspa1b/Hsph1/Hspd1/Grn/Pdia3/Hsp90ab1/Dnajb1/Hspb1/Hsp90b1/Calr/Hspe1/Hspa1a/Ppib/Cct4/Dnaja1/P4hb/Prdx4/Pdia4/Nudcd3/Dnajb14/Cct8/Dnajb11/Cct5/Fkbp1a/Fkbp9/Mesd/Fkbp5/Ppih/Pfdn5/Hspa5/Fkbp4/Dnajb4/H2-DMb1/B2m/Cct7/Cct2/Cct3/Cryab/Tbca/Erp44/Nktr/Emc3/St13/Emc4/Ero1lb/Ppia/Dnajc3/Dnajc10/Dnaja4/Cd74/Chordc1/Ptges3/Pdcd5/Ppid/Tor1a/Hspa1l/Ppil2/Selenof/Tcp1/Dnajb6/Sgta/Dnajc1/H2-DMa/Stub1/Nudcd2,67
GO:0002181,GO:0002181,cytoplasmic translation,44/2724,82/14004,4.99915612510995e-12,1.42300979101255e-08,1.18979915777617e-08,Eif2s3y/Rpl29/Rps29/Rps28/Rpl10a/Rpsa/Rpl15/Rpl9/Rpl8/Eef2/Rpl6/Rpl17/Rpl39/Rpl11/Rpl38/Rpl36/Rps26/Eif5/Rpl18/Rps21/Rpl19/Eif3d/Rpl24/Cpeb2/Eif3m/Rplp0/Rpl13a/Rpl30/Rpl31/Drg1/Tma7/Cpeb4/Rpl35a/Eif4b/Rpl18a/Rps23/Dph5/Dhx9/Ythdf2/Rps2/Eif2s3x/Nck1/Dhx36/Dph6,44
GO:0097529,GO:0097529,myeloid leukocyte migration,70/2724,170/14004,4.86342399864846e-11,9.22915760810189e-08,7.71663274452222e-08,Spp1/Fcgr3/Slamf8/Dusp1/Ccl3/Ccl9/Sirpa/Pdgfb/Fcer1g/Ccl4/Csf1/P2ry12/Cd300a/Itgam/Trem2/Cxcl10/Aif1/Ccl2/Lgmn/Rps19/Ccl12/Ccl24/Mif/Serpine1/Lgals3/Cd81/Cd9/Jam3/S100a8/Il1b/Itgb2/Creb3/Jagn1/C5ar2/C1qbp/P2rx4/Cklf/Pla2g7/Swap70/Vegfb/Rpl13a/Pecam1/Ccl7/Slamf1/Jaml/S100a9/Rac2/Ccr7/Bst1/Rarres2/Rtn4/Cxcl2/Cx3cr1/C3ar1/Il1a/Mpp1/Cd200r1/Prtn3/Flt1/Cd74/Mmp14/Nckap1l/Csf3r/Lyn/Ifng/Ano6/Itga1/Mospd2/Ddt/Ednrb,70
GO:0050900,GO:0050900,leukocyte migration,101/2724,285/14004,1.24351534555929e-10,1.76640928325731e-07,1.47692046167307e-07,Ccr6/Spp1/Fcgr3/Slamf8/Dusp1/Ccl3/Ccl9/Sirpa/Pdgfb/Fcer1g/Ccl4/Calr/Csf1/P2ry12/Cd300a/Padi2/Itgam/Trem2/Cxcl10/Ptn/Aif1/Ccl2/Lgmn/Rps19/Ada/Wnk1/Ccl12/Ccl24/Mif/Serpine1/Lgals3/Cd81/Cd9/Jam3/Tnf/S100a8/Apod/Il1b/Itgb2/Creb3/Jagn1/C5ar2/Cxcl16/C1qbp/P2rx4/Cklf/Pla2g7/Gcnt1/Swap70/Gas6/Gpr183/Vegfb/Ch25h/Rpl13a/Myo1g/Pecam1/Aimp1/Ccl7/Slamf1/Jaml/S100a9/Rac2/Rhoa/Itgb3/Ccr7/Bst1/Rarres2/Elane/Coro1a/Cdc42/Rtn4/Cxcl2/App/Cx3cr1/C3ar1/Il1a/Mpp1/Cd200r1/Prtn3/Stk10/Flt1/Cd74/Mmp14/Spns2/Cxcl14/Adora3/Tnfrsf14/Nckap1l/Csf3r/Cd24a/Lyn/Il33/Icam1/Ifng/Itga6/Ano6/Itga1/Mospd2/Selplg/Ddt/Ednrb,101
GO:0045454,GO:0045454,cell redox homeostasis,33/2724,57/14004,1.55138703957255e-10,1.76640928325731e-07,1.47692046167307e-07,Sh3bgrl3/Qsox1/Pdia6/Pdia3/P4hb/Prdx4/Pdia4/Pdia5/Krit1/Selenos/Txndc12/Gclc/Prdx1/Txndc15/Tmx2/Glrx3/Tmx4/Gpx1/Txn2/Sco2/Txnl1/Erp44/Dld/Tmx1/Txndc9/Ero1lb/Ddit3/Dnajc10/Txn1/Glrx2/Tmx3/Prdx6/Prdx5,33
GO:0009126,GO:0009126,purine nucleoside monophosphate metabolic process,81/2724,218/14004,6.5890350121311e-10,4.55798672869219e-07,3.81099891596256e-07,Fam20c/Hspa8/Ddit4/Pid1/Slc25a25/Trem2/Aldoa/Ier3/Ada/Mif/Gpi1/Tpi1/Pgam1/Atp1a2/Ldha/Hk2/Mtch2/Nupr1/Atp5g2/Atp6v1b2/Cox7a2l/Nudt5/Atp5f1/Ndufb8/Aprt/Tspo/Ndufa10/Gmpr2/Atp5c1/Cox4i1/Uqcrh/Ola1/Ndufc2/Dld/Hk3/Rhoa/Sdhd/Bcl2l1/Zbtb7a/Igf1/Uqcrc1/Cox7c/Eif6/Atp5b/Uqcrb/Zbtb20/Atp5a1/Impdh2/Aldoc/Ctns/Gapdh/Ndufb9/Cyc1/Nudt4/Ndufv1/Pink1/Surf1/Atp5k/Cox5a/Nudt9/Atp5e/Hprt/Taz/Uqcc3/Stoml2/Uqcrfs1/Nipsnap2/Shmt2/Jmjd8/Atp5j2/Bid/Cox4i2/Atp5l/Ndufv2/Uqcr10/Atp5j/Adpgk/Dnm1l/Ndufb6/Ndufa12/Ndufs6,81
GO:0009167,GO:0009167,purine ribonucleoside monophosphate metabolic process,81/2724,218/14004,6.5890350121311e-10,4.55798672869219e-07,3.81099891596256e-07,Fam20c/Hspa8/Ddit4/Pid1/Slc25a25/Trem2/Aldoa/Ier3/Ada/Mif/Gpi1/Tpi1/Pgam1/Atp1a2/Ldha/Hk2/Mtch2/Nupr1/Atp5g2/Atp6v1b2/Cox7a2l/Nudt5/Atp5f1/Ndufb8/Aprt/Tspo/Ndufa10/Gmpr2/Atp5c1/Cox4i1/Uqcrh/Ola1/Ndufc2/Dld/Hk3/Rhoa/Sdhd/Bcl2l1/Zbtb7a/Igf1/Uqcrc1/Cox7c/Eif6/Atp5b/Uqcrb/Zbtb20/Atp5a1/Impdh2/Aldoc/Ctns/Gapdh/Ndufb9/Cyc1/Nudt4/Ndufv1/Pink1/Surf1/Atp5k/Cox5a/Nudt9/Atp5e/Hprt/Taz/Uqcc3/Stoml2/Uqcrfs1/Nipsnap2/Shmt2/Jmjd8/Atp5j2/Bid/Cox4i2/Atp5l/Ndufv2/Uqcr10/Atp5j/Adpgk/Dnm1l/Ndufb6/Ndufa12/Ndufs6,81
GO:0046034,GO:0046034,ATP metabolic process,74/2724,193/14004,7.02929617002569e-10,4.55798672869219e-07,3.81099891596256e-07,Fam20c/Hspa8/Ddit4/Pid1/Slc25a25/Trem2/Aldoa/Ier3/Mif/Gpi1/Tpi1/Pgam1/Atp1a2/Ldha/Hk2/Mtch2/Nupr1/Atp5g2/Atp6v1b2/Cox7a2l/Nudt5/Atp5f1/Ndufb8/Tspo/Ndufa10/Atp5c1/Cox4i1/Uqcrh/Ola1/Ndufc2/Dld/Hk3/Rhoa/Sdhd/Bcl2l1/Zbtb7a/Igf1/Uqcrc1/Cox7c/Eif6/Atp5b/Uqcrb/Zbtb20/Atp5a1/Aldoc/Ctns/Gapdh/Ndufb9/Cyc1/Ndufv1/Pink1/Surf1/Atp5k/Cox5a/Atp5e/Taz/Uqcc3/Stoml2/Uqcrfs1/Nipsnap2/Shmt2/Jmjd8/Atp5j2/Bid/Cox4i2/Atp5l/Ndufv2/Uqcr10/Atp5j/Adpgk/Dnm1l/Ndufb6/Ndufa12/Ndufs6,74
GO:0009161,GO:0009161,ribonucleoside monophosphate metabolic process,82/2724,222/14004,7.20567021925693e-10,4.55798672869219e-07,3.81099891596256e-07,Fam20c/Hspa8/Ddit4/Pid1/Slc25a25/Trem2/Aldoa/Ier3/Ada/Mif/Gpi1/Tpi1/Pgam1/Atp1a2/Ldha/Hk2/Mtch2/Nupr1/Atp5g2/Atp6v1b2/Cox7a2l/Nudt5/Atp5f1/Ndufb8/Aprt/Tspo/Ndufa10/Gmpr2/Atp5c1/Cox4i1/Uqcrh/Ola1/Ndufc2/Dld/Hk3/Rhoa/Sdhd/Bcl2l1/Zbtb7a/Igf1/Uqcrc1/Cox7c/Eif6/Atp5b/Uqcrb/Zbtb20/Atp5a1/Impdh2/Aldoc/Ctns/Gapdh/Ndufb9/Cyc1/Nudt4/Ndufv1/Pink1/Surf1/Atp5k/Cox5a/Nudt9/Atp5e/Hprt/Taz/Uck2/Uqcc3/Stoml2/Uqcrfs1/Nipsnap2/Shmt2/Jmjd8/Atp5j2/Bid/Cox4i2/Atp5l/Ndufv2/Uqcr10/Atp5j/Adpgk/Dnm1l/Ndufb6/Ndufa12/Ndufs6,82
GO:0009123,GO:0009123,nucleoside monophosphate metabolic process,83/2724,229/14004,1.63349152411252e-09,9.2994672467726e-07,7.77541965477562e-07,Fam20c/Hspa8/Ddit4/Pid1/Slc25a25/Trem2/Aldoa/Ier3/Ada/Mif/Gpi1/Tpi1/Pgam1/Atp1a2/Ldha/Hk2/Mtch2/Nupr1/Atp5g2/Atp6v1b2/Cox7a2l/Nudt5/Atp5f1/Ndufb8/Aprt/Tspo/Ndufa10/Gmpr2/Atp5c1/Cox4i1/Uqcrh/Ola1/Ndufc2/Dld/Hk3/Rhoa/Sdhd/Bcl2l1/Zbtb7a/Igf1/Uqcrc1/Cox7c/Eif6/Atp5b/Uqcrb/Zbtb20/Atp5a1/Impdh2/Aldoc/Ctns/Gapdh/Ndufb9/Cyc1/Nudt4/Dctd/Ndufv1/Pink1/Surf1/Atp5k/Cox5a/Nudt9/Atp5e/Hprt/Taz/Uck2/Uqcc3/Stoml2/Uqcrfs1/Nipsnap2/Shmt2/Jmjd8/Atp5j2/Bid/Cox4i2/Atp5l/Ndufv2/Uqcr10/Atp5j/Adpgk/Dnm1l/Ndufb6/Ndufa12/Ndufs6,83
