p_val	avg_logFC	pct.1	pct.2	p_val_adj
Gm26825	0	1.13121441067196	0.556	0.03	4.94065645841247e-324
Apoe	0	0.771008572121491	0.943	0.826	4.94065645841247e-324
Gatm	0	0.440750236952731	0.585	0.211	4.94065645841247e-324
Ctsd	0	0.419096564229154	1	1	4.94065645841247e-324
Fam20c	0	0.366575859067202	0.264	0.046	4.94065645841247e-324
Ctsa	0	0.353959015983052	0.931	0.797	4.94065645841247e-324
Ctsb	0	0.331795500191196	0.989	0.974	4.94065645841247e-324
Cst3	0	0.329008037236994	1	1	4.94065645841247e-324
Edem2	0	0.274218159872161	0.547	0.309	4.94065645841247e-324
Igsf8	0	0.26917812173902	0.379	0.121	4.94065645841247e-324
Anxa3	0	-0.279714190352169	0.462	0.666	4.94065645841247e-324
Sh3bgrl3	0	-0.289580303798229	0.556	0.721	4.94065645841247e-324
Ly6e	0	-0.313846645777286	0.671	0.831	4.94065645841247e-324
Rpl29	0	-0.316119522632254	0.512	0.701	4.94065645841247e-324
Jun	0	-0.36995110706266	0.83	0.936	4.94065645841247e-324
Hspa8	0	-0.373495762480634	0.956	0.972	4.94065645841247e-324
Slc2a5	0	-0.378124949661635	0.108	0.441	4.94065645841247e-324
Gm42418	0	-0.409882559337926	0.809	0.915	4.94065645841247e-324
Klf6	0	-0.449736235850988	0.586	0.747	4.94065645841247e-324
Egr1	0	-0.456562747420566	0.536	0.733	4.94065645841247e-324
Fcrls	0	-0.468253968230459	0.787	0.934	4.94065645841247e-324
Rpl21	0	-0.507791020669395	0.782	0.929	4.94065645841247e-324
Fos	0	-0.509316285186883	0.549	0.754	4.94065645841247e-324
Atf3	0	-0.529030934825836	0.571	0.779	4.94065645841247e-324
Ubc	0	-0.834193851345738	0.688	0.924	4.94065645841247e-324
Xist	0	-1.76328195850952	0.01	0.942	4.94065645841247e-324
Tmem176a	4.94065645841247e-324	0.316064346555746	0.71	0.518	9.5275619144026e-320
Fosb	2.35102316135879e-291	-0.402674479695046	0.237	0.444	4.53371306436429e-287
H3f3b	1.0871451248479e-270	-0.352772478893879	0.85	0.913	2.09645065875669e-266
Plp1	7.04576976258161e-270	-0.30138923981651	0.156	0.341	1.35870624101624e-265
Cap1	7.90005887750918e-261	0.210634377671735	0.452	0.258	1.52344735393887e-256
Tmem176b	2.87364389394472e-258	0.26991266428046	0.818	0.687	5.54153488508301e-254
Ctsc	2.17242000059874e-248	0.245660483708672	0.763	0.586	4.18929472915462e-244
Cd63	6.77401273039068e-237	0.307082447442282	0.812	0.677	1.30630061492854e-232
Rnase4	1.49916740610382e-228	0.225006937165047	0.844	0.698	2.8909944259306e-224
Ddx3x	1.66422521659134e-222	-0.296745045819223	0.318	0.482	3.20929190767474e-218
Fam102b	4.64094357805032e-219	-0.217384942327965	0.292	0.462	8.94959559591224e-215
H2-K1	5.73469710712318e-216	-0.261015833643649	0.649	0.755	1.10587899013763e-211
Ctsz	1.30004468325959e-208	0.216896950526351	0.984	0.961	2.50700616719779e-204
Hsp90aa1	4.47476836497151e-193	-0.378688117082599	0.809	0.877	8.62914331501106e-189
Spp1	1.46845606870489e-188	0.392578294778439	0.209	0.081	2.83177068289051e-184
Dusp1	2.89241572446661e-182	-0.304344478817783	0.42	0.596	5.57773448306142e-178
Jund	1.2033672623795e-179	-0.240597194168462	0.81	0.879	2.32057342877262e-175
Hspa1b	3.90802334242616e-177	-0.335850353902788	0.662	0.751	7.5362322135346e-173
Ccl3	1.73112877532035e-171	-0.330254086263865	0.443	0.609	3.33830873032776e-167
Npc2	5.7035394304964e-170	0.200221334858423	0.899	0.808	1.09987054377693e-165
Klf4	3.65584951224092e-169	-0.313632645297649	0.256	0.41	7.04994019940538e-165
Klf2	9.85735894067651e-149	-0.284374550877134	0.726	0.828	1.90089309812006e-144
Ppp1r15a	5.6691781057492e-146	-0.221129872426925	0.435	0.587	1.09324430591267e-141
Hsph1	2.08482159688018e-142	-0.300934312432842	0.33	0.447	4.02036996742373e-138
Hspd1	4.76857780247136e-142	-0.277398283705391	0.394	0.491	9.19572543428578e-138
Zfp36	5.11403044920578e-141	-0.24040529245288	0.349	0.498	9.86189631824843e-137
Nr4a1	7.34854256580594e-141	-0.204492444991149	0.183	0.318	1.41709294839002e-136
Hsp90ab1	4.216053868003e-135	-0.245165006763396	0.909	0.91	8.13023827905698e-131
Txnip	4.29747513728723e-132	-0.265042758471537	0.565	0.641	8.2872510547447e-128
Dnajb1	1.02567202327414e-129	-0.32977605753754	0.337	0.465	1.97790592968186e-125
Pdgfb	1.77266578455011e-128	-0.214527824677017	0.314	0.432	3.41840869892642e-124
Hspb1	2.32363664174881e-117	-0.34782475462831	0.32	0.458	4.4809008999484e-113
Nfkbia	1.94278467945593e-111	-0.279123161209327	0.453	0.549	3.74646597586281e-107
Btg2	4.70500813455897e-110	-0.227813136215659	0.635	0.73	9.07313768668352e-106
Ccl4	3.18461932181416e-101	-0.277294968432657	0.613	0.718	6.14121990018643e-97
Hspe1	6.06567585451309e-83	-0.23411530379784	0.562	0.598	1.1697049317843e-78
Ptn	6.77519316226767e-50	-0.27918636224436	0.061	0.112	1.3065282494117e-45
Serpine1	1.41884278522926e-31	0.21878799150798	0.197	0.154	2.73609642703611e-27
