	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Gm26825	0	1.13121441067196	0.556	0.03	0
Apoe	0	0.771008572121491	0.943	0.826	0
Gatm	0	0.440750236952731	0.585	0.211	0
Ctsd	0	0.419096564229154	1	1	0
Fam20c	0	0.366575859067202	0.264	0.046	0
Ctsa	0	0.353959015983052	0.931	0.797	0
Ctsb	0	0.331795500191196	0.989	0.974	0
Cst3	0	0.329008037236994	1	1	0
Edem2	0	0.274218159872161	0.547	0.309	0
Igsf8	0	0.26917812173902	0.379	0.121	0
Tpm3-rs7	0	0.169236407568743	0.182	0.012	0
Ddx3y	0	0.148768377431811	0.146	0	0
Ccr6	0	0.148199831559312	0.14	0.014	0
Eif2s3y	0	0.121067860201578	0.121	0	0
Gm11361	0	0.101939333367093	0.096	0.002	0
Anxa3	0	-0.279714190352169	0.462	0.666	0
Sh3bgrl3	0	-0.289580303798229	0.556	0.721	0
Ly6e	0	-0.313846645777286	0.671	0.831	0
Rpl29	0	-0.316119522632254	0.512	0.701	0
Jun	0	-0.36995110706266	0.83	0.936	0
Hspa8	0	-0.373495762480634	0.956	0.972	0
Slc2a5	0	-0.378124949661635	0.108	0.441	0
Gm42418	0	-0.409882559337926	0.809	0.915	0
Klf6	0	-0.449736235850988	0.586	0.747	0
Egr1	0	-0.456562747420566	0.536	0.733	0
Fcrls	0	-0.468253968230459	0.787	0.934	0
Rpl21	0	-0.507791020669395	0.782	0.929	0
Fos	0	-0.509316285186883	0.549	0.754	0
Atf3	0	-0.529030934825836	0.571	0.779	0
Ubc	0	-0.834193851345738	0.688	0.924	0
Xist	0	-1.76328195850952	0.01	0.942	0
Tmem176a	4.94065645841247e-324	0.316064346555746	0.71	0.518	9.5275619144026e-320
Cacna1a	2.1352653784136e-315	0.172327384017148	0.229	0.063	4.11764575573279e-311
Fosb	2.35102316135879e-291	-0.402674479695046	0.237	0.444	4.53371306436429e-287
H3f3b	1.0871451248479e-270	-0.352772478893879	0.85	0.913	2.09645065875669e-266
Plp1	7.04576976258161e-270	-0.30138923981651	0.156	0.341	1.35870624101624e-265
Cap1	7.90005887750918e-261	0.210634377671735	0.452	0.258	1.52344735393887e-256
Tmem176b	2.87364389394472e-258	0.26991266428046	0.818	0.687	5.54153488508301e-254
C1qa	1.08844695938111e-257	0.161167868294076	1	1	2.09896111647054e-253
C1qc	4.92006368027265e-249	-0.183973699719016	0.998	0.999	9.48785080103778e-245
Ctsc	2.17242000059874e-248	0.245660483708672	0.763	0.586	4.18929472915462e-244
Qsox1	3.69823841847029e-248	0.138125730697758	0.192	0.056	7.13168296617812e-244
C1qb	4.85367838942586e-241	-0.179491730690986	0.999	1	9.35983340616883e-237
Cd63	6.77401273039068e-237	0.307082447442282	0.812	0.677	1.30630061492854e-232
Rnase4	1.49916740610382e-228	0.225006937165047	0.844	0.698	2.8909944259306e-224
Qpct	2.00527598464645e-223	0.0879879668877283	0.09	0.008	3.86697420879221e-219
Ddx3x	1.66422521659134e-222	-0.296745045819223	0.318	0.482	3.20929190767474e-218
Ctss	2.88564719395637e-221	0.173293450795013	0.999	0.998	5.56468204882546e-217
Fam102b	4.64094357805032e-219	-0.217384942327965	0.292	0.462	8.94959559591224e-215
H2-K1	5.73469710712318e-216	-0.261015833643649	0.649	0.755	1.10587899013763e-211
Ctsz	1.30004468325959e-208	0.216896950526351	0.984	0.961	2.50700616719779e-204
Hsp90aa1	4.47476836497151e-193	-0.378688117082599	0.809	0.877	8.62914331501106e-189
Phgdh	1.55618473477765e-191	-0.16153487767632	0.14	0.288	3.00094664254521e-187
Cadm1	1.00924659794126e-188	0.194412108913065	0.435	0.275	1.94623113946993e-184
Spp1	1.46845606870489e-188	0.392578294778439	0.209	0.081	2.83177068289051e-184
Fcgr3	2.64909027768089e-187	0.197320852601456	0.924	0.848	5.10850569147983e-183
Uty	9.42753078615198e-186	0.0494205864870299	0.049	0	1.81800503680155e-181
Rnf121	6.59040068069386e-185	0.116355743803441	0.169	0.056	1.270892867265e-180
Slamf8	1.42057160565911e-182	0.129312187266054	0.178	0.063	2.73943028435304e-178
Dusp1	2.89241572446661e-182	-0.304344478817783	0.42	0.596	5.57773448306142e-178
Jund	1.2033672623795e-179	-0.240597194168462	0.81	0.879	2.32057342877262e-175
Plau	2.45352931079609e-179	0.14967044736803	0.162	0.055	4.73138592293918e-175
Erp29	7.98886645334534e-178	0.190284326683689	0.782	0.64	1.54057300686311e-173
Hspa1b	3.90802334242616e-177	-0.335850353902788	0.662	0.751	7.5362322135346e-173
Pdia6	1.24660683238357e-175	0.193668395650957	0.606	0.448	2.40395661556848e-171
Ccl3	1.73112877532035e-171	-0.330254086263865	0.443	0.609	3.33830873032776e-167
Npc2	5.7035394304964e-170	0.200221334858423	0.899	0.808	1.09987054377693e-165
Klf4	3.65584951224092e-169	-0.313632645297649	0.256	0.41	7.04994019940538e-165
Procr	1.42985515007745e-166	0.0700843115947847	0.081	0.011	2.75733267140936e-162
Selenop	1.18643829646928e-164	-0.182157252198904	0.914	0.94	2.28792761091136e-160
Tsix	3.83879785262919e-164	-0.0535038826265255	0.002	0.055	7.40273777901013e-160
Ifi202b	1.20580377500364e-161	0.0477043071536812	0.042	0	2.32527199971703e-157
Psap	4.03272909637834e-161	0.163334855848444	0.994	0.98	7.77671478945599e-157
Ctse	4.13116070960728e-161	0.064987951214731	0.068	0.007	7.96653031240668e-157
Lamp1	7.1581541847145e-161	0.179158012395007	0.914	0.837	1.38037845298034e-156
Hexb	4.73709881852886e-160	0.122475579299453	1	1	9.13502136165105e-156
F11r	5.30180942578943e-159	-0.176088411339106	0.361	0.508	1.02240092966923e-154
Ywhah	1.79534716710973e-158	0.190961527663717	0.711	0.578	3.4621474770544e-154
P2ry6	2.55883957220464e-156	0.182724741197301	0.568	0.413	4.93446623103942e-152
Dpp7	5.05649808908559e-155	0.126390568755923	0.226	0.107	9.75095091499265e-151
Colec12	2.92381659209701e-154	0.0701360801855036	0.085	0.016	5.63828791619988e-150
Ucp2	9.83698087503121e-153	0.177668952951311	0.646	0.496	1.89696339194102e-148
Eef1a1	5.09100758244795e-151	0.152247008282847	0.995	0.991	9.81749902199263e-147
Ecscr	9.07206374416573e-149	-0.172269876884893	0.296	0.452	1.74945677242492e-144
Klf2	9.85735894067651e-149	-0.284374550877134	0.726	0.828	1.90089309812006e-144
Ppp1r15a	5.6691781057492e-146	-0.221129872426925	0.435	0.587	1.09324430591267e-141
Hsph1	2.08482159688018e-142	-0.300934312432842	0.33	0.447	4.02036996742373e-138
Hspd1	4.76857780247136e-142	-0.277398283705391	0.394	0.491	9.19572543428578e-138
Zfp36	5.11403044920578e-141	-0.24040529245288	0.349	0.498	9.86189631824843e-137
Grn	6.50011051683734e-141	0.184949037953211	0.937	0.881	1.25348131206691e-136
Nr4a1	7.34854256580594e-141	-0.204492444991149	0.183	0.318	1.41709294839002e-136
Gm12166	7.58161503600473e-139	0.0635194390435709	0.075	0.013	1.46203864354315e-134
Ccl9	5.6261323396584e-138	-0.169040564524257	0.194	0.331	1.08494336037973e-133
Pdia3	2.62133664325154e-136	0.17890187331881	0.747	0.626	5.05498558284626e-132
Camk2n1	2.97437374979104e-136	-0.101776076644056	0.066	0.166	5.73578233909705e-132
Hsp90ab1	4.216053868003e-135	-0.245165006763396	0.909	0.91	8.13023827905698e-131
Nfkbiz	6.9024170297214e-135	-0.198239330271386	0.186	0.317	1.33106210001147e-130
Tfe3	7.1354829441173e-135	0.13586995679179	0.321	0.186	1.37600653094358e-130
Sirpa	1.99975551901093e-134	-0.169700504889072	0.741	0.8	3.85632854286068e-130
Txnip	4.29747513728723e-132	-0.265042758471537	0.565	0.641	8.2872510547447e-128
Kdm5d	1.22678127625391e-131	0.0376439804304751	0.038	0	2.36572501312804e-127
Gaa	2.68506939039818e-131	0.129531844994477	0.305	0.179	5.17788781244385e-127
Oaf	1.54280108980303e-130	0.100759390958278	0.169	0.07	2.97513762157617e-126
