,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0072594,GO:0072594,establishment of protein localization to organelle,150/4036,339/14090,4.43216994267521e-10,1.89242091608303e-06,1.5722314031454e-06,Apod/Hspa8/Nfkbia/Txnip/Tnfaip3/Lamp1/Phip/Zc3h12a/Scarb2/Spcs2/Tgfb1/Hk2/Cfl1/Tram1/Ddx5/Vps13c/Srp14/Ppp3ca/Prkcd/Sh3glb1/Cd68/Lmna/Sec62/Cct4/Il10ra/Asna1/Cct8/Hsp90aa1/Trp53/Bbc3/M6pr/Dnaja1/Oxa1l/Hcls1/Atpif1/Kpna3/Mtch2/Pttg1ip/Ppp2ca/Macf1/Rab3gap1/H2afy/Hspa5/Nup88/Lamp2/Spcs3/Spcs1/Cct5/Vps37a/Pmaip1/Hspd1/Srp68/Fam53b/Lrwd1/Ncoa4/Immp1l/Ran/Uqcrc2/Mff/Snf8/Agk/Pkig/Mapk14/Tardbp/Hsph1/Cdkn1a/Tsg101/Timm13/Ei24/Tmco6/Cct7/Cct3/Vti1b/Pik3r1/Tnpo1/Pot1a/Vps28/Kpna4/Nf1/Med1/Srp72/Srp19/Timm21/Pmpcb/Folr1/Pex14/Xbp1/Bid/Pex19/Sgta/Cox18/Hikeshi/Pex6/Akt1/Ap3b1/Rab3gap2/Phb2/Dusp18/Gsk3a/Appl1/Ap3d1/Tpr/Timm50/Ndufa13/Sec61a1/Bnip3l/Timm22/Zfand6/Pih1d1/Tomm70a/Samm50/Rab7/Dmap1/Vps4a/Mmp12/Vti1a/Timm17b/Pex2/Tomm5/Srpr/Tomm7/Ipo11/Mipep/Nxt1/Jup/Akap5/Ruvbl2/Ipo4/Dkc1/Dnlz/Bag4/Rab11a/Nipbl/Ssr3/Tomm20/Sec61a2/Rab10/Vps13d/Trim28/Gcc2/Rbm22/Nup214/Pex3/Fbxw7/Ywhaz/Gosr2/Immp2l/Syk/Ifng/Lonp2,150
GO:0048193,GO:0048193,Golgi vesicle transport,117/4036,250/14090,6.5538386704174e-10,1.89242091608303e-06,1.5722314031454e-06,Arf1/Erp29/Lamp1/Lman1/Ergic3/Rab14/Rack1/Bcap31/Tmed9/Tmed3/Vps29/Csk/Cnih4/Tmed7/Kdelr1/Tex261/Lman2l/Arl1/Tmed2/Ergic2/Tmed5/Vamp4/Copb1/Cyth3/Exoc4/Arfgap2/Lman2/Kdelr2/Tmed10/Ier3ip1/Trappc8/Klhl20/Vcp/Arf5/Yipf5/Lmf1/Vapb/Htt/Tmed4/Trappc4/Cog8/Ddhd2/Myo1b/Gga2/Tfg/Cope/Trappc12/Hyou1/Exoc5/Vti1b/Exoc6b/Gabarapl2/Cux1/Atp9a/Rp2/Slc30a6/Myo18a/Trappc1/Cog4/Vps41/Sar1b/Sec22a/Ankfy1/Golga7/Pkdcc/Spire1/Snx1/Bicd2/Chic2/Spast/Golga4/Tmem115/Rab6b/Rer1/Gbf1/Uso1/Gopc/Slc10a7/Copz1/Myo5a/Ap3d1/Copb2/Nbea/Cul3/Bet1l/Gga3/Vapa/Bet1/Preb/Scyl1/Trappc3/Scfd1/Rab8a/Arfgap3/Cog6/Vti1a/Sec13/Ap1g1/Uvrag/Snx2/Sar1a/Sec31a/Copg2/Exoc8/Rint1/Use1/Ccdc93/Bcap29/Trappc5/Arcn1/Tbc1d14/Gga1/Tmed1/Rab10/Gcc2/Rab12/Gosr2,117
GO:0008380,GO:0008380,RNA splicing,146/4036,333/14090,1.63057454376551e-09,3.1388559967486e-06,2.60777500718708e-06,Malat1/Rbm3/Hspa8/Tmbim6/Rps26/Rps13/Cirbp/Celf2/Ivns1abp/Raly/Snrnp48/Qk/Ybx1/Rbm5/Srsf5/Rbm39/Zmat2/Ddx5/Mbnl1/Hnrnpf/Eif4a3/Txnl4a/Tra2b/Hnrnpk/Ddx17/Son/Lsm10/Cdc40/Zranb2/Srsf9/Rbm42/Npm1/Srpk2/Pabpc1/Clk1/Cwf19l2/Ddx39b/Tia1/Mbnl2/Snrnp70/Tsen34/Sf3b5/Ubl5/Zrsr1/Snrpa/Nono/Sf3b1/Srpk1/Smu1/Celf1/Zfp638/Srek1ip1/Khdrbs3/Srrm2/Snrpb/Ncbp2/Frg1/Aar2/Crnkl1/Prpf4b/Dcps/Srsf2/Srsf6/Aqr/Rbm25/Rsrc1/Luc7l2/Hnrnpa1/Tsen2/Plrg1/Hnrnpm/Tardbp/Sf3a3/Ptbp3/Hnrnpa2b1/Clns1a/Ddx47/Cwc15/Rtcb/Pik3r1/Sf3b3/Sf3b4/Rbm41/Rp9/Tra2a/Sfswap/Sfpq/Puf60/Ppie/Rnps1/Wbp4/Snu13/Cdc5l/Sf3b6/Prpf19/Ik/Snw1/Magoh/Wtap/Hnrnpu/Cdk13/Lsm5/Fam172a/BC005624/Rbm4b/Sf3b2/Rbm10/Rest/Snrpb2/Eftud2/Ddx41/Srsf3/Clk3/Lsm7/Ptbp1/Dhx9/Khdrbs1/Luc7l3/Mettl3/Dyrk1a/Ecd/U2af1/Xab2/Thoc5/Snrpd1/Prpf39/Lsm6/Usp39/Rbm28/Acin1/Scaf8/Prmt7/Lsm1/Cir1/Srsf1/Prpf38a/Phf5a/Prpf40a/Hnrnph1/Snrnp27/Usp4/Snrnp40/Rbm22/Pnn/Akt2/Prpf4,146
GO:0006457,GO:0006457,protein folding,74/4036,142/14090,3.01469246283037e-09,4.35246224321134e-06,3.61604427515285e-06,Hspa8/Pdia3/Hsp90b1/Calr/B2m/Fkbp5/Ppib/Canx/Nudcd3/Pfdn5/Emc3/Prdx4/Pdia4/Dnajb11/St13/Sh3glb1/Hspa1a/Hspe1/Cct4/Mesd/Chordc1/Ppih/Cct8/Hsp90aa1/Fkbp1a/Dnajb14/Dnaja1/Dnajb1/Fkbp9/Hspa5/P4hb/Ppid/Cct5/Dnajc3/Hspd1/Dnajb6/Dnajc7/Fkbp4/Hspa1b/Hsp90ab1/Tor1b/Tor1a/Ppil2/Hspa13/Hsph1/Cct7/Cct3/Selenof/Tbca/Ppie/Pdrg1/Dnajb4/Pex19/Sgta/Cd74/Tbcc/Ero1lb/Nktr/Dnajc10/Emc2/Ptges3/Grn/Emc4/Dnajc1/Unc45a/Erp44/Dnlz/Vbp1/Nudcd2/H2-DMa/Cdc37/Pfdn1/Ppia/Tor2a,74
GO:2001233,GO:2001233,regulation of apoptotic signaling pathway,157/4036,369/14090,5.27776343065639e-09,5.6129021131862e-06,4.6632231181413e-06,Atf3/Tgfbr1/Mcl1/Ier3/Erp29/Ctsc/Cx3cr1/Bcl2a1b/Pdia3/Tmbim6/Scg2/Tnfaip3/Tnf/Tpt1/Rpl26/S100a9/Rps7/Ddx3x/Phip/Itga6/Rpl11/Gpx1/Ubb/Ivns1abp/Itm2c/Herpud1/Pycard/Pea15a/Rack1/S100a8/Bcap31/Icam1/Gnai2/Txndc12/Vdac2/Prkcd/Sh3glb1/Lmna/Bcl2a1a/Selenos/Ptprc/Ralbp1/Hnrnpk/Trp53/Ppp1ca/Pak2/Bbc3/Pmp22/Plaur/Osm/Dnaja1/Atpif1/Mtch2/Pttg1ip/Gsk3b/Slc25a5/Grina/Triap1/Cflar/P4hb/Creb3/Rps3/Hmgb2/Nono/Pmaip1/Casp8/Vhl/Zfp385a/Map2k1/Prkra/Birc6/Gsdme/Htt/Park7/Zmynd11/Nrp1/Arrb2/Madd/Nck1/Mal/Il1b/Serpine1/Hsph1/Taf6/Fam162a/Prr7/Hyou1/Ei24/Gnai3/Stradb/Serinc3/Myc/Ctsh/Slc35f6/Mif/Sfpq/Ptpn1/Nf1/Pias4/Rb1cc1/Pten/Sgk3/Caap1/Stx4a/Xbp1/Bid/Traf7/Parp1/Hdac2/Cd74/Stk4/Akt1/Raf1/Faf1/Gsk3a/Trim32/Map2k5/Htra2/Sod2/Ndufa13/Psme3/Maz/Pih1d1/Acvr1/Itgav/Hmox1/Acaa2/Cyld/Bcl2/Traf2/Dnm1l/Ctnnb1/Faim/Msx1/Rps6kb1/Kdm1a/Rbck1/Igf1/Skil/Bcl2l1/Stk3/Mapk7/Prdx2/Siah2/Ripk3/Ptpn2/Ndufs3/Rela/March7/Map3k7/Ltbr/Ppp2r1a/Usp47/Gclm/Fbxw7/Maged1/Tmem161a,157
GO:0016197,GO:0016197,endosomal transport,91/4036,188/14090,6.58560319828826e-09,5.6129021131862e-06,4.6632231181413e-06,Cdc42/Cmtm6/Leprot/Rab14/Fcgr2b/Tmem87a/Vps29/Arl4c/Washc4/Snx5/Laptm4b/Tmcc1/Heatr5a/Snx18/Tmem50a/Snx6/Tbc1d23/Arl1/Vps35/Lrba/Vamp4/Lamtor1/Tbc1d17/Picalm/Tmem50b/Acap2/Rab35/Ehd1/Vps37a/Grasp/Cln5/Snap25/Snx27/Vcp/Cltc/Snf8/Htt/Caly/Stx16/Vti1b/Vps28/Dennd1a/Vps4b/Stx12/Vps50/Ankfy1/Snx1/Pikfyve/Rab6b/Leprotl1/Dpy30/Gbf1/Evi5/Ap3b1/Ap3d1/Ap5z1/Rab11fip3/Chmp2b/Coro1c/Bet1l/Gga3/Rab7/Rab8a/Vps16/Vps4a/Vti1a/Arf6/Ap5m1/Dennd1c/Chmp3/Vps26a/Snx2/Ap1s1/Clec16a/Lyst/Rab9/Washc1/Ccdc93/Dctn1/Rab11a/Abca1/Chmp2a/Tbc1d14/Gga1/Rab10/Gcc2/Dennd1b/Ehd4/Gosr2/Dennd5a/Heatr5b,91
GO:0002521,GO:0002521,leukocyte differentiation,194/4036,477/14090,6.80351771295297e-09,5.6129021131862e-06,4.6632231181413e-06,Fos/Ccl3/Tmem176a/Fam20c/C1qc/Csf1r/Tmem176b/Ccr6/Jun/Nfkbiz/Pnp/Tfe3/Junb/B2m/Slamf8/Cd81/Cmtm7/Tnfaip3/Csf1/Tnf/Gnas/Lyn/Nfkbid/Rps6/Cd83/Cebpb/Zc3h12a/Dock10/Pou2f2/Ighm/Tlr2/Zfp36l2/Mafb/Prex1/Zbtb16/Irf1/Tgfb1/Tnfrsf11a/Plcl2/Lgals1/Vsir/Rpl22/Egr1/Sox4/Lag3/Vav1/Atp6ap1/Fcer1g/Inpp5d/Mef2c/Lrrk1/Ptpn6/Runx1/Cebpa/Nckap1l/Ep300/Clptm1/Il7r/Rhoa/Atg5/Rhoh/Ptprc/Ikzf1/Kdelr1/Hsp90aa1/Trp53/Ada/Trf/Spi1/Zfp36l1/Gmpr2/Pou1f1/Mertk/Ncor1/Hcls1/Shb/Gsk3b/Tcirg1/Cd300lf/Foxp1/Dock2/Zmiz1/Igkc/Cbfa2t3/H2-Ab1/Tnfsf8/Tnfsf9/Sash3/Chd7/Cebpg/Abl2/Casp8/Itgam/Nfam1/Hhex/Nlrp3/Fes/Smad7/Pirb/Hs1bp3/Adam17/Fshb/Ireb2/Inpp4b/Tmem64/Dicer1/Creb1/Mapk14/App/Hlx/Dhrs7b/Itpkb/Batf3/Nkap/Il1b/Il11ra1/Hectd1/Prr7/Pik3r1/Slamf6/Nfatc3/Myc/Glo1/Klf10/Il3ra/Tmem131l/Rc3h2/Tusc2/Prkca/Nf1/H2-Aa/Med1/Lgals9/Gpr183/Tcf3/Pcid2/Adrm1/Gps2/Xbp1/Rassf2/H2-M3/Cd74/Lyl1/Egr3/Ubash3b/Asxl2/Farp2/Ap3b1/Chuk/Ptger4/Ap3d1/Satb1/Btk/Fnip1/Spib/Lgals8/Ppp3cb/Pafah1b1/Nrros/Loxl3/Mettl3/Gon4l/Nme1/Msh2/Cyld/Thoc5/Apc/Bcl2/Dock11/Pias3/Cul4a/Tob2/Sos2/Ctnnb1/Tyrobp/Kdm1a/Zfp608/Rsad2/Il18/H2-DMa/Prdx2/Ripk3/Ptpn2/Il2rg/Ltbr/Tgfbr2/Fbxw7/Mfng/Syk/Ifng/Bcl6/Irf2bp2/Abl1/Cyp26b1,194
GO:0043254,GO:0043254,regulation of protein complex assembly,169/4036,407/14090,1.15257413257145e-08,6.12006986896696e-06,5.08458026206451e-06,Arf1/H3f3b/Pmepa1/P2ry12/Jun/Bin1/Tmsb4x/Sgk1/Fscn1/Fchsd2/Tnf/Irf8/Plek/Twf2/Ddx3x/Tlr2/Evl/Prex1/Pycard/Capza2/Tgfb1/Rack1/Stmn1/Icam1/Arpc4/Coro1a/Nav3/Cfl1/Lcp1/Cebpa/Clasp2/Nckap1l/Ep300/Cyfip1/Brk1/Vdac2/Prkcd/Sh3glb1/Capg/Psmc3/Rhoa/Ikzf1/Arpc2/Tppp3/Ralb/Actr2/Fblim1/Hsp90aa1/Arpc1b/Trp53/Coro1b/Bbc3/Apoe/Pfn1/Numa1/Hcls1/Pan3/Vps35/Gsk3b/Rab3gap1/Ccl24/Lefty1/Rps3/Lamp2/Nin/Ppp1r9a/Arpc3/Fes/Arfgef1/Msn/Tlr4/Arpc5/Rictor/Actr3/Vcp/Psmc2/Fkbp4/Senp6/Creb1/Psmc4/Atf7ip/Sub1/Nck1/Psmc5/Atat1/Rhobtb1/Rdx/Cnot2/Taf6/Tmod1/Trappc12/Mapre1/Drg1/Gba/Atxn2/Tubb4a/Arhgef2/Hjurp/Vps41/Ncam1/Sar1b/Capza1/Wars/Atr/Spire1/Napa/Fnip2/Capzb/Pex14/Zfp451/Tppp/Bid/Cdc42ep3/Parp1/Napb/Dhx36/Clip1/Lcmt1/Farp2/Cnot1/Raf1/Faf1/Ptger4/Traf3ip1/Rac1/Fnip1/Ice1/Ldlrad4/Pih1d1/Psmc6/Preb/Vps16/Arf6/Svip/Dyrk1a/Grb2/Lcat/Pak1/Camsap1/Apc/Cnot6/Sar1a/Slf2/Camsap2/Rasa1/Dnm1l/Add1/Ctnnb1/Map1b/Add3/Washc1/Eml2/Bag4/Ankra2/Dctn1/Slain2/Arhgap18/Dact1/Mtpn/Cptp/Map3k7/Pick1/Xaf1/Ncln/Dhx33/Cdc42ep2/Tmod3/Ifng/Abl1,169
GO:0000375,GO:0000375,RNA splicing, via transesterification reactions,106/4036,230/14090,1.16572759408894e-08,6.12006986896696e-06,5.08458026206451e-06,Malat1/Rbm3/Hspa8/Cirbp/Celf2/Rbm5/Srsf5/Zmat2/Ddx5/Mbnl1/Eif4a3/Txnl4a/Tra2b/Hnrnpk/Ddx17/Son/Cdc40/Srsf9/Rbm42/Npm1/Srpk2/Cwf19l2/Ddx39b/Tia1/Mbnl2/Snrnp70/Sf3b5/Ubl5/Zrsr1/Snrpa/Sf3b1/Srpk1/Smu1/Celf1/Khdrbs3/Snrpb/Ncbp2/Aar2/Crnkl1/Dcps/Srsf2/Srsf6/Aqr/Rbm25/Rsrc1/Luc7l2/Hnrnpa1/Plrg1/Hnrnpm/Sf3a3/Ptbp3/Hnrnpa2b1/Clns1a/Cwc15/Sf3b3/Sf3b4/Rbm41/Tra2a/Sfswap/Sfpq/Ppie/Rnps1/Wbp4/Snu13/Cdc5l/Sf3b6/Prpf19/Ik/Snw1/Magoh/Wtap/Hnrnpu/Cdk13/Lsm5/Fam172a/BC005624/Rbm4b/Sf3b2/Rbm10/Rest/Snrpb2/Eftud2/Ddx41/Srsf3/Lsm7/Ptbp1/Dhx9/Khdrbs1/Luc7l3/Mettl3/Dyrk1a/U2af1/Xab2/Snrpd1/Prpf39/Lsm6/Usp39/Acin1/Prmt7/Srsf1/Prpf38a/Phf5a/Prpf40a/Usp4/Rbm22/Prpf4,106
GO:0000377,GO:0000377,RNA splicing, via transesterification reactions with bulged adenosine as nucleophile,106/4036,230/14090,1.16572759408894e-08,6.12006986896696e-06,5.08458026206451e-06,Malat1/Rbm3/Hspa8/Cirbp/Celf2/Rbm5/Srsf5/Zmat2/Ddx5/Mbnl1/Eif4a3/Txnl4a/Tra2b/Hnrnpk/Ddx17/Son/Cdc40/Srsf9/Rbm42/Npm1/Srpk2/Cwf19l2/Ddx39b/Tia1/Mbnl2/Snrnp70/Sf3b5/Ubl5/Zrsr1/Snrpa/Sf3b1/Srpk1/Smu1/Celf1/Khdrbs3/Snrpb/Ncbp2/Aar2/Crnkl1/Dcps/Srsf2/Srsf6/Aqr/Rbm25/Rsrc1/Luc7l2/Hnrnpa1/Plrg1/Hnrnpm/Sf3a3/Ptbp3/Hnrnpa2b1/Clns1a/Cwc15/Sf3b3/Sf3b4/Rbm41/Tra2a/Sfswap/Sfpq/Ppie/Rnps1/Wbp4/Snu13/Cdc5l/Sf3b6/Prpf19/Ik/Snw1/Magoh/Wtap/Hnrnpu/Cdk13/Lsm5/Fam172a/BC005624/Rbm4b/Sf3b2/Rbm10/Rest/Snrpb2/Eftud2/Ddx41/Srsf3/Lsm7/Ptbp1/Dhx9/Khdrbs1/Luc7l3/Mettl3/Dyrk1a/U2af1/Xab2/Snrpd1/Prpf39/Lsm6/Usp39/Acin1/Prmt7/Srsf1/Prpf38a/Phf5a/Prpf40a/Usp4/Rbm22/Prpf4,106
