	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Gh	0	2.65118970829393	0.962	0.001	0
Xist	0	1.6040099480816	0.803	0.01	0
Prl	0	1.35912580492555	0.886	0	0
Ttr	0	0.792242548198284	0.998	0.935	0
Ubc	0	0.783227704062172	0.889	0.688	0
Rpl21	0	0.581844619898579	0.915	0.782	0
Apod	0	0.493123138938967	0.505	0.066	0
Rpl29	0	0.465247183346258	0.72	0.512	0
Pomc	0	0.388827370415429	0.251	0.013	0
Ly6e	0	0.375968181895353	0.808	0.671	0
Sh3bgrl3	0	0.325014215605874	0.695	0.556	0
Hexb	0	-0.225142250267963	1	1	0
Malat1	0	-0.234419444531764	0.999	1	0
Hbb-bs	0	-0.309843653713104	0.84	0.986	0
Sparc	0	-0.326443907013909	0.959	0.991	0
Ctsd	0	-0.353453989332021	1	1	0
Gatm	0	-0.408768332310343	0.21	0.585	0
Cst3	0	-0.762132895596055	1	1	0
Gm26825	0	-0.852123768530742	0.105	0.556	0
Rbm3	4.47261976834574e-314	0.292266386377867	0.443	0.231	8.62499996127793e-310
Chgb	2.85305642266774e-301	0.122312925138993	0.099	0.001	5.50183400547247e-297
Hexa	8.04989321918457e-297	-0.289531935484687	0.747	0.906	1.55234140838755e-292
Edem2	4.04713454780258e-296	-0.277053741861115	0.29	0.547	7.80449426198249e-292
Atf3	3.60267430665174e-287	0.498109421141044	0.774	0.571	6.94739713294723e-283
H2-K1	4.77364846357921e-263	0.331363534602925	0.741	0.649	9.20550369716614e-259
Igsf8	9.59490735883964e-261	-0.224641754979177	0.155	0.379	1.85028193507864e-256
Cga	2.26977030719862e-258	0.0998874223274636	0.082	0	4.37702506040182e-254
Rps18	5.32905933283205e-258	0.294265107264834	0.84	0.788	1.02765580174333e-253
Fos	4.32227258445526e-256	0.527232386690635	0.738	0.549	8.33507045186352e-252
Hbb-bt	6.3745837050024e-250	-0.143245825853325	0.225	0.459	1.22927472167266e-245
Tpm3-rs7	1.04618683621353e-246	-0.146656899642861	0.031	0.182	2.01746669495416e-242
Dusp1	2.55027891154769e-242	0.51545594181931	0.622	0.42	4.91795785302857e-238
Ccl3	2.32765828769169e-240	0.582380044439129	0.634	0.443	4.48865624198465e-236
Ctsa	2.80373213709172e-240	-0.262422072060163	0.831	0.931	5.40671705316767e-236
H2-D1	3.41777324425223e-236	0.343761950114331	0.751	0.678	6.590833924216e-232
Cap1	1.06066858176275e-235	-0.232233572635127	0.227	0.452	2.04539329307129e-231
Arf1	3.70523263767676e-233	-0.220645361337877	0.259	0.493	7.14517061849586e-229
H3f3b	3.88028799244076e-231	0.415342098798983	0.915	0.85	7.48274736462276e-227
Anxa3	2.82776642177134e-226	0.261220229352237	0.621	0.462	5.45306476774385e-222
Tmem176a	3.7779637379999e-221	-0.302301861616424	0.507	0.71	7.285425272359e-217
Ddx3y	1.26553861802653e-220	-0.127704281035049	0.019	0.146	2.44046467100236e-216
Ywhah	3.02468604933566e-210	-0.253742007687332	0.505	0.711	5.83280457753888e-206
Fam20c	1.13478684798033e-209	-0.290414726942963	0.095	0.264	2.18832295764527e-205
Ppp1r15a	5.64037134283819e-205	0.348580392292269	0.611	0.435	1.08768920975292e-200
Gpr34	2.74039563082214e-201	-0.273125815304439	0.689	0.845	5.28457893447741e-197
Pmepa1	5.80720910359289e-191	-0.320509488532908	0.578	0.747	1.11986220353685e-186
Zfp36	2.97672697833243e-187	0.352062260116546	0.532	0.349	5.74032030501625e-183
C1qb	3.47043703646425e-183	0.189322408514197	0.999	0.999	6.69239078111766e-179
Eif2s3y	2.17639925764573e-182	-0.103498960548664	0.016	0.121	4.19696832844402e-178
Nav2	3.51718490466139e-178	-0.201022042323441	0.271	0.475	6.78253937014903e-174
Tgfbr1	9.19628251377061e-176	-0.224600495142367	0.601	0.784	1.77341111995552e-171
Klf6	5.13445246004831e-174	0.388120159198373	0.708	0.586	9.90127812395716e-170
C1qc	4.5346962946041e-171	0.187524365888348	0.998	0.998	8.74470833451455e-167
Csf1r	4.80337844435399e-171	-0.16757545698509	0.988	0.993	9.26283499209223e-167
Fosb	1.13593733286066e-170	0.338586113387369	0.418	0.237	2.19054155268849e-166
Tmem176b	6.95241264262075e-167	-0.24467758525918	0.666	0.818	1.34070325400298e-162
Rplp0	2.48443110375681e-166	0.223732510347451	0.939	0.916	4.79097694048464e-162
Lgals3bp	4.62304797501099e-166	0.290011163478448	0.42	0.271	8.9150857150112e-162
Mcl1	6.07225801156141e-166	0.289141093375201	0.553	0.455	1.1709742349495e-161
Hspa8	9.68573989015361e-166	0.323750521651872	0.977	0.956	1.86779808041722e-161
Cacna1a	4.49420254395805e-159	-0.149975637960107	0.084	0.229	8.66662018576871e-155
Rpl12	6.8864647650509e-159	0.22256315186182	0.905	0.887	1.32798586529241e-154
