,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0008380,GO:0008380,RNA splicing,165/4378,332/14174,3.70532249098615e-13,2.14686385127738e-09,1.62800169235539e-09,Malat1/Rps13/Rbm3/Rps26/Rbm5/Mbnl2/Raly/Tmbim6/Hspa8/Snrnp48/Ivns1abp/Eif4a3/Ddx5/Ybx1/Ddx39b/Srsf9/Txnl4a/Celf2/Pik3r1/Zmat2/Pabpc1/Hnrnpk/Rbm39/Snrnp70/Srpk2/Npm1/Son/Ddx17/Sf3b1/Mbnl1/Frg1/Qk/Cdc40/Srsf5/Hnrnpf/Zrsr1/Lsm4/Lsm6/U2af1/Srek1ip1/Prpf4b/Srsf3/Zranb2/Cirbp/Snrpa/Tardbp/Zfp638/Rtcb/Cwf19l2/Rbm25/Lsm10/Srsf2/Srpk1/Smu1/Nono/Hnrnpa2b1/Clns1a/Rnps1/Rbm42/Tia1/Aar2/Wbp4/Magoh/Crnkl1/Celf1/Sf3b6/Srsf7/Dyrk1a/Ddx41/Luc7l2/Scaf11/Aqr/Wtap/Rest/Nova1/Sfswap/Cdk13/Syf2/Dhx9/Hnrnpa1/Sf3a3/Tra2b/Srrm2/Srsf6/Khdrbs3/Bcas2/Ptbp3/Clk1/Rsrc1/Sf3b5/Ncbp2/Prpf19/Ptbp1/Srsf10/Xab2/Snrpb/Cir1/Rbm10/Khdrbs1/Hnrnpu/Plrg1/Prpf3/Rbm38/Cwc15/Usp39/Ubl5/Rbm41/Cdc5l/Hnrnpm/Zfp830/Prpf38b/Dhx8/Snw1/Phf5a/Puf60/U2af2/Ddx46/Sf3b2/Zcrb1/Dcps/Prmt7/Celf4/Polr2a/Sfpq/Snrnp27/Fam172a/Pnn/Prpf6/Snrpb2/Lsm3/Lsm5/Clk3/Pcbp4/Prpf4/Sf3a1/Rbfox2/Habp4/Zbtb7a/Tsen15/Rbmx/Eftud2/Snrpf/Rp9/BC005624/Thoc7/Ik/Thoc5/Snrpc/Strap/Tsen2/Prpf39/Scnm1/Rtraf/Psip1/Prpf18/Srrm1/Akt2/Ppie/Ddx47/Rbm22/Slu7/Hnrnph1/Clk4/Tsen34/Nsrp1,165
GO:0000375,GO:0000375,RNA splicing, via transesterification reactions,120/4378,229/14174,7.44815518007487e-12,1.07886527783385e-08,8.18121045306119e-09,Malat1/Rbm3/Rbm5/Mbnl2/Hspa8/Eif4a3/Ddx5/Ddx39b/Srsf9/Txnl4a/Celf2/Zmat2/Hnrnpk/Snrnp70/Srpk2/Npm1/Son/Ddx17/Sf3b1/Mbnl1/Cdc40/Srsf5/Zrsr1/Lsm4/Lsm6/U2af1/Srsf3/Cirbp/Snrpa/Cwf19l2/Rbm25/Srsf2/Srpk1/Smu1/Hnrnpa2b1/Clns1a/Rnps1/Rbm42/Tia1/Aar2/Wbp4/Magoh/Crnkl1/Celf1/Sf3b6/Srsf7/Dyrk1a/Ddx41/Luc7l2/Scaf11/Aqr/Wtap/Rest/Nova1/Sfswap/Cdk13/Syf2/Dhx9/Hnrnpa1/Sf3a3/Tra2b/Srsf6/Khdrbs3/Bcas2/Ptbp3/Rsrc1/Sf3b5/Ncbp2/Prpf19/Ptbp1/Srsf10/Xab2/Snrpb/Rbm10/Khdrbs1/Hnrnpu/Plrg1/Prpf3/Cwc15/Usp39/Ubl5/Rbm41/Cdc5l/Hnrnpm/Dhx8/Snw1/Phf5a/U2af2/Sf3b2/Zcrb1/Dcps/Prmt7/Celf4/Sfpq/Fam172a/Prpf6/Snrpb2/Lsm3/Lsm5/Pcbp4/Prpf4/Sf3a1/Rbfox2/Zbtb7a/Rbmx/Eftud2/Snrpf/BC005624/Ik/Snrpc/Strap/Prpf39/Scnm1/Psip1/Prpf18/Srrm1/Ppie/Rbm22/Slu7/Nsrp1,120
GO:0000377,GO:0000377,RNA splicing, via transesterification reactions with bulged adenosine as nucleophile,120/4378,229/14174,7.44815518007487e-12,1.07886527783385e-08,8.18121045306119e-09,Malat1/Rbm3/Rbm5/Mbnl2/Hspa8/Eif4a3/Ddx5/Ddx39b/Srsf9/Txnl4a/Celf2/Zmat2/Hnrnpk/Snrnp70/Srpk2/Npm1/Son/Ddx17/Sf3b1/Mbnl1/Cdc40/Srsf5/Zrsr1/Lsm4/Lsm6/U2af1/Srsf3/Cirbp/Snrpa/Cwf19l2/Rbm25/Srsf2/Srpk1/Smu1/Hnrnpa2b1/Clns1a/Rnps1/Rbm42/Tia1/Aar2/Wbp4/Magoh/Crnkl1/Celf1/Sf3b6/Srsf7/Dyrk1a/Ddx41/Luc7l2/Scaf11/Aqr/Wtap/Rest/Nova1/Sfswap/Cdk13/Syf2/Dhx9/Hnrnpa1/Sf3a3/Tra2b/Srsf6/Khdrbs3/Bcas2/Ptbp3/Rsrc1/Sf3b5/Ncbp2/Prpf19/Ptbp1/Srsf10/Xab2/Snrpb/Rbm10/Khdrbs1/Hnrnpu/Plrg1/Prpf3/Cwc15/Usp39/Ubl5/Rbm41/Cdc5l/Hnrnpm/Dhx8/Snw1/Phf5a/U2af2/Sf3b2/Zcrb1/Dcps/Prmt7/Celf4/Sfpq/Fam172a/Prpf6/Snrpb2/Lsm3/Lsm5/Pcbp4/Prpf4/Sf3a1/Rbfox2/Zbtb7a/Rbmx/Eftud2/Snrpf/BC005624/Ik/Snrpc/Strap/Prpf39/Scnm1/Psip1/Prpf18/Srrm1/Ppie/Rbm22/Slu7/Nsrp1,120
GO:0000398,GO:0000398,mRNA splicing, via spliceosome,120/4378,229/14174,7.44815518007487e-12,1.07886527783385e-08,8.18121045306119e-09,Malat1/Rbm3/Rbm5/Mbnl2/Hspa8/Eif4a3/Ddx5/Ddx39b/Srsf9/Txnl4a/Celf2/Zmat2/Hnrnpk/Snrnp70/Srpk2/Npm1/Son/Ddx17/Sf3b1/Mbnl1/Cdc40/Srsf5/Zrsr1/Lsm4/Lsm6/U2af1/Srsf3/Cirbp/Snrpa/Cwf19l2/Rbm25/Srsf2/Srpk1/Smu1/Hnrnpa2b1/Clns1a/Rnps1/Rbm42/Tia1/Aar2/Wbp4/Magoh/Crnkl1/Celf1/Sf3b6/Srsf7/Dyrk1a/Ddx41/Luc7l2/Scaf11/Aqr/Wtap/Rest/Nova1/Sfswap/Cdk13/Syf2/Dhx9/Hnrnpa1/Sf3a3/Tra2b/Srsf6/Khdrbs3/Bcas2/Ptbp3/Rsrc1/Sf3b5/Ncbp2/Prpf19/Ptbp1/Srsf10/Xab2/Snrpb/Rbm10/Khdrbs1/Hnrnpu/Plrg1/Prpf3/Cwc15/Usp39/Ubl5/Rbm41/Cdc5l/Hnrnpm/Dhx8/Snw1/Phf5a/U2af2/Sf3b2/Zcrb1/Dcps/Prmt7/Celf4/Sfpq/Fam172a/Prpf6/Snrpb2/Lsm3/Lsm5/Pcbp4/Prpf4/Sf3a1/Rbfox2/Zbtb7a/Rbmx/Eftud2/Snrpf/BC005624/Ik/Snrpc/Strap/Prpf39/Scnm1/Psip1/Prpf18/Srrm1/Ppie/Rbm22/Slu7/Nsrp1,120
GO:0006397,GO:0006397,mRNA processing,184/4378,406/14174,4.1505392448664e-10,4.12906689156525e-07,3.13113842003404e-07,Malat1/Rbm3/Aplp1/Rbm5/Mbnl2/Raly/Akap8l/Hspa8/Snrnp48/Eif4a3/Ddx5/Ybx1/Ddx39b/Srsf9/Pan3/Txnl4a/Apobec1/Celf2/Zmat2/Pabpc1/Hnrnpk/Rbm39/Snrnp70/Srpk2/Npm1/Son/Ddx17/Sf3b1/Mbnl1/Frg1/Qk/Srrt/Papola/Cpsf4/Cdc40/Srsf5/Hnrnpf/Zrsr1/Lsm4/Lsm6/U2af1/Srek1ip1/Prpf4b/Srsf3/Zranb2/Rbbp6/Cirbp/Snrpa/Tardbp/Cwf19l2/Dhx36/Rbm25/Lsm10/Srsf2/Srpk1/Safb/Fip1l1/Smu1/Nono/Hnrnpa2b1/Clns1a/Rnps1/Rbm42/Tia1/Aar2/Wbp4/Cdk9/Magoh/Crnkl1/Celf1/Sf3b6/Srsf7/Dyrk1a/Ddx41/Luc7l2/Scaf11/Prkaca/Ncbp3/Aqr/Zc3h14/Wtap/Sltm/Rest/Nova1/Sfswap/Cdk13/Syf2/Dhx9/Hnrnpa1/Sf3a3/Tra2b/Srrm2/Srsf6/Khdrbs3/Bcas2/Ptbp3/Rbm26/Rsrc1/Xrn2/Sf3b5/Ctr9/Ncbp2/Prpf19/Ptbp1/Srsf10/Xab2/Pcbp1/Snrpb/Cir1/Rbm10/Khdrbs1/Hnrnpu/Plrg1/Prpf3/Rbm38/Cwc15/Usp39/Cpsf3/Ubl5/Slbp/Rbm41/Cdc5l/Hnrnpm/Cdc73/Zfp830/Prpf38b/Dhx8/Snw1/Phf5a/Puf60/U2af2/Ddx46/Sf3b2/Zcrb1/Dcps/Prmt7/Safb2/Celf4/Sfpq/Snrnp27/Fam172a/Pnn/Prpf6/Snrpb2/Lsm3/Lsm5/Pcbp4/Rprd1a/Prpf4/Sf3a1/Rbfox2/Habp4/Zbtb7a/Tsen15/Rbmx/Eftud2/Snrpf/BC005624/Thoc7/Alkbh5/Ik/Thoc5/Wdr33/Snrpc/Strap/Tsen2/Prpf39/Scnm1/Psip1/Prpf18/Srrm1/Apobec2/Zfp36l1/Hsf1/Ppie/Ddx47/Gpatch1/Rbm22/Cdk11b/Cstf2/Slu7/Hnrnph1/Tsen34/Nsrp1,184
GO:0050900,GO:0050900,leukocyte migration,138/4378,286/14174,4.27587182419598e-10,4.12906689156525e-07,3.13113842003404e-07,Apod/Cx3cr1/P2ry12/Ccr6/Rps19/C5ar1/Ccl9/Fcer1g/Cd300a/S100a9/Ccl3/Lgmn/Pycard/Ccl6/S100a8/Cd9/Cxcl10/Gcnt1/Csf1/Selplg/C5ar2/Scg2/Spp1/Sirpa/Dusp1/Cd74/Tlr2/Aif1/Cdc42/Ccl4/Lyn/Vav1/Ccl2/Pla2g7/Padi2/Adora3/Calr/Tgfb1/Cxcl2/Serpine1/Slamf8/Csf3r/Trpv4/Icam1/Pdgfb/Itgb1/Nckap1l/Mapk3/Dock8/Cmklr1/Rhoa/Coro1a/Tnf/Prex1/Trem2/Rtn4/Itgam/Cklf/Ada/Mapk14/Jam3/Ptpro/Cd34/Wnk1/Ccl24/Itga6/Nbl1/Cd200r1/Vcam1/Cxcl16/Bst1/Trp53/Camk1d/Adam10/Ch25h/Ccl5/Jaml/Chga/Mif/Fcgr3/Syk/Rac1/Itgb2/Selenok/Msn/P2rx4/Il1a/Creb3/Adam17/Il16/Xcl1/Sbds/Il17ra/Lgals9/Pde4b/Mmp14/Ccl12/Akt1/Emilin1/Slc12a2/Ccr1/Mtus1/Prkca/Rac2/Ptn/Vegfb/Wdr1/Rpl13a/Tnfrsf14/Trpm2/Plvap/Flt1/Ccr2/Fer/Rabgef1/C3ar1/Trpm4/Il1b/Jagn1/Ifng/Mospd2/B4galt1/Irak4/Itga4/Lyst/Anxa1/Crkl/Gas6/Spns2/Sell/Podxl2/Cd200/Ccr7/Pde4d/Eps8/Ptger3/Slc8b1/Cxcr2,138
GO:0016032,GO:0016032,viral process,123/4378,250/14174,8.33032577643288e-10,6.89512964980744e-07,5.2286886903505e-07,Bst2/Apobec3/Oasl2/Ifitm3/Ccr5/Ppib/Cd74/Lgals1/Zfp36/Ccl4/Cfl1/Usf1/Eif3f/Npc1/Tgfb1/Hspa8/Pfn1/Icam1/Ddx5/Rsf1/Fam111a/Zc3h12a/Atg5/Pabpc1/Ddx3x/Trim30a/Rock2/Vamp8/Crebbp/Tnf/Ep300/Srpk2/Ctsb/Zbp1/Grk2/Snx3/Ppih/Nectin2/Ube2i/Vps4b/Vcam1/Ccnt2/Cul1/Bcl2l11/Trp53/Cnot7/Ccl5/Stat1/P4hb/Tardbp/Usp6nl/Trim8/Ppid/Apoe/Isg15/Eif3d/Smarcb1/Trim28/Srpk1/Creb3/Ppia/Nucks1/Mvb12b/Hacd3/Smc3/Vcp/Eif3a/Rest/Eif2ak2/Dhx9/Ddx6/Denr/Tsg101/Vapa/Vapb/Snf8/Dag1/Axl/Trim21/Jun/Ifitm1/Ptbp1/Pcbp1/Psmc3/Setdb1/Insr/Eif3g/Tnfrsf14/Pkn2/Gsn/Snw1/Bax/Rxra/Inpp5k/Ssb/Bad/Chmp1b/Ceacam1/Chmp2b/Mavs/Vps4a/Trim27/Ddb1/Pcbp2/Vta1/Ifitm2/Ace2/Top2b/Gas6/Lamtor5/Bcl2/Trim26/Chmp3/Chmp5/Pias4/Eif2d/Chmp2a/Ppie/Vps18/Anxa2/Rab7/Zfp809/Rsad2,123
GO:0071407,GO:0071407,cellular response to organic cyclic compound,157/4378,339/14174,1.22316554727772e-09,8.32268086550696e-07,6.3112239399426e-07,Gh/P2ry12/Ywhah/Nrip1/Gnas/Igf1/Pdia3/P2ry13/Hsp90b1/Spp1/Tmem173/Zfp36/P2ry6/Aplp1/Cebpa/Nfkbia/Padi2/Npc1/Calr/Kdm5d/Tgfb1/H2afz/Sgk1/Mef2c/Ddx5/Pik3cg/Pdgfb/Zc3h12a/Mapk3/Itpr2/Fes/Mmp2/Rhoa/Selenon/Abcb4/Rock2/Hnrnpk/Foxp1/Tnf/Pkd2/Pim1/Ep300/Npm1/Arpc2/Zfp36l2/Ddx17/Pak2/P2rx7/Rap1b/Fkbp4/Ube2i/Ncor1/Cnot2/Ralb/Akap13/Dnaja1/Lbh/Ube3a/Ccl5/Nr3c1/Casp9/Rap1a/Stat1/Arid1a/Arrb2/Glrx/Smo/Msn/Nfkb1/P2rx4/Prmt2/Safb/Casp3/Acod1/Gramd1a/Pak1/Wbp2/Ezr/Cdk4/Hmga2/Pde4b/Il18/Flot1/Ccl12/Klf9/Rest/Akt1/Dhx9/Ifih1/Ghrhr/Casp6/Cib2/Ddrgk1/Per1/Ubr5/Hdac2/Ufl1/Smyd3/Gpd1/Hnrnpu/Slc8a1/Rnf6/Park7/Insig1/Trpm2/Rae1/Ppp5c/Ddit4/Cdc5l/Phb2/Tmf1/Snw1/Ctnnb1/Trpm4/Src/Inpp5k/Il1b/Ncoa3/Safb2/Dnm1l/Id3/Ncor2/Crebrf/Ufsp2/Mavs/Pde2a/Cnot1/Clock/Ezh2/Eif4e/Anxa1/Rbfox2/Calcoco1/Parp1/Zbtb7a/Fis1/Top2b/Gsk3a/Casq2/Ppp1r9b/Ruvbl2/Pias2/Uba5/Trip4/Akt2/Zfp36l1/Pde4d/Mapk1/Slc9a1/Ehmt2/Hsf1/Jup/Riok3/Ptger3/Smad1/Gper1/Trim68,157
GO:0006909,GO:0006909,phagocytosis,98/4378,189/14174,1.29278784586749e-09,8.32268086550696e-07,6.3112239399426e-07,Anxa3/Colec12/Fcer1g/Cd300a/Fcgr1/Pycard/Rack1/Ncf4/Sirpa/Tlr2/Aif1/P2ry6/Elmo1/Vav1/Ccl2/Calr/Tyrobp/Tgfb1/Hspa8/Tgm2/Lrp1/Csk/Rab14/Irf8/Itgb1/Cnn2/Bin2/Nckap1l/Ighm/Atg5/Coro1a/Pten/Pld4/Tnf/Trem2/Igkc/P2rx7/Snx3/Mertk/Sh3bp1/C3/Lman2/Rab39/Mesd/Camk1d/Abl2/Ptprc/Rap1a/Arhgap25/Fcgr3/Syk/Il2rg/Rac1/Itgb2/Abca1/Pros1/Tlr4/Myo7a/Myh9/Lyar/Abl1/Cyba/Cd302/Clcn3/Sod1/Tusc2/Igha/Ighd/Axl/Mex3b/Coro1c/Atg3/Pear1/Tm9sf4/Rhobtb1/Ncf2/Ccr2/Cdc42se1/Gsn/Il1b/Dock2/Rab31/Slc11a1/Rab20/Anxa1/Appl1/Gas6/Arhgap12/Rab11fip2/Iglc2/Ccr7/Xkr6/Syt7/Pik3ca/Ticam2/Rab7/Iglc3/Il2rb,98
GO:0002521,GO:0002521,leukocyte differentiation,209/4378,479/14174,1.57341703147452e-09,9.11637828036334e-07,6.91309756776277e-07,B2m/Ccr6/Csf1r/C1qc/Il7r/Pnp/Fam20c/Tmem176a/Fcer1g/Tmem176b/Rps6/Ccl3/Sox4/Gnas/Cmtm7/Rpl22/Vsir/Csf1/H2-Oa/Nfkbid/Pou2f2/Tfe3/H2-DMa/Nfkbiz/Cd74/Tlr2/Dock10/Lgals1/Cebpa/Lyn/Fos/Tnfrsf11a/Vav1/Tnfsf9/Tcirg1/Lag3/Tnfaip3/Tyrobp/Tgfb1/Shb/Mef2c/Slamf8/Plcl2/Ikzf1/Atp6ap1/Cd83/Tmem64/Inpp5d/Nfam1/Kdelr1/Nckap1l/Junb/Il3ra/Zc3h12a/Ighm/Pik3r1/Fes/H2-Ab1/Casp8/Clptm1/Rhoa/Atg5/Lyl1/Clcf1/Foxp1/Tnf/Mafb/Cebpb/Prex1/Trem2/Trf/Irf1/Itgam/Ep300/Spi1/Gsk3b/Tjp2/Ada/Mapk14/Rassf2/Zbtb16/Ubash3b/Igkc/Zfp36l2/Rhoh/Mertk/Pou1f1/Cebpg/Ncor1/Pirb/Smad7/Glo1/Chd7/Hcls1/Trp53/Hhex/Sash3/Abl2/Ptprc/Ccl5/Gmpr2/Ly9/Syk/Il2rg/Zmiz1/Gadd45g/Lrrk1/Adam17/Fshb/Car2/Adrm1/Abl1/Plcg2/Mitf/Ptpn6/Lgals9/Itm2a/Nkap/Il18/Dhrs7b/Mmp14/Pafah1b1/Batf3/Prr7/Mfng/Nf1/Hectd1/Lgals8/Ccr1/Tusc2/Apc/Axl/Tcf3/Runx1/Zfp609/Jun/Pias3/Prkca/Satb1/Pcid2/Pglyrp1/Farp2/Ap3d1/Chuk/Tmem131l/Trpm2/Cd79b/6030468B19Rik/Fnip1/Mink1/Relb/Ccr2/Dnajb9/Hs1bp3/Il11ra1/Ctnnbip1/Il6/Ireb2/Ctla2a/Fzd7/Bax/Nfatc3/Ctnnb1/Src/Nlrp3/Sbno2/Il1b/Sp3/Ifng/Dock2/Bad/Btk/Bcl11a/Irf4/Ceacam1/Ltbr/Cd27/Tob2/Anxa1/Gps2/Zbtb7a/Stk11/Prdm16/Asxl2/Il4ra/Gas6/Tgfbr2/Thoc5/Bcl2/Ms4a1/Creb1/Il34/Ppp3cb/Kdm1a/Cd8a/Dnaja3/Hax1/Irf2bp2/Zfp36l1/Ccr7/Id2/Malt1/Trib1/Spib/Anxa2/Tspan2/Rc3h2/Rbpj/Rsad2,209
