p_val	avg_logFC	pct.1	pct.2	p_val_adj
Gh	0	2.64840823655984	0.962	0.001	4.94065645841247e-324
Xist	0	1.61409066889189	0.803	0.008	4.94065645841247e-324
Prl	0	1.35914931944494	0.886	0	4.94065645841247e-324
Rpl29	0	0.936384155159548	0.72	0.09	4.94065645841247e-324
Ly6e	0	0.866306509631306	0.808	0.319	4.94065645841247e-324
Rpl21	0	0.803317797727677	0.915	0.693	4.94065645841247e-324
Ubc	0	0.741306840801007	0.889	0.712	4.94065645841247e-324
Rps18	0	0.738077788560088	0.84	0.569	4.94065645841247e-324
Rps2	0	0.684965770571048	0.81	0.527	4.94065645841247e-324
Rpl26	0	0.635314006962571	0.946	0.814	4.94065645841247e-324
Fcrls	0	0.579086316068825	0.765	0.473	4.94065645841247e-324
Anxa3	0	0.543110523012372	0.621	0.206	4.94065645841247e-324
H2-K1	0	0.515575175138822	0.741	0.555	4.94065645841247e-324
Apod	0	0.502793026174303	0.505	0.053	4.94065645841247e-324
Lgals3bp	0	0.466011909998823	0.42	0.158	4.94065645841247e-324
Sh3bgrl3	0	0.459679225345273	0.695	0.456	4.94065645841247e-324
Ctsl	0	0.423760331003852	0.926	0.879	4.94065645841247e-324
Rpl35a	0	0.407995628800457	0.968	0.93	4.94065645841247e-324
Rps14	0	0.398199485149045	0.97	0.938	4.94065645841247e-324
Rplp0	0	0.38895565302357	0.939	0.883	4.94065645841247e-324
Pomc	0	0.388732508789176	0.251	0.013	4.94065645841247e-324
Ifi27l2a	0	0.384059156933186	0.3	0.087	4.94065645841247e-324
Ttr	0	0.372942893755944	0.998	0.974	4.94065645841247e-324
B2m	0	0.354710396387776	0.907	0.88	4.94065645841247e-324
Rpl23	0	0.345966836748527	0.978	0.965	4.94065645841247e-324
Rpl12	0	0.343430604658385	0.905	0.864	4.94065645841247e-324
Rpl32	0	0.340697109308327	0.964	0.934	4.94065645841247e-324
Gapdh	0	0.33603430614059	0.673	0.494	4.94065645841247e-324
Rpl30	0	0.320233468724615	0.964	0.939	4.94065645841247e-324
Tpt1	0	0.310868484684427	0.997	0.994	4.94065645841247e-324
C1qb	0	0.278974281264281	0.999	0.999	4.94065645841247e-324
Phgdh	0	0.240729594772609	0.258	0.037	4.94065645841247e-324
Gm11361	0	-0.256584014378687	0.015	0.267	4.94065645841247e-324
Tpm3-rs7	0	-0.264418597346898	0.031	0.298	4.94065645841247e-324
Malat1	0	-0.271392993201812	0.999	1	4.94065645841247e-324
Cx3cr1	0	-0.272673619329902	0.96	0.989	4.94065645841247e-324
Hexb	0	-0.28090187077659	1	1	4.94065645841247e-324
Arf1	0	-0.29073650320257	0.259	0.559	4.94065645841247e-324
Qpct	0	-0.302332153881454	0.022	0.318	4.94065645841247e-324
Edem2	0	-0.303486459951595	0.29	0.572	4.94065645841247e-324
Ctsd	0	-0.305900534324438	1	1	4.94065645841247e-324
Igsf8	0	-0.31592694516466	0.155	0.465	4.94065645841247e-324
