	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Gh	0	2.64840823655984	0.962	0.001	0
Xist	0	1.61409066889189	0.803	0.008	0
Prl	0	1.35914931944494	0.886	0	0
Rpl29	0	0.936384155159548	0.72	0.09	0
Ly6e	0	0.866306509631306	0.808	0.319	0
Rpl21	0	0.803317797727677	0.915	0.693	0
Ubc	0	0.741306840801007	0.889	0.712	0
Rps18	0	0.738077788560088	0.84	0.569	0
Rps2	0	0.684965770571048	0.81	0.527	0
Rpl26	0	0.635314006962571	0.946	0.814	0
Fcrls	0	0.579086316068825	0.765	0.473	0
Anxa3	0	0.543110523012372	0.621	0.206	0
H2-K1	0	0.515575175138822	0.741	0.555	0
Apod	0	0.502793026174303	0.505	0.053	0
Lgals3bp	0	0.466011909998823	0.42	0.158	0
Sh3bgrl3	0	0.459679225345273	0.695	0.456	0
Ctsl	0	0.423760331003852	0.926	0.879	0
Rpl35a	0	0.407995628800457	0.968	0.93	0
Rps14	0	0.398199485149045	0.97	0.938	0
Rplp0	0	0.38895565302357	0.939	0.883	0
Pomc	0	0.388732508789176	0.251	0.013	0
Ifi27l2a	0	0.384059156933186	0.3	0.087	0
Ttr	0	0.372942893755944	0.998	0.974	0
B2m	0	0.354710396387776	0.907	0.88	0
Rpl23	0	0.345966836748527	0.978	0.965	0
Rpl12	0	0.343430604658385	0.905	0.864	0
Rpl32	0	0.340697109308327	0.964	0.934	0
Gapdh	0	0.33603430614059	0.673	0.494	0
Rpl30	0	0.320233468724615	0.964	0.939	0
Tpt1	0	0.310868484684427	0.997	0.994	0
C1qb	0	0.278974281264281	0.999	0.999	0
Phgdh	0	0.240729594772609	0.258	0.037	0
H2-DMb1	0	0.196787327968397	0.228	0.041	0
Spint1	0	0.177672013745637	0.178	0.01	0
Gm11361	0	-0.256584014378687	0.015	0.267	0
Tpm3-rs7	0	-0.264418597346898	0.031	0.298	0
Malat1	0	-0.271392993201812	0.999	1	0
Cx3cr1	0	-0.272673619329902	0.96	0.989	0
Hexb	0	-0.28090187077659	1	1	0
Arf1	0	-0.29073650320257	0.259	0.559	0
Qpct	0	-0.302332153881454	0.022	0.318	0
Edem2	0	-0.303486459951595	0.29	0.572	0
Ctsd	0	-0.305900534324438	1	1	0
Igsf8	0	-0.31592694516466	0.155	0.465	0
Hba-a2	0	-0.336423468821772	0.312	0.602	0
Rnase4	0	-0.342113841932402	0.693	0.896	0
Sparc	0	-0.342341598275413	0.959	0.991	0
P2ry12	0	-0.389666187857217	0.817	0.936	0
Ccr6	0	-0.417079450829622	0.033	0.41	0
Arsb	0	-0.426018630923566	0.251	0.624	0
Gatm	0	-0.687002037912271	0.21	0.762	0
Hbb-bs	0	-0.753348044479111	0.84	0.998	0
Cst3	0	-0.890284787699109	1	1	0
Gm26825	0	-1.13391297865266	0.105	0.715	0
Gm12166	4.94065645841247e-324	-0.162256098076421	0.016	0.179	9.5275619144026e-320
Rpl19	1.48219693752374e-323	0.308101655892194	0.954	0.934	2.85826857432078e-319
Bst2	1.33397724377137e-322	0.288029687193532	0.39	0.178	2.5724417168887e-318
Rpl18a	1.4362488324605e-320	0.310008189249093	0.978	0.958	2.76966224851684e-316
H2-D1	4.87262855963658e-317	0.369633867375017	0.751	0.705	9.39637691440319e-313
Tmem119	4.15351100841542e-313	-0.322745335424877	0.83	0.937	8.00963062862829e-309
Colec12	2.46444499863769e-311	-0.171933689057721	0.025	0.194	4.75243573537292e-307
Chgb	1.06609026311538e-309	0.122488555377816	0.099	0	2.0558484633917e-305
Bcl2a1b	1.67618282239142e-300	0.308825093400997	0.333	0.123	3.23235095469962e-296
Csf1r	1.98320181638359e-300	-0.220247567748516	0.988	0.996	3.82440638271411e-296
Ldhb	4.84971167991397e-300	-0.31865643504133	0.565	0.787	9.3521840035461e-296
Rps19	7.16399755451344e-300	0.304655585996762	0.932	0.898	1.38150528841237e-295
Fth1	3.59274501466149e-289	0.33651372335229	0.999	0.996	6.92824948627321e-285
Cst7	3.13232784255443e-288	0.223929710577753	0.155	0.02	6.04038101158195e-284
Slc2a5	3.24694715790995e-283	0.197059263529582	0.222	0.052	6.26141289931355e-279
C5ar1	1.61668995639431e-281	0.225146397197812	0.266	0.08	3.11762491191079e-277
Rps23	1.88928870903201e-281	0.281955701121098	0.946	0.923	3.64330434649733e-277
Rpsa	2.74387354392317e-281	0.296212788795048	0.923	0.898	5.29128574210145e-277
Plau	1.55743870710466e-280	-0.276056773072107	0.071	0.265	3.00336480278063e-276
Crlf2	1.23795471595704e-279	0.222532896305327	0.262	0.082	2.38727187425157e-275
Hexa	3.64816909893802e-273	-0.263879088234787	0.747	0.908	7.03512929039207e-269
Rps24	1.58649618004531e-272	0.294189094878609	0.987	0.979	3.05939923359938e-268
Hba-a1	2.0550982218635e-272	-0.299801914778636	0.388	0.647	3.96305141104156e-268
Lpl	9.30986258075731e-268	0.353370562247586	0.235	0.066	1.79531390007324e-263
Ddx3y	2.51560250985237e-264	-0.145535074690644	0.019	0.164	4.85108787999931e-260
Gm10260	5.36794458334548e-262	-0.121598036489748	0.007	0.129	1.03515443345234e-257
Rpl39	1.5067383335064e-260	0.287229345653353	0.964	0.941	2.90559420233374e-256
Ang	7.56446602643166e-260	0.223203203459638	0.333	0.139	1.45873162853708e-255
Cga	1.19621365082172e-258	0.100139156503013	0.082	0	2.30677840424461e-254
Rpl24	8.13868731990928e-258	0.25492488352671	0.787	0.746	1.56946446277131e-253
Rnf121	1.54604672736588e-257	-0.187381312976609	0.068	0.251	2.98139650905236e-253
Rapgef5	2.55848336660193e-255	-0.236039323464343	0.184	0.41	4.93377932415517e-251
Rps20	8.26114415510482e-255	0.278313321390972	0.943	0.915	1.59307903887041e-250
C1qc	3.87920385628214e-253	0.228786098172835	0.998	0.997	7.48065671645448e-249
Hbb-bt	5.8047967288944e-253	-0.137081705010996	0.225	0.462	1.1193970012e-248
Il7r	5.26755686464529e-249	-0.191330716443945	0.065	0.242	1.0157956657782e-244
Rbpms	2.10690219944532e-248	0.228661743456014	0.248	0.075	4.06295020141036e-244
Oaf	1.35984473334194e-247	-0.184264447021714	0.069	0.248	2.62232458377659e-243
Ptgds	1.20435022043779e-246	0.240001533762068	0.243	0.071	2.32246896509223e-242
Hpgd	1.41000476352927e-246	0.225762786014365	0.31	0.117	2.71905318598985e-242
Pnp	4.60736696964032e-246	-0.258647117143869	0.441	0.677	8.8848464642544e-242
Pmepa1	2.83449034962103e-244	-0.368545075404817	0.578	0.763	5.46603119020919e-240
Trim12a	5.02919491051282e-243	0.115220911614541	0.121	0.012	9.69829946543293e-239
Rpl14	8.71000550781529e-243	0.247710965913654	0.861	0.827	1.6796374621271e-238
Cd52	6.36001322288808e-239	0.349742995803206	0.541	0.417	1.22646494990174e-234
Rps16	2.20180408185259e-237	0.269121649430249	0.961	0.947	4.24595899144453e-233
Plp1	4.21922295294023e-235	0.241262331870005	0.288	0.105	8.13634954244994e-231
Rps13	7.13103816637228e-231	0.252442966383084	0.927	0.902	1.37514940000323e-226
Ywhah	3.55295271974827e-225	-0.260038875221889	0.505	0.718	6.85151402476257e-221
Fam20c	5.03472703073266e-225	-0.277670926513625	0.095	0.273	9.70896760606487e-221
Gpr34	1.02215250139693e-224	-0.289421677687994	0.689	0.851	1.97111888369383e-220
Rpl17	1.68682695505573e-223	0.25782824506934	0.901	0.872	3.25287710012946e-219
Cap1	3.31440712669452e-219	-0.213388414074748	0.227	0.445	6.39150270311772e-215
Rps27a	9.03167305727101e-219	0.247998771384186	0.973	0.96	1.74166783236414e-214
Rps10	4.79391401480657e-218	0.255383954046993	0.966	0.951	9.24458378615298e-214
Rps7	7.8781283035095e-217	0.242397233343391	0.751	0.697	1.51921826204877e-212
Rpl3	5.76790957021691e-216	0.241012075018361	0.888	0.866	1.11228368152063e-211
Ccl9	1.06219726666776e-215	0.230703882991894	0.259	0.097	2.04834120904212e-211
Rpl37a	4.10106991952538e-210	0.254164980498382	0.956	0.934	7.90850323281274e-206
Rps12	5.90039723146058e-209	0.252836502444052	0.936	0.91	1.13783260211486e-204
Tmem176a	1.62922440442243e-206	-0.271493801192881	0.507	0.712	3.14179634148822e-202
Rpl27a	2.57185643662901e-206	0.247814349568496	0.982	0.97	4.95956795239538e-202
Fcer1g	3.48268291862782e-205	0.229648907178503	0.967	0.952	6.71600574028189e-201
Rbm3	1.09465790598325e-203	0.228842461892207	0.443	0.294	2.1109383058981e-199
Rps15a	1.01770927693485e-199	0.254900434155316	0.947	0.924	1.96255056964116e-195
Pon3	5.68516325589578e-198	-0.185644329058469	0.142	0.328	1.09632688226694e-193
Cd300a	1.10683567064285e-196	-0.201360049137234	0.206	0.405	2.13442190726768e-192
Tmem176b	1.23750064500303e-196	-0.259125489324382	0.666	0.833	2.38639624382385e-192
Fau	1.56908172278725e-196	0.249168362323952	0.995	0.993	3.02581719422292e-192
Rpl36	8.04907049397137e-192	0.221933805443684	0.832	0.819	1.55218275405744e-187
Apobec3	7.95780222130998e-191	0.15041400076698	0.201	0.064	1.53458258035742e-186
Pla2g15	1.2367130326038e-190	-0.210320464483337	0.347	0.56	2.38487741207317e-186
Sla	1.32129968486747e-189	-0.193582057513979	0.207	0.406	2.54799431229844e-185
Rpl18	2.37090744678065e-187	0.217126333301695	0.907	0.888	4.5720579203718e-183
Cadm1	1.34790479485476e-186	-0.210983108657678	0.269	0.475	2.59929960639792e-182
Ctsa	2.42056711873354e-185	-0.216214785178878	0.831	0.93	4.66782163176576e-181
