,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006909,GO:0006909,phagocytosis,80/2053,193/14225,3.21101587215854e-20,1.8026643106298e-16,1.23167808822586e-16,Sirpa/Aif1/Ighm/Bin2/Elmo1/Rack1/Fcgr3/Cd300lf/Tlr2/Nckap1l/Trem2/Axl/Irf8/Igkc/Rab7b/Myh9/Pycard/Tgfb1/Abl1/Myo18a/Fcgr1/Cd300a/Dnm2/Il1b/Tnf/Pros1/Pld4/Vav1/Siglece/Rab14/Dock2/Syk/Ptprc/Csk/Mertk/Itgav/Iglc2/Itgb1/Tgm2/Tyrobp/Cnn2/Il15ra/Cyba/Pecam1/Clcn3/Fcer1g/Slc11a1/P2ry6/Itgb3/Anxa3/Coro1c/Ccr7/Ncf4/Iglc3/Hspa8/Ncf2/Rhobtb1/Ighd/Sod1/Snx3/Rapgef1/Lrp1/Atg5/Ano6/Abca1/Coro1a/Sh3bp1/Msr1/Elane/Iglc1/Itgal/Arhgap12/Igha/Unc13d/Rab31/Ptprj/P2rx7/Prtn3/Rab39/Ccl2,80
GO:0050900,GO:0050900,leukocyte migration,102/2053,289/14225,2.95995240646365e-19,8.30858640494346e-16,5.67687714165975e-16,Apod/P2ry12/Sirpa/Cx3cr1/Rps19/Aif1/S100a9/Selplg/S100a8/Spp1/Itgam/Fcgr3/Scg2/Tlr2/Nckap1l/Ptn/Trem2/Itga6/Prex1/Dusp1/Ccl3/C5ar1/Pdgfb/Slc12a2/Cdc42/Lyn/Pycard/Dock8/Tgfb1/Adora3/Cxcl2/Ccl9/Cd300a/Il1b/Tnf/Chga/Vav1/Stk10/Ccr6/Mtus1/Cd81/Il1a/Trpv4/Wnk1/Adam17/Adam10/Icam1/Mapk3/Syk/Csf3r/Gcnt1/Itgb1/Ccl12/C3ar1/Wdr1/Padi2/Pecam1/Fcer1g/Mapk14/Sell/Itgb3/Ccr7/Ednrb/Rarres2/Il16/Sbds/Mif/Itga9/Pde4d/Lgmn/P2rx4/Trpm4/Cd9/Adtrp/Rhoa/Rtn4/Ano6/Ccl6/B4galt1/Coro1a/Itga1/Gbf1/Ptger3/Elane/Cxcl16/Trp53/Lgals3/S1pr1/Ch25h/Selenok/Plvap/2610528A11Rik/Ccl4/Ripk3/Ptafr/Lgals9/Ptprj/Stat5b/Rpl13a/Prtn3/Ccl2/Ptpro,102
GO:0009617,GO:0009617,response to bacterium,134/2053,459/14225,9.45724444444584e-17,1.7697656770373e-13,1.20919995633546e-13,Sirpa/Cx3cr1/Rpl39/Rps19/Fkbp5/Ighm/Fau/Cebpb/Upk1b/Hba-a2/Cd52/Grn/Rpl30/Tlr2/Camp/Lpl/Trem2/Hba-a1/Axl/B2m/C5ar1/Mtdh/Ifi204/Irf8/Igkc/Mpeg1/Cd79b/Lyn/Cd14/Cd180/Zc3h12a/Pycard/Thrsp/Bank1/Akirin2/Tgfb1/Slfn2/Abl1/Cxcl2/Serpina3n/Fcgr1/Tab2/H2-K1/Il1b/Tnf/Chga/Isg15/Rgs1/Ifit3/Rab14/Zfp36/Fcgr4/Jun/Adam17/Mapk3/Syk/Cd68/Hp/Myo1f/Itgav/Iglc2/Pld1/Ccl12/Pmp22/Ankrd17/Mapkapk2/Cyba/Gpx1/Fcer1g/Slc11a1/Cflar/Plac8/Mapk14/Epha2/Mef2c/Anxa3/Ccr7/Ednrb/Ltf/Tnfrsf1b/Rarres2/Iglc3/Lcn2/Ncf2/Slpi/Stab1/Irf5/Ighd/Mif/Nfkbia/Pde4d/Cd86/Snx3/Cd84/H2-T23/Rhoa/Ms4a1/Oas2/Abca1/Ppp1r11/Prkce/Scd1/Nfkb1/Ptger3/Usp18/Elane/Cxcl16/Iglc1/Prkcd/Kcnj8/2610528A11Rik/Tnfaip8/Ptafr/Lgals9/Igha/Ifnb1/Wfdc21/P2rx7/Erbin/Mndal/Chd7/Acod1/Stat5b/Ifit1/Irgm2/Tfeb/Ly96/Rpl13a/Prpf8/Tlr5/Prdx2/Pglyrp1/Ccl2/Prg2,134
GO:0042330,GO:0042330,taxis,135/2053,469/14225,2.58144491969253e-16,3.62305794478846e-13,2.47546981246304e-13,P2ry12/Cx3cr1/Ecscr/Rps19/Csf1r/Aif1/S100a9/S100a8/Rpl24/Bin2/Spp1/Itgam/Enpp2/Fcgr3/Scg2/Cyfip1/Hspb1/Nckap1l/Ptn/Trem2/Prex1/Eng/Plxnb2/Rtn4rl1/Dusp1/Ccl3/C5ar1/Pdgfb/Slc12a2/Lyn/Evl/Cmtm7/Ccr5/Tgfb1/Ccrl2/Cxcl2/Ccl9/Dpysl2/Il1b/Dock4/Chga/Vav1/Plxna4/Mycbp2/Ccr6/Mtus1/Dock2/Trpv4/Wnk1/Vasp/Adam17/Adam10/Scn1b/Nptn/Mapk3/Pik3cg/Syk/Smad3/Gab1/Csf3r/Itgav/Nrp1/Cysltr1/Ccl12/Tubb3/Sema6d/Efnb1/C3ar1/Cdk5r1/Padi2/Ep300/Lsp1/Fcer1g/Mapk14/Sell/Hbegf/Epha2/Itgb3/Ccr7/Ednrb/Rarres2/Tubb2b/Cmtm5/Il16/Sbds/Nr4a1/Sema4g/Smo/Pik3cd/Mif/Ablim1/St6gal1/Itga9/Pde4d/Lgmn/Mapk8ip3/P2rx4/Trpm4/Lrp1/Klf7/Rhoa/Ncam1/Ano6/Ccl6/Sema4b/Coro1a/Egr2/Itga1/Gbf1/Sema4c/Pdgfrb/Cxcl16/Etv1/Lgals3/S1pr1/Bmpr2/Ch25h/Zswim8/Tsc2/Lef1/Prkcd/2610528A11Rik/Ccl4/Abcc1/Ptafr/Lgals9/Ptprj/Bsg/Sema4d/Rpl13a/Tiam1/Plxnd1/Prkd2/Ccl2/Ptpro,135
GO:0006935,GO:0006935,chemotaxis,134/2053,466/14225,3.66478282258068e-16,4.11481815319359e-13,2.81146707483874e-13,P2ry12/Cx3cr1/Ecscr/Rps19/Csf1r/Aif1/S100a9/S100a8/Rpl24/Bin2/Spp1/Itgam/Enpp2/Fcgr3/Scg2/Cyfip1/Hspb1/Nckap1l/Ptn/Trem2/Prex1/Eng/Plxnb2/Rtn4rl1/Dusp1/Ccl3/C5ar1/Pdgfb/Slc12a2/Lyn/Evl/Cmtm7/Ccr5/Tgfb1/Ccrl2/Cxcl2/Ccl9/Dpysl2/Il1b/Dock4/Chga/Vav1/Plxna4/Mycbp2/Ccr6/Mtus1/Dock2/Trpv4/Wnk1/Vasp/Adam17/Adam10/Scn1b/Nptn/Mapk3/Pik3cg/Syk/Smad3/Gab1/Csf3r/Itgav/Nrp1/Cysltr1/Ccl12/Tubb3/Sema6d/Efnb1/C3ar1/Cdk5r1/Padi2/Lsp1/Fcer1g/Mapk14/Sell/Hbegf/Epha2/Itgb3/Ccr7/Ednrb/Rarres2/Tubb2b/Cmtm5/Il16/Sbds/Nr4a1/Sema4g/Smo/Pik3cd/Mif/Ablim1/St6gal1/Itga9/Pde4d/Lgmn/Mapk8ip3/P2rx4/Trpm4/Lrp1/Klf7/Rhoa/Ncam1/Ano6/Ccl6/Sema4b/Coro1a/Egr2/Itga1/Gbf1/Sema4c/Pdgfrb/Cxcl16/Etv1/Lgals3/S1pr1/Bmpr2/Ch25h/Zswim8/Tsc2/Lef1/Prkcd/2610528A11Rik/Ccl4/Abcc1/Ptafr/Lgals9/Ptprj/Bsg/Sema4d/Rpl13a/Tiam1/Plxnd1/Prkd2/Ccl2/Ptpro,134
GO:0030335,GO:0030335,positive regulation of cell migration,136/2053,492/14225,7.05799195377337e-15,6.60392780474728e-12,4.51216187360529e-12,P2ry12/Sparc/Csf1r/Aif1/Egr1/Tgfbr1/Vsir/Enpp2/Rack1/Grn/Tlr2/Hspb1/Nckap1l/Ptn/Trem2/Arhgap5/Itga6/Il6st/Prex1/C5ar1/Pdgfb/Rock2/Lyn/Ets1/Zc3h12a/Gnai2/Tmsb4x/Pycard/Dock8/Gpi1/Igf1/Tgfb1/Adora3/Clasp2/Plet1/Map4k4/Abl1/Il1b/Dock4/Vtn/Ptprz1/Ccr6/Ssh2/Hmox1/Jun/Il1a/Ctsh/Mgat5/Trpv4/Pak1/Numb/Wnk1/Adam17/Adam10/Icam1/Mapk3/Ptprc/Smad3/Gab1/Myo1f/Itgav/Nrp1/Pld1/Itgb1/Ccl12/Sema6d/Plcg1/Cass4/Tgfbr2/C3ar1/Pecam1/Fermt3/Cpne3/Mapk14/Sell/Hbegf/Sod2/P2ry6/Itgb3/Anxa3/Ccr7/Map2k1/Rarres2/Ppp3ca/Apc/Sema4g/Cib1/Smo/Pik3cd/Mif/Myc/Lgmn/Mapk8ip3/P2rx4/Gpnmb/Lrp1/Plau/Agt/Rhoa/Rtn4/Atp8a1/Ano6/Camk2d/Sema4b/Coro1a/Prkce/Sema4c/Sp1/Pdgfrb/Ptger3/Elane/Cxcl16/Pfn1/Map3k3/Trp53/Lgals3/S1pr1/Bmpr2/Akap12/Tsc2/Selenok/Lef1/Plvap/Nipbl/Bcl2/Ccl4/Abcc1/Aldoa/Ptafr/Lgals9/Ptprj/Sema4d/Tiam1/Prkd2/Arpc2/Ccl2,136
GO:0060326,GO:0060326,cell chemotaxis,82/2053,246/14225,3.99585600647984e-14,3.20467651719683e-11,2.18960891543046e-11,Cx3cr1/Rps19/Aif1/S100a9/S100a8/Bin2/Spp1/Itgam/Enpp2/Fcgr3/Scg2/Hspb1/Nckap1l/Ptn/Prex1/Eng/Dusp1/Ccl3/C5ar1/Pdgfb/Slc12a2/Lyn/Ccr5/Ccrl2/Cxcl2/Ccl9/Il1b/Dock4/Chga/Vav1/Ccr6/Mtus1/Trpv4/Wnk1/Adam17/Adam10/Mapk3/Syk/Gab1/Csf3r/Nrp1/Ccl12/C3ar1/Padi2/Fcer1g/Mapk14/Sell/Hbegf/Epha2/Ccr7/Ednrb/Rarres2/Il16/Sbds/Nr4a1/Mif/Itga9/Pde4d/Lgmn/P2rx4/Trpm4/Ano6/Ccl6/Coro1a/Itga1/Gbf1/Pdgfrb/Cxcl16/Lgals3/S1pr1/Ch25h/Lef1/Prkcd/2610528A11Rik/Ccl4/Abcc1/Ptprj/Rpl13a/Tiam1/Prkd2/Ccl2/Ptpro,82
GO:0002521,GO:0002521,leukocyte differentiation,131/2053,478/14225,4.59383108538183e-14,3.2237209641667e-11,2.20262111514887e-11,Csf1r/Ighm/Egr1/Cebpb/Vsir/Itgam/Cd300lf/Hsp90aa1/Tlr2/Lag3/Nckap1l/Trem2/Prex1/Zbtb16/Inpp4b/Fam20c/Axl/B2m/Rps6/Ccl3/Pou2f2/Dock10/Igkc/Cd79b/Sox4/Lyn/Cmtm7/Zmiz1/Rpl22/Zc3h12a/Ptpn6/Pnp/Cbfa2t3/Gnas/Tgfb1/Plcl2/Abl1/Inpp5d/Zfp36l2/Il1b/Tnf/Vav1/Pou1f1/Ccr6/Cd81/Gadd45g/Spi1/Dock2/Irf2bp2/Jun/Cebpa/Adam17/Casp8/Syk/Ptprc/Ly6d/Nfam1/Mertk/Cd79a/Runx1/Tyrobp/Tgfbr2/Il3ra/Il15ra/Cd83/Fshb/Zbtb7a/Ikzf1/Ep300/H2-Aa/Fcer1g/Mapk14/Nf1/Epha2/Mafb/Mef2c/Itgb3/Ccr7/Tmem176b/Mfng/Spib/Smad7/Bcl2a1d/Tcirg1/Hcls1/Itm2a/Tnfsf9/Apc/Zeb1/Sash3/Gimap1/Myc/Nfatc1/Hdac5/Atp6ap1/Rhoa/Atg5/Ms4a1/Hhex/Lgals8/H2-Ab1/Myb/Trp53/Nrarp/Tmem64/Satb1/Jag2/Gsk3b/Rhoh/Lef1/Lgals1/Nfatc3/Ncor1/Itpkb/Bcl2/Stat6/Car2/Ripk3/Hectd1/Lgals9/6030468B19Rik/Ptprj/Ifnb1/Chd7/Stat5b/Ly9/Lrrk1/Prdx2/Tcf7/Pglyrp1/Prtn3,131
GO:0050865,GO:0050865,regulation of cell activation,133/2053,497/14225,2.05796259754232e-13,1.28371133584473e-10,8.7710125209874e-11,Apoe/Sirpa/Hsph1/Aif1/Ighm/Cebpb/Vsir/Itgam/Grn/Cd300lf/Hspd1/Hsp90aa1/Lag3/Nckap1l/Trem2/Il6st/Zbtb16/Axl/Rps3/Cst7/Gal/C5ar1/Pdgfb/Igkc/Lyn/Rps6ka1/Zmiz1/Zc3h12a/Ptpn6/Pycard/Dock8/Pnp/Tnfaip8l2/Ccdc88b/Tnfrsf13b/Bank1/Igf1/Tgfb1/Adora3/Ctsc/Abl1/Myo18a/Inpp5d/C1qa/Capn3/Cd300a/Zfp36l2/Il1b/Serpine2/Cd81/Hmox1/Samsn1/Cebpa/Fam49b/Syk/Ptprc/Tnfrsf21/Cd276/Csk/Nfam1/Mertk/Iglc2/Sh2b3/Runx1/Tyrobp/Tgfbr2/Efnb1/Il15ra/Cd83/Ikzf1/Crlf2/Cd37/H2-Aa/Gclc/Fcer1g/Milr1/Mef2c/Plek/Ccr7/Rasal3/Tnfrsf1b/Iglc3/Ptpre/Smad7/Tnfsf9/Zeb1/Il6ra/Sash3/Vamp8/Ighd/Hfe/Mif/Cd86/Cd84/Gpnmb/H2-T23/Cd9/Rhoa/Lgals8/H2-Ab1/Coro1a/Nfatc2/Pdgfrb/Ptger3/Myb/Lilra5/Nrarp/Lgals3/Ap1g1/Selenok/Iglc1/Lgals1/Prkcd/Itpkb/Bcl2/Trp53bp1/Itgal/Slc39a10/Stat6/Ripk3/Ptafr/Lgals9/Lamp1/Itch/Igha/Unc13d/Ptprj/Ifnb1/Tnfrsf13c/Stat5b/Prdx2/Pglyrp1/Ccl2,133
GO:0098542,GO:0098542,defense response to other organism,105/2053,365/14225,6.22385926144552e-13,3.34596849331855e-10,2.28614726148029e-10,Rpl39/Rps19/Ighm/Ddit4/Fau/Cebpb/Unc93b1/Grn/Rpl30/Tlr2/Camp/Bst2/Tmem173/C5ar1/Ddx17/Irf7/Ifitm3/Irf8/Igkc/Mpeg1/Serinc3/Oasl2/Zc3h12a/Pycard/Ccdc88b/Tgfb1/Tlr7/Sec14l1/Fcgr1/Rtp4/H2-K1/Il1b/Tnf/Chga/Ifngr1/Isg15/Gapdh/Ifit3/Rab14/Tlr3/Adam17/Mapk3/Syk/Ptprc/Tlr12/Hp/Myo1f/Iglc2/Pld1/Pum2/Cotl1/Ankrd17/Cyba/Cd37/Fcer1g/Mx1/Zbp1/Slc11a1/Plac8/Epha2/Anxa3/Ltf/Rarres2/Iglc3/Lcn2/Oasl1/Slpi/Stab1/Irf5/Abcc9/Ighd/Pik3cd/Cd86/H2-T23/Ncbp3/Lgals8/Oas2/Ppp1r11/Scd1/Zmynd11/Elane/Map3k14/Selenok/Iglc1/Prkcd/Kcnj8/2610528A11Rik/Bcl2/Tnfaip8/Pum1/Lgals9/Itch/Igha/Unc13d/Ifnb1/P2rx7/Ifit1/Irgm2/Tfeb/Zmpste24/Tlr5/Ilf3/Bnip3l/Pglyrp1/Prg2,105
