"genes","Freq","Arf1_IFNg_KO.h5","Arf1_KO.h5","IFNg_KO.h5","WT.h5","regulation","Arf1.vs.all"
"Gh",14,0.000528780782595558,12.7381231289861,0.00304856433888692,0.00712054057981545,"up-regulated","up-regulated"
"Prl",14,0.000906481341592386,2.86893140700247,0.000850762141084722,0.0380730945288091,"up-regulated","up-regulated"
"Ttr",14,3.86772926423931,9.91240400885071,6.18128323289614,3.20765821405217,"up-regulated","up-regulated"
"Apod",12,0.43450672306995,1.37862814004946,0.418433179723502,0.532224079052532,"up-regulated","up-regulated"
"Cst3",12,164.252908294304,78.175061824808,178.985395249911,117.602848216232,"down-regulated","down-regulated"
"Fcrls",12,2.60492521528932,2.58570870753612,0.957107408720312,4.71081886216668,"down-regulated","notAll"
"Pomc",12,0.0119353376642997,0.493557204217103,0.0116979794399149,0.0118433481072441,"up-regulated","up-regulated"
"Chgb",11,0.000604320894394924,0.134713002733307,0.000496277915632754,0.00486812468211872,"up-regulated","up-regulated"
"Cga",10,0.000453240670796193,0.103084732526357,0.00021269053527118,0.00842839497202645,"up-regulated","up-regulated"
"Hbb-bs",10,108.290300649645,67.4429259403879,181.226657213754,116.800697522343,"down-regulated","down-regulated"
"Olfml3",10,3.69874603414413,2.93778471951061,2.72782701169798,4.4996003778246,"down-regulated","notAll"
"Arf1",9,0.636500982021453,0.33502538071066,0.721020914569302,0.583375717503451,"down-regulated","down-regulated"
"Gm26825",9,2.06632421815984,0.355850579200833,2.91683800070897,0.0308072367943036,"up-regulated","notAll"
"Hbb-bt",9,19.3736213929597,9.89977873226604,18.5519319390287,21.0507883455642,"down-regulated","down-regulated"
"mt-Atp6",9,11.8860099712948,16.6928283222699,13.3481744062389,10.8341931264986,"up-regulated","up-regulated"
"mt-Nd3",9,1.76650551442816,2.18482363660029,1.98993264799716,1.44881203226041,"up-regulated","up-regulated"
"P2ry12",9,3.86327239764315,2.88428999088898,4.40758596242467,4.47010099542251,"down-regulated","down-regulated"
"Ucp2",9,1.08656896812207,1.25497852401406,1.27422899680964,0.747511443725932,"up-regulated","notAll"
"Apoe",8,39.4706904366218,44.8999088897566,36.3488124778447,17.5912228438567,"up-regulated","up-regulated"
"Csf1r",8,7.18620637558544,6.09124040088507,7.31052818149592,7.25677541233743,"down-regulated","down-regulated"
"Marcks",8,2.91056050762955,2.39619940127554,2.71237149946827,3.30901692944852,"down-regulated","down-regulated"
"Rbm3",8,0.254192476204865,0.677469738383444,0.31896490606168,0.315410884254886,"up-regulated","up-regulated"
"Rpl14",8,2.07236742710379,2.68983469998698,1.76157390996101,1.90321877497639,"up-regulated","up-regulated"
"Sirpa",8,1.38797401420154,1.24157230248601,1.36866359447005,1.81639177504904,"down-regulated","down-regulated"
"Sult1a1",8,0.198972654479529,0.303006638032019,0.220985466146756,0.133183172273487,"up-regulated","up-regulated"
"Cx3cr1",7,6.10031726846956,5.20838214239229,6.66976249556895,6.37666206495677,"down-regulated","down-regulated"
"Ecscr",7,0.386463211965554,0.338409475465313,0.375398794753633,0.636489137542687,"down-regulated","down-regulated"
"Gm42418",7,1.98693156065871,2.77378628140049,2.01800779865296,3.47228075274286,"down-regulated","notAll"
