"","Arf1_IFNg_KO.h5","Arf1_KO.h5","IFNg_KO.h5","WT.h5"
"Gh",0.000528780782595558,12.7381231289861,0.00304856433888692,0.00712054057981545
"Prl",0.000906481341592386,2.86893140700247,0.000850762141084722,0.0380730945288091
"Ttr",3.86772926423931,9.91240400885071,6.18128323289614,3.20765821405217
"Apod",0.43450672306995,1.37862814004946,0.418433179723502,0.532224079052532
"Pomc",0.0119353376642997,0.493557204217103,0.0116979794399149,0.0118433481072441
"Chgb",0.000604320894394924,0.134713002733307,0.000496277915632754,0.00486812468211872
"Cga",0.000453240670796193,0.103084732526357,0.00021269053527118,0.00842839497202645
"mt-Atp6",11.8860099712948,16.6928283222699,13.3481744062389,10.8341931264986
"mt-Nd3",1.76650551442816,2.18482363660029,1.98993264799716,1.44881203226041
"Apoe",39.4706904366218,44.8999088897566,36.3488124778447,17.5912228438567
"Rbm3",0.254192476204865,0.677469738383444,0.31896490606168,0.315410884254886
"Rpl14",2.07236742710379,2.68983469998698,1.76157390996101,1.90321877497639
"Sult1a1",0.198972654479529,0.303006638032019,0.220985466146756,0.133183172273487
"Lgals3bp",0.386840912524551,0.856566445398933,0.166253101736973,0.341931264985832
"mt-Nd1",5.19300498564738,6.36470128855916,5.53562566465792,4.32827145244496
"Rpl9",1.91176914941834,2.28192112456072,1.71868131868132,1.67027537600814
"Rps19",3.19700861157275,4.12143693869582,2.60042538107054,2.93889413645281
"Rpsa",3.23145490255326,4.17363009241182,2.66260191421482,2.80316791397224
"Cebpb",1.25094425139749,1.75348171287258,1.42963488124778,1.06023396061905
"Eef1a1",8.17177821423176,9.40075491344527,6.97199574618929,6.84843420765821
"Enpp2",0.304275570327844,0.518807757386438,0.450336760014179,0.241371793940275
"Fkbp5",0.103263332829733,0.218794741637381,0.199078341013825,0.066700574002761
"Guk1",0.107569119202296,0.235064427957829,0.0906061680255229,0.0919131003414953
"Ifi27l2a",0.359948632723976,0.654952492515944,0.131088266572138,0.257574656688222
"mt-Cytb",8.08792869013446,10.8281921124561,8.63374689826303,7.36133110513696
"mt-Nd4",5.01102885632271,5.93218794741637,5.17887274016306,4.23563176633002
"Ptgds",0.230472881099864,0.435376805935182,0.126267281105991,0.274794739519
"Rpl12",2.71355189605681,3.72758037225042,2.20843672456576,2.65349124464143
"Rpl17",2.75109533162109,3.41832617467135,2.26139666784828,2.47271670420693
"Rpl22l1",0.471974618522435,0.699466354288689,0.440127614321163,0.424180774540435
"Rpl23",5.10318779271793,6.44513861772745,3.9919177596597,4.58679067063867
"Rpl32",3.99221936848467,5.27866718729663,3.24374335342077,3.52793722298917
"Rpl36",2.00120864178879,2.61694650527138,1.77617866004963,1.85097725786529
"Rps11",4.36750264390391,4.99193023558506,3.74874158099965,3.84233088716123
"Rps20",3.44417585738027,4.28569569178706,2.81963842609004,3.1954515730582
"Rps28",2.31855265145792,2.7033710790056,2.07486706841546,1.90954007120541
"Rps7",1.57818401571234,1.91409605622804,1.2088621056363,1.35936932354864
"Ctsl",3.43420456262275,4.38760900689835,2.37171215880893,3.28206059725351
"Fth1",13.3841970086116,16.9686320447742,11.0731655441333,12.6287873283441
"mt-Co1",9.32270735760689,11.9534036183782,10.261963842609,8.36292959383855
"mt-Co2",11.3032180087627,14.3001431732396,13.192910315491,10.3509409285766
"mt-Co3",15.5368635745581,20.4737732656514,17.8899680964197,13.7788272905617
"mt-Nd2",5.09638918265599,6.31966679682416,5.07890818858561,4.54704642883092
"Nnat",0.143677292642393,0.35793309904985,0.251045728465083,0.214560778899949
"Rack1",2.2258649342801,2.56670571391384,1.89408011343495,1.98394245440674
"Rpl10",1.52047137029763,1.70714564623194,1.41240694789082,1.3541379059798
"Rpl10a",2.5953316210908,3.04047897956527,2.15001772421127,2.14618905761825
"Rpl19",3.62449010424535,4.616165560328,2.93045019496632,3.47366126571242
"Rpl24",1.70048345671552,2.16738253286477,1.36540233959589,1.59398386979583
"Rpl35",0.419851941380873,0.531953663933359,0.423821339950372,0.312722516893119
