gene	Arf1_WT.signed.value	DAM.signed.value
0610009B22Rik	-0.0266246224416177	-0.75744005716632
0610010F05Rik	0.00225850917169074	-0.624283816843493
0610010K14Rik	-0.00612589234192325	0.252349105521956
0610012G03Rik	0.042191093982399	2.90385282884232
0610030E20Rik	0.000124605400675406	0.259563078251316
0610037L13Rik	-0.00363339836147359	-0.177040161644709
0610040J01Rik	-0.494974992579261	0.107201991725564
1110004F10Rik	-0.0270820287084213	0.0241560077820533
1110008F13Rik	0.0494138502663323	0.242426066162142
1110012L19Rik	0.000216862767725279	0.0657467641399123
1110038F14Rik	-0.000806517306622935	-0.08357598465149
1110059G10Rik	-0.0111040603615315	-0.199593828812571
1500011K16Rik	-0.0160946336838202	1.04526595669757
1600012H06Rik	-0.00101901078263	0.163313170361153
1600014C10Rik	0.122124469162918	0.978427172992002
1600020E01Rik	0.0338424038290369	-0.206536313132293
1700003F12Rik	0.0171572174338191	0.279347970338985
1700017B05Rik	-1.31009218854687	-0.17889913841722
1700020I14Rik	-0.0356570898816535	0.144918064164208
1700021F05Rik	0.00577232666493095	0.034079233107819
1700123O20Rik	-0.00347097814767412	0.326797874842188
1810009A15Rik	7.36398803533572e-08	0.00868785346386625
1810011H11Rik	-0.0736211510465738	-0.0354206497598787
1810013L24Rik	-0.00833757906307744	0.727767001740108
1810024B03Rik	-0.000242438752039523	-0.173298781427751
1810030O07Rik	-0.019087542327357	0.139463354059071
1810043G02Rik	0.0928865588632728	0.0766010085872085
1810058I24Rik	0.00164880687696429	-1.0795319407882
2010107E04Rik	0.0476728672476247	-3.07441171416976
2210016F16Rik	-0.214280627714708	-0.606531067651465
2300009A05Rik	0.0251429742804704	-0.0814566927314466
2310022B05Rik	-0.0681760324427584	-1.4363831179097
2310033P09Rik	-1.71848795649155	-0.172115149099163
2310035C23Rik	-0.0450813606134903	-0.271084554141969
2310039H08Rik	0.00117447179943392	-0.43897094794148
2410004B18Rik	-0.00308895905953417	0.10810263950066
2410015M20Rik	0.3617006177141	1.31724678206999
2510002D24Rik	-0.00747303292702051	-1.71732952539697
2510009E07Rik	-0.000275752281960688	0.296611803086103
2510039O18Rik	-0.0205618183266332	0.337493160239565
2610001J05Rik	-0.0648057183913655	0.189543324649262
2610008E11Rik	-0.0104143568326765	-2.3923569458747
2610021A01Rik	0.000147490695279886	0.0661657974548614
2610301B20Rik	-0.000310583474168247	0.0018290875633416
2610507B11Rik	-0.0383269677744797	-3.2124041635027
2700049A03Rik	-0.0243326745642094	0.118936830721276
2700062C07Rik	-0.000937729503992932	-0.0544219145653887
2700081O15Rik	-0.00392285390847152	-1.64477121940586
2810004N23Rik	-0.00715932387262686	-0.271916488950072
2810006K23Rik	-0.128117420073404	0.622202208897288
2810021J22Rik	-0.000938842739705745	-0.249801871469184
2810474O19Rik	-0.0126435955935239	-0.84861313298412
2900026A02Rik	-0.0226298637535739	0.389227084814386
2900076A07Rik	0.000871367787747806	0.0431926185167087
3110062M04Rik	-0.0217605426002797	-5.17247091051195
3830403N18Rik	-0.00188604420142063	-0.162705857866671
4833439L19Rik	-0.165105458878798	0.680725111693066
4921524J17Rik	-6.41669494315161e-05	-0.358838055395936
4930402H24Rik	-0.0146233170234158	-1.13531652363046
4930430F08Rik	-0.00121955198283641	-0.0612807530401752
4930453N24Rik	-0.0045634369587093	0.0703354343779597
4931406C07Rik	-0.11792838684149	0.185437099938769
4931406P16Rik	0.0059348225479982	1.00556486006219
4932438A13Rik	-0.212662549308658	0.295245457682462
4933406I18Rik	0.00168867349896351	-0.037352178077443
4933434E20Rik	-0.0997256736384285	-0.842004885521043
5031439G07Rik	-0.0151832655433644	0.344665450550508
5430403G16Rik	-0.00703875215215236	0.0435213692867034
5430416N02Rik	-4.99562978283089e-05	-0.134429733657127
5730409E04Rik	0.000738580149969502	-0.475347562270309
5730455P16Rik	-0.00433668368903139	0.322879133905258
9130011E15Rik	-0.00123350029827761	-0.42071834906671
9130019O22Rik	0.00171918083421595	-0.0190457868105794
9130401M01Rik	6.35566907124169e-06	3.4309938373426
9530068E07Rik	-0.0143266767146013	-0.918629715314577
9930021J03Rik	-0.0428522661133201	-0.286433909655648
9930111J21Rik2	-0.272419543521811	-0.628176261509594
A130010J15Rik	-0.00896830064368997	-0.927536326494905
A430005L14Rik	-0.0252868096749897	0.0141030141635589
A630001G21Rik	-0.0021916115590611	-0.527581270890512
A830010M20Rik	-0.00128543094736023	-0.193628098915749
A930007I19Rik	0.011073058826637	0.0957251537343516
A930024E05Rik	-0.0257815931544453	-0.0497236031465921
Aaas	-0.00716677064232588	0.0366951028635585
Aagab	-0.0911862688850418	-2.055706242654
Aamp	-0.207071176908004	0.153082015422816
Aars	-0.466182266347987	0.568241699105373
Aarsd1	0.00233577255106103	0.277330772376796
Aasdhppt	0.0108664742676706	0.144030847854128
Abca1	-0.275152376942769	0.425480335578914
Abca2	0.0359630805311388	0.166094229312471
Abca3	-0.00458318433058623	-2.54585365614058
Abca9	-0.29188965959997	-1.94695957944516
Abcb1b	-0.000394778360234715	0.00652777612498802
Abcb4	-0.539061950208062	-0.285508017770027
Abcb6	-0.000186834906620506	-0.130018434387119
Abcb8	4.2064989099929e-05	-0.468556448639335
Abcc3	-0.210955392198101	-2.2567407916027
Abcc5	-0.269400845174383	-2.04921088566632
Abcd1	-0.0181875121712267	-0.311905694727407
Abcd2	-0.00107402986441076	2.21160991357158
Abcd3	-0.274413374979858	0.496922748292695
Abcd4	1.22577300546308e-05	0.0913438336188072
Abce1	-0.00156558710275827	-0.00123764843742509
Abcf1	0.00661326618590042	-2.14499944091771
Abcf2	0.00686914548368862	0.00603383777000376
Abcf3	-0.0104413920865062	-0.211777766397661
Abcg1	2.87181739232408e-05	0.42339529527099
Abcg2	-0.0245110186827804	0.0524780098802265
