gene	Arf1_WT.signed.value	aging.signed.value
3110001I22Rik	0.0012130123383316	-0.00190905777776222
A3galt2	0.000377333400373687	0.000637740600790216
A4galt	-0.00191682516157928	-0.000119888364408036
Aaas	-0.00716677064232588	-0.0774964474081742
Aak1	-0.170355318138398	0.000845516840070058
Aamp	-0.207071176908004	-0.0723292129425556
Aasdhppt	0.0108664742676706	-0.00262987479643746
Aass	0.00111464707676619	0.0100035540611291
Aatf	0.0144477609458679	-0.00198116812080042
Aatk	-0.0118069175978755	0.0729715865826937
Abat	-0.00319566085824998	0.163818453086974
Abca1	-0.275152376942769	-0.296830650433678
Abca2	0.0359630805311388	0.00774880918661878
Abca3	-0.00458318433058623	3.83244795723609e-05
Abca4	0.00703914777416617	0.00429830259832973
Abca5	0.000507920500113742	-0.00152149259073573
Abca6	0.00204909639500018	1.0769485064327e-05
Abca7	-0.017395856554211	0.0672821301270953
Abca9	-0.29188965959997	-0.221356996421688
Abcb4	-0.539061950208062	-0.221143770708168
Abcb6	-0.000186834906620506	0.00323980640452067
Abcb9	-0.00287719207091859	0.00300510637599799
Abcc10	1.44513514884364e-05	0.00434452374525628
Abcc3	-0.210955392198101	-0.240305751010822
Abcc5	-0.269400845174383	-0.0158342331161497
Abcc9	-0.234417620282541	0.000367520845750067
Abcd1	-0.0181875121712267	-0.0691787206909361
Abcd2	-0.00107402986441076	0.0611319601216364
Abcd3	-0.274413374979858	-0.00113494419335698
Abce1	-0.00156558710275827	-0.0846216284084093
Abcf1	0.00661326618590042	-0.11015288761956
Abcf2	0.00686914548368862	-0.00159414026943939
Abcf3	-0.0104413920865062	-0.00791298781463337
Abcg1	2.87181739232408e-05	-0.000579311953965633
Abcg3	-0.0101377892596864	-0.0958723874578455
Abhd10	3.30521947524435e-05	2.9704668635358e-05
Abhd11	0.130943240173434	0.0263180302135003
Abhd14a	-0.00127558119731131	0.0157201826190627
Abhd14b	-0.0101549405165983	0.000577430521026957
Abhd2	-0.00192258007440125	-0.00287402493635076
Abhd3	-0.000706200891935732	0.00205352175535806
Abhd4	-0.0136094735137954	-0.00117730549062316
Abhd5	0.000468859655943427	-0.000689908888198784
Abhd6	-0.408367190724679	-4.47713461031363
Abi1	-0.0379125033455736	0.0943382282051986
Abi2	-0.0228856159247555	-0.113203734304147
Abi3	-5.23382476562795	-0.0122024222859437
Abi3bp	3.39569956440982e-05	-0.000448988525334
Abl1	-1.2481202802186	0.000357491070560892
Ablim1	-0.252189911197855	-0.00176354145947759
Abr	-0.00926165820544856	0.00060697017638493
Abtb1	-0.00327104949666205	-0.104629952230313
Abtb2	-0.000173466942105888	7.72475196899526e-05
Acaa2	0.00394025013345502	0.0228529546031328
Acad8	-0.00599712143597595	0.00881568193675393
Acad9	-0.00350249450091725	0.0401309488660769
Acadl	-0.000636853841063781	-0.00691654890821111
Acadm	-0.000947028571431631	-0.0292071187246796
Acads	-0.844723510760996	-0.99022691816388
Acadsb	-0.00286844184755763	-0.228513001137775
Acadvl	-0.00944547727097436	0.000448925816507887
Acat1	-0.0769282579785057	-0.00225987386570732
Acat3	-0.000626410632647717	-0.000255210282224897
Acbd3	-0.105575825787904	-0.00013929334921981
Acbd4	0.00362502846035853	0.0517039477988603
Acbd5	-8.87578702500495e-05	0.154230558669689
Acbd6	-0.000882449716722072	0.00326101364691267
Ace	0.00227335866700124	0.000709178629343303
Acin1	-0.382761427764079	-0.0725162992122679
Acly	0.0055606345048387	-0.0113308699866001
Aco1	-0.00038268346101662	-0.0919640813188752
Aco2	-0.0532093343518852	0.00896559094459574
Acot11	-2.47537394053035e-05	0.125020837252328
Acot2	0.00684503515446746	0.00655588291510453
Acot6	0.0002396442966314	-0.000494558242914798
Acot7	0.0071094670339491	0.692627818629142
Acot8	-0.000433152582078583	-3.21931968338355e-05
Acot9	0.021256828764851	0.0315807697091287
Acox1	-0.0111613886390241	0.00434588771487256
Acox2	-0.00156184007290643	0.00226340405381651
Acox3	-0.0174619204635271	0.0262704695493354
Acp2	-1.65472290634457	-0.190391747531128
Acp5	-9.96201140796614e-05	0.00925606218446194
Acp6	-0.00471520616052214	-0.255988755844557
Acrbp	-0.0305153805162713	-0.204565016680951
Acsbg1	-0.02514751757942	0.0106756076560003
Acsl1	-0.0151202917331787	-0.0151468286119313
Acsl3	-0.0443397236136637	0.000113845483305839
Acsl4	-0.00607240485486496	0.182092047329223
Acsl5	-0.000423835617426698	0.00439411730280456
Acsl6	-0.00178633186248173	0.00245356253546657
Acss1	-0.136377552392956	-0.240979156308974
Acss2	0.000210308809608202	0.0357771959617343
Acta2	-0.0154173425434726	0.000304234767644698
Actb	-0.66164936958498	-4.38917657965828e-06
Actl6a	0.00171221734242331	-0.61669182629918
Actl6b	0.00444037426204597	-0.00106639176910791
Actn1	-0.102290454716042	-0.0291006725941438
Actn4	-0.0184346601546638	0.0121179450987122
Actr10	-0.00170400186432084	-0.00443835690795031
Actr1a	-0.0846967610722157	-0.00186969536003985
Actr1b	-6.81008673397629e-06	-0.00901760269087209
Actr2	-0.410321818635764	-0.00900270784224568
Actr3	-0.0303702659921885	0.228526880214085
Actr3b	0.0328510814087924	0.00384102437203906
Actr5	-0.000421443046368986	4.0677002297699e-05
Actr6	-0.00151250840227671	-0.000826988411458509
Actr8	-0.0088525865891693	-0.00905585679751096
Acvr1	-0.0410479467779986	-0.0986154044552568
Acvr1b	-0.00623652105509771	-0.149863214273017
Acvr2a	-0.00584931802242904	-0.159679695796644
Acvr2b	-0.00160305373576551	-0.0182356691576479
Acvrl1	-0.14104629507383	0.0284736282163686
Acy1	0.00286478787900127	-0.641775070956903
Acyp1	0.000820055954401427	-0.00195400398905685
Ada	0.00316268650694697	-0.000679532894000001
Adal	0.00364444773550985	-0.169027990810647
Adam10	-0.894431667583092	0.00113076009272938
Adam11	-0.00101825519436452	-0.0976756384050289
Adam12	-0.000741539649173206	-0.000424833269780617
Adam15	-0.332749535884775	-7.20372467643486e-06
Adam17	-0.773700796538796	-0.844071055709898
Adam22	-0.000555948409776186	0.0437165585540752
Adam23	-0.00662907216541758	0.433109258412467
Adam28	-0.00110596403306947	2.62766061463325e-05
Adam30	-0.00766214505192697	-0.00325873804914662
Adam33	0.00023601910354464	-0.0117889188599336
Adam8	0.000225380640819833	0.0049461656729489
Adam9	0.00468044900596993	0.736326534565707
Adamts1	-0.313992392635125	0.0020607706682467
Adamts15	-0.000171579077172937	0.000980146165023024
Adamts16	-0.0645860187907409	-0.205961122108348
Adamts17	4.6573683206466e-05	0.0188398387611568
Adamts20	-0.00181900931681646	3.91265745198872e-05
Adamts4	-0.00034096019819148	0.037267222273848
Adamts8	8.13576960629767e-05	0.00189514123330016
Adamtsl2	-0.00470725235432734	-0.000792512728056312
Adamtsl4	0.00187126054449332	-1.65971077797864e-06
Adamtsl5	-0.000278952497167883	-0.000188620574415839
Adar	-0.00044949933316852	0.834520873647765
Adarb1	0.0385829747510032	0.00057330732193675
Adat1	0.00211038063751035	0.000871163468297259
Adck1	-0.000740693805433103	-0.0485505552217765
Adck2	-0.00858052754980929	0.187971143578821
Adck5	1.93442576632888e-05	0.031395743550439
Adcy4	0.000294129759135472	-0.00189321539971101
Adcy7	-0.00174824976357439	0.00232077250535136
