	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Gh	0	2.6442083999646	0.962	0.008	0
Prl	0	1.31959048544726	0.886	0.006	0
Ttr	0	0.938371581474146	0.998	0.877	0
Apoe	0	0.868245743155434	0.962	0.826	0
Apod	0	0.41660825631104	0.505	0.104	0
Pomc	0	0.388841606746191	0.251	0.012	0
Olfml3	0	-0.360306110392957	0.843	0.944	0
P2ry12	0	-0.369370521977722	0.817	0.929	0
Cst3	0	-0.433124858359061	1	1	0
Fcrls	0	-0.49277162830809	0.765	0.934	0
Hbb-bs	0	-0.500050340503889	0.84	0.97	0
Chgb	8.62615500677687e-308	0.117634360182536	0.099	0.001	1.66346773150685e-303
Malat1	1.35612666351274e-282	-0.205318510402644	0.999	1	2.61515465791797e-278
Sparc	1.42390423123978e-280	-0.243479304665528	0.959	0.988	2.74585691952279e-276
mt-Atp6	2.41516560075155e-270	0.373861188168392	0.997	0.992	4.6574053444893e-266
Marcks	4.29464466496751e-259	-0.264782891604019	0.838	0.93	8.28179277192335e-255
Rpl32	4.16151573840584e-255	0.302365542384302	0.964	0.907	8.02506694994182e-251
Cga	1.49185434946218e-243	0.0912408961195701	0.082	0.001	2.87689192750287e-239
Rpsa	1.0558826132061e-232	0.282392784332211	0.923	0.853	2.03616403130663e-228
Eef1a1	3.87638414824306e-231	0.252433228418649	0.995	0.991	7.47521919147191e-227
Slc2a5	4.61686785025158e-230	-0.246007552415116	0.222	0.441	8.90316796242514e-226
Lgals3bp	4.23623859182175e-225	0.323437529570286	0.42	0.266	8.16916250046906e-221
Rbm3	1.05173997932508e-216	0.24200094401943	0.443	0.276	2.02817537613049e-212
mt-Co3	1.1219667010272e-211	0.343487397934294	0.998	0.996	2.16360058626085e-207
Rpl23	2.83223663542254e-205	0.260886448866255	0.978	0.948	5.46168512774882e-201
Ucp2	8.33762951824238e-203	0.258231411252929	0.632	0.496	1.60782847629786e-198
Xist	3.96820307846185e-199	-0.159272010427918	0.803	0.942	7.65228281650582e-195
Hspa1b	2.25435987453316e-194	-0.421189550844991	0.609	0.751	4.34730758204974e-190
Sirpa	4.14537281467852e-194	-0.252221438644716	0.637	0.8	7.99393693582606e-190
Cx3cr1	1.29189970817301e-187	-0.19905095384374	0.96	0.985	2.49129939724083e-183
Rpl39	2.03922270219831e-183	0.245650442798068	0.964	0.92	3.93243705891922e-179
P2ry13	5.95519692123494e-183	-0.243563433465266	0.443	0.644	1.14840017429095e-178
Gpr34	5.98271834682195e-183	-0.259265402538315	0.689	0.833	1.15370740600115e-178
Ecscr	1.6128854884476e-181	-0.218081189108421	0.251	0.452	3.11028837592235e-177
Selenop	1.18021417992898e-180	-0.223117060443141	0.881	0.94	2.27592502457505e-176
Laptm5	1.52624024098655e-180	-0.195400166515415	0.966	0.981	2.94320168071847e-176
Rps19	1.1423597110203e-177	0.238803829075233	0.932	0.872	2.20292646673155e-173
Rgs10	1.89644587037458e-177	-0.23376099419265	0.823	0.898	3.65710621643033e-173
Siglech	2.11336232869128e-175	-0.243208474719719	0.68	0.824	4.07540791464826e-171
Csf1r	2.33195399809581e-172	-0.179087085640456	0.988	0.993	4.49694008992795e-168
mt-Nd1	2.92699137931215e-172	0.298247309322098	0.963	0.932	5.64441017586555e-168
mt-Cytb	2.96465335763985e-169	0.318716777365639	0.986	0.979	5.71703753487269e-165
Arf1	5.11287090196319e-169	-0.185017567165877	0.259	0.455	9.85966024734582e-165
Rps29	2.23900928442219e-168	0.223371926110477	0.979	0.953	4.31770550407974e-164
Lst1	1.24955067135398e-163	-0.19851055132315	0.203	0.385	2.40963351463902e-159
mt-Co1	2.45132354319723e-163	0.297399491523913	0.993	0.984	4.72713232070155e-159
Gm26825	2.05960025775187e-162	0.279090642141219	0.105	0.03	3.9717331370487e-158
Rps5	4.37765715997006e-162	0.229417851278847	0.92	0.853	8.44187406728627e-158
Fkbp5	2.53477862180386e-161	0.136458101070928	0.19	0.066	4.88806709428656e-157
Rps8	1.54047029590795e-160	0.215477677738398	0.971	0.931	2.97064291862889e-156
Rpl12	3.56041338791237e-159	0.23270831266993	0.905	0.855	6.86590117725021e-155
Rpl10a	2.20404612878403e-155	0.228362816762065	0.878	0.81	4.25028255474713e-151
Fth1	2.53206851111306e-152	0.246341314200837	0.999	0.997	4.88284091683042e-148
Rpl14	6.88114351554517e-152	0.219487259258694	0.861	0.787	1.32695971553773e-147
Hsph1	5.76293514198405e-151	-0.355222699259872	0.281	0.447	1.1113244127802e-146
Hbb-bt	1.96730669601375e-150	-0.274006342007189	0.225	0.405	3.79375423259291e-146
Basp1	5.99066720521706e-149	-0.220098989648766	0.712	0.842	1.15524026385406e-144
Tmem119	1.05020911033031e-147	-0.21520029981632	0.83	0.907	2.02522324836096e-143
Lpcat2	5.47851663588114e-144	-0.209279539170728	0.649	0.796	1.05647714806332e-139
Rps16	3.39566344996083e-143	0.210553784845324	0.961	0.921	6.54819739690446e-139
Gm42418	5.79020145461279e-143	-0.185729974083178	0.831	0.915	1.11658244850753e-138
Aif1	9.71535627255487e-142	-0.220795862708124	0.634	0.775	1.87350930359948e-137
Adgrg1	3.33906500755479e-141	-0.195896948600404	0.333	0.513	6.43905296056866e-137
Rpl13	5.63928757545069e-141	0.19734991279865	0.99	0.972	1.08748021604991e-136
Ifi27l2a	8.87011600743432e-141	0.276180784012193	0.3	0.159	1.71051317087363e-136
Rpl17	2.45337402353069e-140	0.219782203254454	0.901	0.846	4.73108646697659e-136
Rps12	4.19790904069787e-139	0.215218470719402	0.936	0.887	8.09524779408177e-135
mt-Nd3	2.90566346300117e-138	0.244582024173486	0.744	0.68	5.60328142205146e-134
mt-Co2	5.56159344511037e-138	0.269034097827407	0.994	0.99	1.07249767995508e-133
Rplp0	8.93587649496546e-138	0.207821571438516	0.939	0.891	1.72319442328914e-133
Rps28	2.43460458790048e-137	0.21931684735194	0.846	0.767	4.69489148730728e-133
Rps27a	7.01132125426447e-137	0.200248201933333	0.973	0.948	1.35206319067236e-132
Rpl36	1.65301383901808e-134	0.217146740785425	0.832	0.77	3.18767188716246e-130
Ckb	9.49322684847765e-134	-0.207352261808204	0.67	0.801	1.83067386546043e-129
Rpl19	2.3068599911643e-133	0.203282114145995	0.954	0.92	4.44854880696124e-129
Rps24	1.23428782378038e-132	0.200471870372204	0.987	0.971	2.38020063937808e-128
Rps20	1.29057704500296e-132	0.20660442840559	0.943	0.893	2.48874877358371e-128
Ighm	1.37157137338983e-132	-0.210168247860035	0.343	0.516	2.64493823644495e-128
Bin1	5.63849707265016e-132	-0.195353166843866	0.625	0.775	1.08732777548986e-127
H2-D1	1.63819585706709e-129	0.249330775716937	0.751	0.718	3.15909689076818e-125
Rpl3	4.26846778708615e-127	0.203872422502389	0.888	0.838	8.23131328061693e-123
Rps2	4.15283580363222e-126	0.201050253180377	0.81	0.761	8.00832856372438e-122
Rps18	1.08446484972004e-124	0.206393001988238	0.84	0.795	2.09128201620012e-120
Rpl41	3.76616213269704e-124	0.201314610975785	0.928	0.881	7.26266705669297e-120
Fscn1	5.86618251029207e-123	-0.185880049943912	0.333	0.501	1.13123463528472e-118
