,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0019882,GO:0019882,antigen processing and presentation,48/3174,84/14089,6.68346296099797e-12,2.42894814410871e-08,1.98455200053505e-08,H2-DMb1/Fcer1g/H2-K1/Pycard/B2m/Ctss/H2-Oa/H2-Q7/Fcgr3/Kdm5d/Ctse/H2-Q6/Fcgr1/Cd68/H2-DMa/Cd74/Ighm/H2-Ab1/H2-D1/Clec4a2/Rab32/Calr/Rftn1/Tap1/Psmb8/Hfe/H2-Eb1/Unc93b1/H2-Ob/March1/Tap2/Relb/H2-Q4/H2-Aa/Trem2/Slc11a1/H2-T23/Nod1/H2-Q10/Atg5/Icam1/H2-T24/Mfsd6/Ifng/H2-T22/Ap3d1/Psmb9/Fgl2,48
GO:0048002,GO:0048002,antigen processing and presentation of peptide antigen,34/3174,50/14089,8.46765955763888e-12,2.42894814410871e-08,1.98455200053505e-08,H2-DMb1/Fcer1g/H2-K1/Pycard/B2m/Ctss/H2-Oa/H2-Q7/Fcgr3/Ctse/H2-Q6/Fcgr1/H2-DMa/Cd74/H2-Ab1/H2-D1/Clec4a2/Calr/Tap1/Hfe/H2-Eb1/Unc93b1/H2-Ob/March1/Tap2/H2-Q4/H2-Aa/Trem2/Slc11a1/H2-T23/H2-Q10/H2-T24/Mfsd6/H2-T22,34
GO:0002521,GO:0002521,leukocyte differentiation,170/3174,479/14089,3.63410714280987e-11,6.94962422610008e-08,5.67813301997627e-08,Ccr6/Fam20c/C1qc/Fcer1g/Il7r/Tmem176a/Tmem176b/B2m/Lag3/Egr1/Pnp/Tyrobp/Gnas/H2-Oa/Lgals1/Slamf8/Tnfrsf11a/Cebpa/Cebpb/H2-DMa/Fos/Cd79b/Csf1/Nfkbid/Cd74/Tfe3/Ccl3/Ighm/Tnfaip3/Rps6/Atp6ap1/Jun/Cd300lf/H2-Ab1/Tjp2/Sox4/Nfkbiz/Mef2c/Clcf1/Spi1/Car2/Axl/Hsp90aa1/Ada/Pik3r1/Itgam/Zfp36l2/Rassf2/Shb/Kdelr1/Mafb/Irf2bp2/Cmtm7/Tgfbr2/Il1b/Rpl22/Inpp4b/Ly6d/Tcirg1/Gas6/Bcl2a1d/Bcl2/Jag2/Abl2/Dnajb9/Cebpg/Junb/Lyl1/Tnfsf9/Gimap1/Cd81/Itgb3/Zeb1/Fes/Epha2/Mmp14/Nrarp/Csf1r/Rhoa/Slamf1/Tmem64/Foxp1/Glo1/Ctnnbip1/Ccl5/Relb/Cbfa2t3/Pirb/6030468B19Rik/Mitf/Adrm1/Itm2a/Irf1/Clptm1/Vsir/Il2rg/Tob2/Ubash3b/Ikzf1/Tspan2/Dock2/Ptpn6/Ostm1/Itpkb/Trf/Runx1/Nfatc1/H2-Aa/Cited2/Cd83/Prr7/Prdm16/Trem2/Il15ra/Vav1/Prex1/Asxl2/Zfpm1/Sbno2/Gmpr2/Rhoh/Atg5/Cdkn2a/Chd7/Farp2/Mink1/Gsk3b/Myc/Hdac7/Egr3/Bad/Trpm2/Cd3g/Nfam1/Nckap1l/Il3ra/Zmiz1/Ifng/Pou2f2/Sp3/Ctla2a/Dhrs7b/Thoc5/Il6/Spn/Zfp609/Malt1/Batf3/Card11/Hax1/Gps2/Plcb1/Tusc2/Chuk/Ap3d1/Zbtb16/Fnip1/Ikzf3/Prdx2/Cd3d/Cd8a/Dclre1c/Cd79a/Ppargc1b/Ncor1/Tgfb1/Lyn/Tbx21/Hs1bp3/Fgl2,170
GO:0045785,GO:0045785,positive regulation of cell adhesion,139/3174,373/14089,5.010827884318e-11,7.18677989308309e-08,5.87189909707054e-08,Pycard/Il7r/Ets1/Pnp/Ccdc80/Nrp1/Lgals1/Itga6/Sirpa/H2-DMa/Csf1/Nfkbid/Cd74/Apbb1ip/Tfe3/Hsph1/Aif1/Cd63/Hsd17b12/Hspd1/H2-Ab1/Nfkbiz/Npnt/Il6ra/Havcr2/Tgfb2/Hsp90aa1/Ada/Icosl/Gcnt2/Prkce/Shb/Iqgap1/Ccl2/Sdc4/Il6st/Calr/Dnm2/Cfl1/Tgfbr2/Il1b/Edil3/Igf1/Ptn/Ccr5/Rps3/Dhps/Fmn1/Tnfsf9/Cd81/Itgb3/Cyth3/Rhoa/Slamf1/Spock2/Emilin2/Lims1/Ccl5/Smad3/Irf1/Vsir/Zfhx3/Rac1/Efnb3/C1qbp/Spp1/Il2rg/Ikzf1/Coro1a/Ptpn6/Ccdc88b/Itpkb/Fam49b/Runx1/Itgal/H2-Aa/Tgm2/Cited2/Cd83/Flot1/Ninj1/Adk/Xcl1/Vcam1/H2-T23/Vav1/Dusp26/Prex1/S100a10/Bcl10/Hes1/Arpc2/Emilin1/Cxcl12/Itgb1bp1/Pld2/Myadm/Icam1/Vtn/Rsu1/Thy1/Gsk3b/Efnb2/Cd276/Cib1/Egr3/Bad/Itgav/Nckap1l/Tnfrsf14/Jup/Itgb1/Prkcq/Zmiz1/Ifng/Olfm4/Podxl/Fbln2/Fn1/Il6/Spn/Zfp609/Ift74/Malt1/Card11/Efnb1/Stx4a/Kifap3/Hacd1/Map4k4/Ap3d1/Zbtb16/Icos/Mex3b/Cd47/Tgfb1/Cass4/Utrn/Igfbp2,139
GO:0050900,GO:0050900,leukocyte migration,112/3174,285/14089,9.84989964268142e-11,1.05968120292457e-07,8.65803766249203e-08,Ccr6/Fcer1g/Ccl9/Pycard/Ccl6/Pdgfb/C5ar2/Padi2/C5ar1/Fcgr3/Cd9/Cd300a/Itga6/Sirpa/Slamf8/Serpine1/Cxcl10/Lgmn/Csf1/Cd74/Pla2g7/Ccl3/Aif1/Ccl12/Cmklr1/Gcnt1/Apod/Ada/Ccl24/Itgam/Rps19/Ccl4/Cd34/Ccl2/Calr/Jaml/Il1b/Cx3cr1/Gas6/Ptn/Pecam1/Dusp1/Bst1/Cd81/Cd200r1/Itgb3/Itga9/Spns2/Cxcl16/Cklf/Mmp14/Jam3/Creb3/Rhoa/Nbl1/Slamf1/Cdc42/Ccl5/Il33/Flt1/Rac1/C1qbp/Spp1/Pde4b/Coro1a/Mospd2/P2rx4/Ptpro/S1pr1/Camk1d/Myo1g/Xcl1/Vcam1/Mtus1/Slc12a2/Trem2/Vav1/Prex1/C3ar1/Emilin1/Cxcl12/Stk10/Csf3r/Icam1/B4galt1/Thy1/Msn/Rtn4/Cxcr3/Trpv4/Ccl7/Adora3/Trpm2/Mmp28/Cxcl2/Nckap1l/Tnfrsf14/Itgb1/Ifng/Podxl/Il17ra/Itgb7/Spn/Slc8b1/S100a9/Plcb1/Jagn1/Cd47/Tgfb1/Lyn/Akt1/Tbx21,112
GO:0002181,GO:0002181,cytoplasmic translation,45/3174,81/14089,1.10825992984964e-10,1.05968120292457e-07,8.65803766249203e-08,Rps29/Eif2s3y/Rpl35a/Rps2/Rpl26/Rpl29/Rplp0/Rpl30/Rpl18a/Rps23/Rpl19/Rps28/Rpl18/Rpl24/Rpl9/Rpl38/Rpl10a/Rpsa/Rpl36/Rplp1/Rps26/Rpl15/Rpl17/Eef2/Rpl11/Rpl8/Rpl39/Rpl6/Rps21/Dhx36/Ythdf2/Dhx9/Eif3d/Eif2s3x/Zc3h15/Tma7/Eif3a/Eif4b/Dph6/Cpeb2/Eif5/Rpl31/Cnbp/Eif3m/Denr,45
GO:0071674,GO:0071674,mononuclear cell migration,38/3174,65/14089,4.16852643871234e-10,3.41640516841324e-07,2.79134559873475e-07,Ccl9/Ccl6/Pdgfb/C5ar1/Sirpa/Slamf8/Serpine1/Cxcl10/Lgmn/Csf1/Pla2g7/Ccl3/Aif1/Ccl12/Cmklr1/Ccl24/Rps19/Ccl4/Ccl2/Jaml/Pecam1/Dusp1/Creb3/Nbl1/Slamf1/Ccl5/Flt1/Mospd2/Ptpro/Xcl1/C3ar1/Cxcl12/Trpv4/Ccl7/Plcb1/Cd47/Tgfb1/Lyn,38
GO:0006909,GO:0006909,phagocytosis,82/3174,194/14089,5.50198256842637e-10,3.94560924938276e-07,3.22372741805298e-07,Colec12/Fcer1g/Anxa3/Pycard/Tyrobp/Fcgr3/Hspa8/Cd300a/P2ry6/Sirpa/Fcgr1/Ighm/Aif1/Cd300lf/Ncf4/Axl/Myo7a/Ccl2/Bin2/Calr/Dnm2/Il1b/Cyba/Pld4/Gas6/Irf8/Lrp1/Pear1/Rack1/Pten/Pecam1/Abl2/Itgb3/Rab7b/P2rx7/Slamf1/Mesd/C3/Lman2/Rac1/Il2rg/Dock2/Coro1a/Atg3/Itgal/Syt11/Tgm2/Camk1d/Myo18a/Myo1g/Siglece/Trem2/Slc11a1/Arhgap25/Il15ra/Vav1/Rab20/Myh9/Elmo1/Atg5/Tm9sf4/Csk/Il2rb/Megf10/Trbc2/Cnn2/Lyar/Itgav/Nckap1l/Itgb1/Txndc5/Rab39/Mfge8/Tlr4/Tusc2/Gsn/Rab14/Mex3b/Cd47/Abca7/Adgrb1/Tgfb1,82
GO:0097529,GO:0097529,myeloid leukocyte migration,73/3174,169/14089,1.52745145140081e-09,9.73665441854051e-07,7.95525299776353e-07,Fcer1g/Ccl9/Ccl6/Pdgfb/C5ar2/C5ar1/Fcgr3/Cd9/Cd300a/Sirpa/Slamf8/Serpine1/Cxcl10/Lgmn/Csf1/Cd74/Pla2g7/Ccl3/Aif1/Ccl12/Cmklr1/Ccl24/Itgam/Rps19/Ccl4/Ccl2/Jaml/Il1b/Cx3cr1/Pecam1/Dusp1/Bst1/Cd81/Cd200r1/Itga9/Cklf/Mmp14/Jam3/Creb3/Nbl1/Slamf1/Ccl5/Flt1/Rac1/C1qbp/Spp1/Pde4b/Mospd2/P2rx4/Ptpro/Camk1d/Xcl1/Mtus1/Trem2/Vav1/Prex1/C3ar1/Emilin1/Cxcl12/Csf3r/Rtn4/Trpv4/Ccl7/Mmp28/Cxcl2/Nckap1l/Ifng/Il17ra/S100a9/Plcb1/Jagn1/Cd47/Lyn,73
GO:0006457,GO:0006457,protein folding,64/3174,142/14089,1.96425641977974e-09,1.12689390802764e-06,9.20719351292544e-07,H2-DMb1/B2m/Fkbp5/Hspa8/Pdia3/H2-DMa/Hsp90ab1/Cd74/Hsph1/Grn/Hsp90b1/Pdia4/Hspd1/Ppib/Dnajb1/Prdx4/Hsp90aa1/P4hb/Hspb1/Calr/Cct4/Fkbp4/Nudcd3/Hspa1b/Hspa1a/Cryab/Selenof/Dnajc10/Hspa5/Dnajb11/Dnajc7/Ppih/Fkbp9/Dnajb14/Hspe1/Mesd/Dnajb6/Cct3/Cct8/Cct5/Emc3/Dnaja1/Erp44/Cct7/Ppia/Pfdn5/Cct2/Ero1lb/Dnajc3/Stub1/Unc45a/Ppil2/Emc4/Ppid/Pfdn2/St13/Sgta/Nktr/Pex19/Pdcd5/Dnajc25/Tbcel/Tor1a/Sh3glb1,64
