p_val	avg_logFC	pct.1	pct.2	p_val_adj
Gm26825	0	1.41300362079387	0.715	0.03	4.94065645841247e-324
Apoe	0	0.729986894967897	0.97	0.826	4.94065645841247e-324
Gatm	0	0.71898394255466	0.762	0.211	4.94065645841247e-324
Ttr	0	0.565428687718202	0.974	0.877	4.94065645841247e-324
Cst3	0	0.457159929340047	1	1	4.94065645841247e-324
Ccr6	0	0.442943280173206	0.41	0.014	4.94065645841247e-324
Arsb	0	0.439183933469108	0.624	0.259	4.94065645841247e-324
Ctsd	0	0.371543109221571	1	1	4.94065645841247e-324
Rnase4	0	0.36660907475392	0.896	0.698	4.94065645841247e-324
Igsf8	0	0.360463311924503	0.465	0.121	4.94065645841247e-324
Fam20c	0	0.353832058637864	0.273	0.046	4.94065645841247e-324
Qpct	0	0.319318201217992	0.318	0.008	4.94065645841247e-324
Ctsa	0	0.307751729101767	0.93	0.797	4.94065645841247e-324
Plau	0	0.301998240590927	0.265	0.055	4.94065645841247e-324
Edem2	0	0.300650877962641	0.572	0.309	4.94065645841247e-324
Tpm3-rs7	0	0.286998105272781	0.298	0.012	4.94065645841247e-324
mt-Co3	0	0.278715073960974	0.998	0.996	4.94065645841247e-324
Gm11361	0	0.271017787951959	0.267	0.002	4.94065645841247e-324
Ucp2	0	0.265110128998973	0.701	0.496	4.94065645841247e-324
mt-Co2	0	0.256017752568954	0.996	0.99	4.94065645841247e-324
Rps29	0	0.251533244911382	0.988	0.953	4.94065645841247e-324
Rnf121	0	0.200988899738333	0.251	0.056	4.94065645841247e-324
H2-DMb1	0	-0.219549734593707	0.041	0.256	4.94065645841247e-324
C1qc	0	-0.225235432003503	0.997	0.999	4.94065645841247e-324
Lrba	0	-0.233248839263622	0.051	0.263	4.94065645841247e-324
Ang	0	-0.248685333142124	0.139	0.369	4.94065645841247e-324
Rpl35a	0	-0.24871400371582	0.93	0.952	4.94065645841247e-324
C1qb	0	-0.269143603441069	0.999	1	4.94065645841247e-324
Phgdh	0	-0.270708211781667	0.037	0.288	4.94065645841247e-324
Fcer1g	0	-0.277423917571007	0.952	0.971	4.94065645841247e-324
Ccl9	0	-0.301340799260472	0.097	0.331	4.94065645841247e-324
Rps14	0	-0.303695827719483	0.938	0.959	4.94065645841247e-324
Fam102b	0	-0.314719274252877	0.199	0.462	4.94065645841247e-324
Olfml3	0	-0.364825322321139	0.897	0.944	4.94065645841247e-324
Hpgd	0	-0.375506794992958	0.117	0.452	4.94065645841247e-324
Gm42418	0	-0.392542852778576	0.811	0.915	4.94065645841247e-324
Plp1	0	-0.395981897328524	0.105	0.341	4.94065645841247e-324
Sh3bgrl3	0	-0.424245313537628	0.456	0.721	4.94065645841247e-324
Slc2a5	0	-0.443066815944698	0.052	0.441	4.94065645841247e-324
H2-K1	0	-0.445227474179547	0.555	0.755	4.94065645841247e-324
Rps2	0	-0.483915517390672	0.527	0.761	4.94065645841247e-324
Rpl26	0	-0.486068617361356	0.814	0.928	4.94065645841247e-324
Rps18	0	-0.53168478657185	0.569	0.795	4.94065645841247e-324
Anxa3	0	-0.561604484012304	0.206	0.666	4.94065645841247e-324
Rpl21	0	-0.729264198498493	0.693	0.929	4.94065645841247e-324
Rpl29	0	-0.787256494445543	0.09	0.701	4.94065645841247e-324
Ubc	0	-0.792272988084572	0.712	0.924	4.94065645841247e-324
Ly6e	0	-0.804184973513239	0.319	0.831	4.94065645841247e-324
Fcrls	0	-1.07185794437691	0.473	0.934	4.94065645841247e-324
Xist	0	-1.77336267931981	0.008	0.942	4.94065645841247e-324
Selenop	2.47032822920623e-323	-0.258076810605154	0.905	0.94	4.7637809572013e-319
Pycard	5.69131608555266e-317	-0.253897049617368	0.305	0.514	1.09751339393797e-312
Rbpms	1.26219385333393e-296	-0.206743597732923	0.075	0.241	2.43401462676914e-292
Tmem176a	2.91599291514596e-293	0.285256286132203	0.712	0.518	5.62320073756746e-289
Tmem176b	1.77921403539947e-292	0.284360568345662	0.833	0.687	3.43103634586434e-288
Gapdh	1.08698266593893e-289	-0.273500024351772	0.494	0.664	2.09613737299664e-285
mt-Atp6	1.0772110613536e-279	0.224630019688463	0.997	0.992	2.07729381071429e-275
Cd180	2.70238657253042e-270	-0.205906878810494	0.156	0.338	5.21128226646765e-266
Cadm1	2.75618683366121e-265	0.220484876317367	0.475	0.275	5.31503069003227e-261
Hbb-bs	6.7385606594322e-260	0.253297703975222	0.998	0.97	1.29946403756491e-255
Syngr2	3.64376120416344e-256	-0.223783487187985	0.349	0.523	7.02662910610878e-252
mt-Co1	3.33961808283846e-249	0.217158161114372	0.993	0.984	6.44011951094568e-245
Bcl2a1b	2.21619775347826e-248	-0.204369392835501	0.123	0.291	4.27371574780747e-244
Fam46a	1.38942784939837e-246	0.27703881428772	0.489	0.294	2.67937266477982e-242
mt-Nd1	1.26708934074487e-241	0.236129037916167	0.969	0.932	2.4434550846924e-237
B2m	2.80977346692919e-239	-0.211728152720797	0.88	0.897	5.41836715362626e-235
Lag3	6.66259337465874e-225	-0.251398038759374	0.419	0.583	1.28481450636919e-220
Npc2	4.96708583646147e-223	0.206677123547685	0.918	0.808	9.5785283270323e-219
Man2b1	4.06720369283657e-215	0.21109341413393	0.863	0.729	7.84319560126604e-211
Ctsl	3.3437684971663e-210	-0.215503001606481	0.879	0.901	6.44812316993549e-206
Erp29	2.87557305945363e-208	0.201492371640324	0.791	0.64	5.54525508785038e-204
mt-Nd3	1.87716267399124e-200	0.227596877895368	0.814	0.68	3.61992050052471e-196
Egr1	1.41295357061347e-199	-0.325561766392062	0.603	0.733	2.72473966557102e-195
Pnp	5.5698306202618e-186	0.200086052662963	0.677	0.524	1.07408613681129e-181
Picalm	1.36158072921527e-174	0.20346276593647	0.697	0.556	2.62567227821873e-170
Pdgfb	5.58983758190659e-168	-0.243104664579377	0.297	0.432	1.07794427929487e-163
Ddx3x	5.45587937953495e-160	-0.25259279250997	0.341	0.482	1.05211177954952e-155
Ltc4s	2.9506795042059e-140	-0.208816535169504	0.513	0.634	5.69009035591067e-136
Pmepa1	1.12702413705749e-139	0.247103498159042	0.763	0.681	2.17335334590167e-135
H3f3b	1.09310893287712e-138	-0.234788751644912	0.886	0.913	2.10795126616025e-134
Hspa8	4.65809873437999e-128	-0.218820888256518	0.962	0.972	8.98267759937837e-124
Fosb	2.4569438448435e-124	-0.277053123290077	0.316	0.444	4.73797051039621e-120
