	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Gm26825	0	1.41300362079387	0.715	0.03	0
Apoe	0	0.729986894967897	0.97	0.826	0
Gatm	0	0.71898394255466	0.762	0.211	0
Ttr	0	0.565428687718202	0.974	0.877	0
Cst3	0	0.457159929340047	1	1	0
Ccr6	0	0.442943280173206	0.41	0.014	0
Arsb	0	0.439183933469108	0.624	0.259	0
Ctsd	0	0.371543109221571	1	1	0
Rnase4	0	0.36660907475392	0.896	0.698	0
Igsf8	0	0.360463311924503	0.465	0.121	0
Fam20c	0	0.353832058637864	0.273	0.046	0
Qpct	0	0.319318201217992	0.318	0.008	0
Ctsa	0	0.307751729101767	0.93	0.797	0
Plau	0	0.301998240590927	0.265	0.055	0
Edem2	0	0.300650877962641	0.572	0.309	0
Tpm3-rs7	0	0.286998105272781	0.298	0.012	0
mt-Co3	0	0.278715073960974	0.998	0.996	0
Gm11361	0	0.271017787951959	0.267	0.002	0
Ucp2	0	0.265110128998973	0.701	0.496	0
mt-Co2	0	0.256017752568954	0.996	0.99	0
Rps29	0	0.251533244911382	0.988	0.953	0
Rnf121	0	0.200988899738333	0.251	0.056	0
Oaf	0	0.18417484991289	0.248	0.07	0
Colec12	0	0.182445547853836	0.194	0.016	0
Cacna1a	0	0.179843382021537	0.235	0.063	0
Qsox1	0	0.16948079366148	0.223	0.056	0
Ddx3y	0	0.166599171087405	0.164	0	0
Gm12166	0	0.166184739974014	0.179	0.013	0
Gm10260	0	0.127964111612674	0.129	0.001	0
Eif2s3y	0	0.115486892387893	0.115	0	0
Spint1	0	-0.180464365922164	0.01	0.187	0
Sft2d1	0	-0.194143725095236	0.063	0.254	0
H2-DMb1	0	-0.219549734593707	0.041	0.256	0
C1qc	0	-0.225235432003503	0.997	0.999	0
Lrba	0	-0.233248839263622	0.051	0.263	0
Ang	0	-0.248685333142124	0.139	0.369	0
Rpl35a	0	-0.24871400371582	0.93	0.952	0
C1qb	0	-0.269143603441069	0.999	1	0
Phgdh	0	-0.270708211781667	0.037	0.288	0
Fcer1g	0	-0.277423917571007	0.952	0.971	0
Ccl9	0	-0.301340799260472	0.097	0.331	0
Rps14	0	-0.303695827719483	0.938	0.959	0
Fam102b	0	-0.314719274252877	0.199	0.462	0
Olfml3	0	-0.364825322321139	0.897	0.944	0
Hpgd	0	-0.375506794992958	0.117	0.452	0
Gm42418	0	-0.392542852778576	0.811	0.915	0
Plp1	0	-0.395981897328524	0.105	0.341	0
Sh3bgrl3	0	-0.424245313537628	0.456	0.721	0
Slc2a5	0	-0.443066815944698	0.052	0.441	0
H2-K1	0	-0.445227474179547	0.555	0.755	0
Rps2	0	-0.483915517390672	0.527	0.761	0
Rpl26	0	-0.486068617361356	0.814	0.928	0
Rps18	0	-0.53168478657185	0.569	0.795	0
Anxa3	0	-0.561604484012304	0.206	0.666	0
Rpl21	0	-0.729264198498493	0.693	0.929	0
Rpl29	0	-0.787256494445543	0.09	0.701	0
Ubc	0	-0.792272988084572	0.712	0.924	0
Ly6e	0	-0.804184973513239	0.319	0.831	0
Fcrls	0	-1.07185794437691	0.473	0.934	0
Xist	0	-1.77336267931981	0.008	0.942	0
Selenop	2.47032822920623e-323	-0.258076810605154	0.905	0.94	4.7637809572013e-319
Upk1b	2.27861939510997e-317	-0.103784309149579	0.003	0.096	4.39408964153008e-313
Pycard	5.69131608555266e-317	-0.253897049617368	0.305	0.514	1.09751339393797e-312
Il7r	1.7939277239809e-308	0.18123945208393	0.242	0.074	3.45941022292476e-304
Trim12a	4.20609300626024e-305	-0.112147265046891	0.012	0.121	8.11102975327224e-301
